tube_label	reisdorph_lab_id	collection_date	sample_type	Tauro_ beta_muricholic_acid_T-b-MCA	Taurocholic_acid_T-CA	Taurochenodeoxycholic_acid_T-CDCA	Taurodeoxycholic_acid_T-DCA	Glycocholic_acid_G-CA	Alpha_muricholic_acid_a-MCA	Beta_muricholic_acid_b-MCA	Taurolithocholic_acid_T-LCA	Cholic_acid_CA	Glycochenodeoxycholic_acid_G-CDCA	Glycodeoxycholic_acid_G-DCA	Ursodeoxycholic_acid_UDCA	Chenodeoxycholic_acid_CDCA	Deoxycholic_acid_DCA	Glycolithocholic_acid_G-LCA	Lithocholic_acid_LCA
Ctrl+F.1	25	44715	Ctrl+F	429.0101582	1108.41893	16.32310956	1.775343291	<LOD	18.04368591	110.4934528	<LOD	168.0912632	<LOD	<LOD	<LOD	<LOD	23.85803039	<LOD	<LOD
Ctrl+F.2	26	44715	Ctrl+F	5840.978278	21064.96582	92.21592852	<LOD	<LOD	<LOD	48.2793273	<LOD	173.84058	<LOD	<LOD	<LOD	<LOD	<LOD	<LOD	<LOD
Ctrl+F.3	27	44715	Ctrl+F	23.27318023	128.0386221	<LOQ	<LOD	<LOD	<LOD	10.67903204	<LOD	6.192322075	<LOD	<LOD	<LOD	<LOD	<LOD	<LOD	<LOD
Ctrl+F.4	28	44715	Ctrl+F	Insuficient Sample Size for Analysis															
Ctrl+F.5	29	44715	Ctrl+F	692.8653214	1448.663494	7.721013727	<LOQ	<LOD	66.68669143	234.8425014	<LOD	395.2537233	<LOD	<LOD	<LOD	<LOD	5.986803591	<LOD	<LOD
WD.1	30	44715	WD	136.2414621	283.0009195	4.085733531	<LOD	<LOD	<LOD	<LOD	<LOD	<LOD	<LOD	<LOD	<LOD	<LOD	<LOD	<LOD	<LOD
WD.2	31	44715	WD	3786.746855	4584.775134	36.10975947	<LOD	<LOD	<LOD	7.257015987	<LOD	9.596008588	<LOD	<LOD	<LOD	<LOD	<LOD	<LOD	<LOD
WD.3	32	44715	WD	3994.996035	4615.742362	45.18459	<LOD	<LOD	<LOD	17.05515229	<LOD	60.51816116	<LOD	<LOD	<LOD	<LOD	<LOD	<LOD	<LOD
WD.4	33	44715	WD	295.3874597	542.0516488	4.97514617	<LOD	<LOD	<LOD	<LOD	<LOD	<LOD	<LOD	<LOD	<LOD	<LOD	<LOD	<LOD	<LOD
WD.5	34	44715	WD	1563.277875	2400.407196	19.62383647	<LOD	<LOD	<LOD	<LOD	<LOD	3.265653862	<LOD	<LOD	<LOD	<LOD	<LOD	<LOD	<LOD
WD+F.1	35	44715	WD+F	2.363313512	8.54408051	<LOD	<LOD	<LOD	<LOD	<LOD	<LOD	<LOD	<LOD	<LOD	<LOD	<LOD	<LOD	<LOD	<LOD
WD+F.2	36	44715	WD+F	636.4882897	939.365104	13.47767628	<LOD	<LOD	86.09353852	356.0459908	<LOD	265.5880141	<LOD	<LOD	<LOD	<LOD	4.86343294	<LOD	<LOD
WD+F.3	37	44715	WD+F	2.783870942	10.04326332	<LOD	<LOD	<LOD	<LOD	<LOD	<LOD	<LOD	<LOD	<LOD	<LOD	<LOD	<LOD	<LOD	<LOD
WD+F.4	38	44715	WD+F	678.1269774	1401.781898	15.86735444	<LOD	<LOD	130.9399041	740.5198332	<LOD	504.3748932	<LOD	<LOD	<LOD	<LOD	3.437286132	<LOD	<LOD
Chow.1	39	44743	Chow	Insuficient Sample Size for Analysis															
Chow.2	40	44743	Chow	50.93272963	137.4953504	3.109367315	<LOD	<LOD	<LOD	14.24082858	<LOD	15.02177527	<LOD	<LOD	<LOD	<LOD	<LOD	<LOD	<LOD
Chow.3	41	44743	Chow	83.15463871	257.0784327	2.862167562	<LOD	<LOD	<LOD	11.04169343	<LOD	20.78011202	<LOD	<LOD	<LOD	<LOD	<LOD	<LOD	<LOD
Ctrl.1	42	44743	Ctrl	19.51914728	56.47903967	<LOD	<LOD	<LOD	<LOD	<LOD	<LOD	<LOD	<LOD	<LOD	<LOD	<LOD	<LOD	<LOD	<LOD
Ctrl.2	43	44743	Ctrl	40.66645602	105.3722362	<LOQ	<LOD	<LOD	<LOD	5.041549802	<LOD	7.25865845	<LOD	<LOD	<LOD	<LOD	<LOD	<LOD	<LOD
Ctrl.3	44	44743	Ctrl	9.575644472	26.7957398	<LOD	<LOD	<LOD	<LOD	<LOD	<LOD	<LOD	<LOD	<LOD	<LOD	<LOD	<LOD	<LOD	<LOD
Ctrl.4	45	44743	Ctrl	1336.952931	2935.76292	8.227697959	<LOD	<LOD	<LOD	27.95510598	<LOD	29.57254914	<LOD	<LOD	<LOD	<LOD	<LOD	<LOD	<LOD
WD.1	46	44743	WD	3444.59002	2791.784187	33.76071742	<LOD	<LOD	<LOD	13.08317848	<LOD	102.8017698	<LOD	<LOD	<LOD	<LOD	<LOD	<LOD	<LOD
WD.2	47	44743	WD	5757.907092	8784.949693	63.90396116	<LOD	<LOD	<LOD	25.56929128	<LOD	294.8196977	<LOD	<LOD	<LOD	<LOD	<LOD	<LOD	<LOD
WD.3	48	44743	WD	266.4173903	569.3032163	5.297585595	<LOD	<LOD	<LOD	<LOD	<LOD	7.874898997	<LOD	<LOD	<LOD	<LOD	<LOD	<LOD	<LOD
WD.4	49	44743	WD	457.2824038	575.2170693	10.09552778	<LOD	<LOD	<LOD	5.018526737	<LOD	19.29473398	<LOD	<LOD	<LOD	<LOD	<LOD	<LOD	<LOD
Chow.1	50	44757	Chow	179.4151835	417.396884	<LOQ	<LOD	<LOD	<LOD	168.7036585	<LOD	192.6632305	<LOD	<LOD	<LOD	<LOD	<LOD	<LOD	<LOD
Chow.2	51	44757	Chow	43.56255715	93.12275417	5.290956815	<LOD	<LOD	80.24348842	317.2592276	<LOD	177.8329994	<LOD	0.620311027	<LOD	97.76706656	<LOD	<LOD	<LOD
Chow.3	52	44757	Chow	12.57146168	22.70970464	<LOQ	<LOQ	<LOD	25.11115316	224.5631721	<LOD	<LOD	<LOD	<LOD	<LOD	<LOD	58.35171482	<LOD	16.04625507
Chow.4	53	44757	Chow	241.8616641	936.0495143	23.55034145	<LOD	<LOD	<LOD	<LOD	<LOD	<LOD	<LOD	<LOD	<LOD	<LOD	<LOD	<LOD	<LOD
Ctrl.1	54	44757	Ctrl	3876.200864	2782.508494	32.71639073	<LOD	<LOD	<LOD	20.23404696	<LOD	120.3023174	<LOD	<LOD	<LOD	<LOD	<LOD	<LOD	<LOD
Ctrl.2	55	44757	Ctrl	56.86184784	195.1902914	<LOD	<LOD	<LOD	<LOD	<LOD	<LOD	<LOD	<LOD	<LOD	<LOD	<LOD	<LOD	<LOD	<LOD
Ctrl.3	56	44757	Ctrl	10068.22814	17674.10023	85.42740904	<LOD	1.484144795	38.37091612	394.949744	<LOQ	522.4798936	<LOD	<LOD	<LOD	<LOD	<LOD	<LOD	<LOD
Ctrl.4	57	44757	Ctrl	245.5248867	454.0519506	<LOQ	<LOD	<LOD	<LOD	<LOD	<LOD	<LOD	<LOD	<LOD	<LOD	<LOD	<LOD	<LOD	<LOD
WD.1	58	44757	WD	246.55804	602.33768	6.71856726	<LOD	<LOD	<LOD	<LOD	<LOD	8.442020187	<LOD	<LOD	<LOD	<LOD	<LOD	<LOD	<LOD
WD.2	59	44757	WD	1160.950691	2056.327422	20.84731463	<LOD	<LOD	<LOD	<LOD	<LOD	24.16124053	<LOD	<LOD	<LOD	<LOD	<LOD	<LOD	<LOD
WD.3	60	44757	WD	2371.469517	3464.162136	30.58977164	<LOD	<LOD	13.95149278	164.0641091	<LOD	223.5564533	<LOD	<LOD	<LOD	<LOD	<LOD	<LOD	<LOD
WD.4	61	44757	WD	503.2989234	1290.829449	12.14361524	<LOD	<LOD	<LOD	<LOD	<LOD	3.705453866	<LOD	<LOD	<LOD	<LOD	<LOD	<LOD	<LOD
WD.5	62	44757	WD	241.6614714	538.8084503	5.90084129	<LOD	<LOD	<LOD	<LOD	<LOD	6.007588498	<LOD	<LOD	<LOD	<LOD	<LOD	<LOD	<LOD
Chow.1	63	44792	Chow	491.6966897	938.6155511	6.241370669	5.226757249	<LOD	53.20881888	642.5329949	<LOQ	70.2969998	<LOD	<LOD	<LOD	<LOD	180.1615207	<LOD	18.72255507
Chow.2	64	44792	Chow	3143.009472	4841.441955	15.39038341	45.69136627	<LOD	64.3810433	1473.177777	<LOQ	223.2411368	<LOD	<LOD	<LOD	<LOD	739.9658178	<LOD	20.97485314
Chow.3	65	44792	Chow	Insuficient Sample Size for Analysis															
Chow.4	66	44792	Chow	39.39280988	54.07602561	<LOQ	2.663722207	<LOD	46.77406834	435.6905205	<LOD	3.600922503	<LOD	<LOD	<LOD	<LOD	224.7673302	<LOD	35.72053142
Ctrl.1	67	44792	Ctrl	2658.381688	3651.887989	22.42881579	<LOD	<LOD	<LOD	91.50773226	<LOD	21.99226786	<LOD	<LOD	<LOD	<LOD	<LOD	<LOD	<LOD
Ctrl.2	68	44792	Ctrl	7581.294963	15676.75247	65.36841788	12.01033403	<LOD	21.15902473	179.1463464	1.387223771	10.75387819	<LOD	<LOD	<LOD	<LOD	65.65822928	<LOD	<LOD
Ctrl.3	69	44792	Ctrl	6424.886823	12824.89553	41.04338348	<LOD	<LOD	<LOD	104.1155123	<LOQ	59.09506239	<LOD	<LOD	<LOD	<LOD	<LOD	<LOD	<LOD
Ctrl+F.1	70	44792	Ctrl+F	882.2343218	3171.607287	24.1937024	<LOD	<LOD	<LOD	75.57924417	<LOD	182.0550233	<LOD	<LOD	<LOD	<LOD	<LOD	<LOD	<LOD
WD.1	71	44792	WD	18257.96092	44577.89629	187.094695	<LOD	<LOD	13.82161741	150.4547439	<LOQ	37.11547458	<LOD	<LOD	<LOD	<LOD	<LOD	<LOD	<LOD
WD+F.1	72	44792	WD+F	409.5733432	1396.555485	9.040225858	<LOD	<LOD	<LOD	9.710969332	<LOD	7.774357321	<LOD	<LOD	#VALUE!	<LOD	<LOD	<LOD	<LOD
WD+F.3	73	44792	WD+F	Insuficient Sample Size for Analysis															
WD+F.No.#	74	44792	WD+F	684.8370489	3135.630108	15.41826451	<LOD	<LOD	<LOD	63.35991853	<LOD	88.872626	<LOD	<LOD	<LOD	<LOD	<LOD	<LOD	<LOD
