Tube_Label,Collection Date,Sample_Type,Tube-Pre,Tube-Post,Wt (g),Wt (mg),Total Vol,Buffer Added,Actual Dilution,MultiFactor,1:10 MF,Total TcA Neat,Total TcB Neat,Total TcA 1:10,Total TcB 1:10,Extra_Sample
WD+F.3,6/3/22,WD+F,1.603,1.621,0.018,18.0,468.0,450.0,0.04,26.0,260,991.08,1046.94,1183.65,1709.89,
WD+F.4,6/3/22,WD+F,1.612,1.649,0.037,36.8,486.8,450.0,0.08,13.2,132,603.16,559.96,7529.48,4708.77,
Chow.1,7/1/22,Chow,1.616,1.635,0.019,19.4,469.4,450.0,0.04,24.2,242,271.78,468.66,Chow,Chow,
Chow.2,7/1/22,Chow,1.610,1.629,0.019,18.8,468.8,450.0,0.04,24.9,249,819.26,890.24,Chow,Chow,
Chow.3,7/1/22,Chow,1.606,1.668,0.062,61.6,616,554.4,0.10,10.0,100,480.46,371.78,Chow,Chow,
Ctrl.1,7/1/22,Ctrl,1.606,1.621,0.015,14.8,464.8,450.0,0.03,31.4,314,1299.99,1449.47,12943.87,11999.67,
Ctrl.2,7/1/22,Ctrl,1.614,1.642,0.028,28.1,478.1,450.0,0.06,17.0,170,759.57,777.20,3770.01,4777.68,
Ctrl.3,7/1/22,Ctrl,1.608,1.633,0.025,25.1,475.1,450.0,0.05,18.9,189,902.48,845.61,7758.17,6553.58,
Ctrl.4,7/1/22,Ctrl,1.607,1.641,0.034,33.6,483.6,450.0,0.07,14.4,144,625.70,664.34,7786.73,5170.97,
WD.1,7/1/22,WD,1.614,1.718,0.104,104.2,1042,937.8,0.10,10.0,100,369.58,267.81,3118.50,3514.55,*
WD.2,7/1/22,WD,1.615,1.654,0.039,39.2,489.2,450.0,0.08,12.5,125,469.03,301.36,5679.81,4967.00,
WD.3,7/1/22,WD,1.606,1.626,0.020,20.0,470.0,450.0,0.04,23.5,235,900.12,845.99,8685.48,9882.46,
WD.4,7/1/22,WD,1.607,1.655,0.048,47.7,497.7,450.0,0.10,10.4,104,355.21,310.63,5144.46,4263.58,
Chow.1,7/15/22,Chow,1.615,1.693,0.078,78.1,781,702.9,0.10,10.0,100,391.50,449.72,Chow,Chow,
Chow.2,7/15/22,Chow,1.610,1.627,0.017,16.6,466.6,450.0,0.04,28.1,281,1330.94,1204.32,Chow,Chow,
Chow.3,7/15/22,Chow,1.614,1.666,0.052,51.9,519,467.1,0.10,10.0,100,411.02,323.49,Chow,Chow,
Chow.4,7/15/22,Chow,1.612,1.628,0.016,16.4,466.4,450.0,0.04,28.4,284,1436.49,1323.20,Chow,Chow,
Ctrl.1,7/15/22,Ctrl,1.604,1.693,0.089,89.2,892,802.8,0.10,10.0,100,406.39,290.31,4107.75,3488.45,*
Ctrl.2,7/15/22,Ctrl,1.610,1.633,0.023,22.9,472.9,450.0,0.05,20.7,207,1151.11,862.83,8835.90,6200.48,
Ctrl.3,7/15/22,Ctrl,1.614,1.659,0.045,44.6,494.6,450.0,0.09,11.1,111,411.69,444.52,3343.88,1938.17,
Ctrl.4,7/15/22,Ctrl,1.611,1.665,0.054,54.0,540,486.0,0.10,10.0,100,315.92,237.38,3430.80,3420.00,
WD.1,7/15/22,WD,1.614,1.749,0.135,135.4,1354,1218.6,0.10,10.0,100,BDL,1.47,21.80,125.60,*
WD.2,7/15/22,WD,1.614,1.722,0.108,108.3,1083,974.7,0.10,10.0,100,0.75,3.37,15.35,168.00,*
WD.3,7/15/22,WD,1.607,1.701,0.094,93.8,938,844.2,0.10,10.0,100,460.76,249.93,4039.00,3431.65,*
WD.4,7/15/22,WD,1.605,1.724,0.119,119.0,1190,1071.0,0.10,10.0,100,BDL,BDL,21.25,148.00,*
WD.5,7/15/22,WD,1.612,1.722,0.110,110.2,1102,991.8,0.10,10.0,100,BDL,1.50,25.65,212.20,*
Chow.1,8/19/22,Chow,1.609,1.688,0.079,79.1,791,711.9,0.10,10.0,100,BDL,BDL,Chow,Chow,
Chow.2,8/19/22,Chow,1.609,1.666,0.057,56.7,567,510.3,0.10,10.0,100,25.87,3.57,Chow,Chow,
Chow.3,8/19/22,Chow,1.609,1.655,0.046,45.7,495.7,450.0,0.09,10.8,108,314.02,169.47,Chow,Chow,
Chow.4,8/19/22,Chow,1.609,1.679,0.070,69.6,696,626.4,0.10,10.0,100,45.16,4.35,Chow,Chow,*
Ctrl.1,8/19/22,Ctrl,1.609,1.672,0.063,63.1,631,567.9,0.10,10.0,100,111.86,83.45,187.30,326.20,
Ctrl.2,8/19/22,Ctrl,1.609,1.682,0.073,73.3,733,659.7,0.10,10.0,100,114.86,103.25,198.30,545.80,*
Ctrl.3,8/19/22,Ctrl,1.609,1.678,0.069,69.3,693,623.7,0.10,10.0,100,73.35,103.25,126.35,443.40,*
Ctrl+F.1,8/19/22,Ctrl+F,1.609,1.635,0.026,25.8,475.8,450.0,0.05,18.4,184,112.65,117.82,274.62,778.69,
WD.1,8/19/22,WD,1.609,1.700,0.091,90.7,907,816.3,0.10,10.0,100,71.99,92.81,100.20,406.90,
WD+F.1,8/19/22,WD+F,1.609,1.627,0.018,18.4,468.4,450.0,0.04,25.5,255,413.98,826.88,1134.24,2260.70,
WD+F.3,8/19/22,WD+F,1.609,1.675,0.066,65.5,655,589.5,0.10,10.0,100,516.97,387.08,4289.00,2210.45,
WD+F.No.#,8/19/22,WD+F,1.609,1.619,0.010,9.6,459.6,450.0,0.02,47.9,479,242.37,226.64,290.03,699.34,
,,,,,,,,,,,,,,,,
Non-standard dilution factor,,,,,,,,,,,,,,,,
