mouse_id	diet	sampleid	day_post_inf	sample_type	high_fat	high_fiber	purified_diet	seq_depth	facility	study	tissue	score
9884	LF/LF	Ctrl1.061722	3	cecum	0	0	1	57181	barrier_2	4	colon	8
9886	HF/LF	WD2.061722	3	cecum	1	0	1	53594	barrier_2	4	colon	0.6
9887	HF/LF	WD-3.061722	3	cecum	1	0	1	62917	barrier_2	4	colon	6.7
9888	HF/LF	WD5.061722	3	cecum	1	0	1	21191	barrier_2	4	colon	0
9939	Chow	Chow1.070122	3	cecum	0	0	0	33566	barrier_2	5	colon	1.1
9941	Chow	Chow3.070122	3	cecum	0	0	0	46599	barrier_2	5	colon	0
9943	Chow	Chow2.070122	3	cecum	0	0	0	94765	barrier_2	5	colon	4.1
9945	LF/LF	Ctrl4.070122	3	cecum	0	0	1	112920	barrier_2	5	colon	4.2
9946	LF/LF	Ctrl1.070122	3	cecum	0	0	1	57573	barrier_2	5	colon	9.2
9947	LF/LF	Ctrl3.070122	3	cecum	0	0	1	117102	barrier_2	5	colon	3.8
9948	LF/LF	Ctrl2.070122	3	cecum	0	0	1	46623	barrier_2	5	colon	2.8
9949	HF/LF	WD2.070122	3	cecum	1	0	1	47577	barrier_2	5	colon	1
9950	HF/LF	WD3.070122	3	cecum	1	0	1	68711	barrier_2	5	colon	1.8
9952	HF/LF	WD4.070122	3	cecum	1	0	1	36640	barrier_2	5	colon	1.3
9953	HF/LF	WD1.070122	3	cecum	1	0	1	45771	barrier_2	5	colon	0.4
9962	Chow	Chow3.071522	3	cecum	0	0	0	44673	barrier_2	6	colon	2.3
9965	Chow	Chow2.071522	3	cecum	0	0	0	56664	barrier_2	6	colon	0
9966	LF/LF	Ctrl1.071522	3	cecum	0	0	1	38368	barrier_2	6	colon	0.8
9968	LF/LF	Ctrl3.071522	3	cecum	0	0	1	71359	barrier_2	6	colon	5.4
9969	LF/LF	Ctrl2.071522	3	cecum	0	0	1	60968	barrier_2	6	colon	2.8
9970	LF/LF	Ctrl4.071522	3	cecum	0	0	1	43632	barrier_2	6	colon	1.7
9971	HF/LF	WD3.071522	3	cecum	1	0	1	45809	barrier_2	6	colon	0
9972	HF/LF	WD2.071522	3	cecum	1	0	1	27316	barrier_2	6	colon	0
9973	HF/LF	WD5.071522	3	cecum	1	0	1	29596	barrier_2	6	colon	0
9974	HF/LF	WD1.071522	3	cecum	1	0	1	39923	barrier_2	6	colon	0
9975	HF/LF	WD4.071522	3	cecum	1	0	1	25579	barrier_2	6	colon	0
