mouse_id	diet	sampleid	microbe_product	concentration	conc_normalized
9947	LF/LF	Ctrl3.070122	Acetic Acid (ug/g)	363	365
9947	LF/LF	Ctrl3.070122	Propanoic Acid (ug/g)	105.7	107.7
9947	LF/LF	Ctrl3.070122	n-Butanoic Acid (ug/g)	13.9	15.9
9948	LF/LF	Ctrl2.070122	Acetic Acid (ug/g)	383.7	385.7
9948	LF/LF	Ctrl2.070122	Propanoic Acid (ug/g)	139.5	141.5
9948	LF/LF	Ctrl2.070122	n-Butanoic Acid (ug/g)	74.5	76.5
9949	HF/LF	WD2.070122	Acetic Acid (ug/g)	163.2	165.2
9949	HF/LF	WD2.070122	Propanoic Acid (ug/g)	71.4	73.4
9949	HF/LF	WD2.070122	n-Butanoic Acid (ug/g)	3.5	5.5
9950	HF/LF	WD3.070122	Acetic Acid (ug/g)	202.8	204.8
9950	HF/LF	WD3.070122	Propanoic Acid (ug/g)	64.6	66.6
9950	HF/LF	WD3.070122	n-Butanoic Acid (ug/g)	4.3	6.3
9952	HF/LF	WD4.070122	Acetic Acid (ug/g)	135.3	137.3
9952	HF/LF	WD4.070122	Propanoic Acid (ug/g)	42.8	44.8
9952	HF/LF	WD4.070122	n-Butanoic Acid (ug/g)	2.5	4.5
9953	HF/LF	WD1.070122	Acetic Acid (ug/g)	142.3	144.3
9953	HF/LF	WD1.070122	Propanoic Acid (ug/g)	66.4	68.4
9953	HF/LF	WD1.070122	n-Butanoic Acid (ug/g)	2.2	4.2
9962	Chow	Chow3.071522	Acetic Acid (ug/g)	1767.3	1769.3
9962	Chow	Chow3.071522	Propanoic Acid (ug/g)	303.3	305.3
9962	Chow	Chow3.071522	n-Butanoic Acid (ug/g)	412.3	414.3
9965	Chow	Chow2.071522	Acetic Acid (ug/g)	482.1	484.1
9965	Chow	Chow2.071522	Propanoic Acid (ug/g)	249.9	251.9
9965	Chow	Chow2.071522	n-Butanoic Acid (ug/g)	115	117
9966	LF/LF	Ctrl1.071522	Acetic Acid (ug/g)	89.9	91.9
9966	LF/LF	Ctrl1.071522	Propanoic Acid (ug/g)	10.6	12.6
9966	LF/LF	Ctrl1.071522	n-Butanoic Acid (ug/g)	3.6	5.6
9968	LF/LF	Ctrl3.071522	Acetic Acid (ug/g)	411	413
9968	LF/LF	Ctrl3.071522	Propanoic Acid (ug/g)	41.3	43.3
9968	LF/LF	Ctrl3.071522	n-Butanoic Acid (ug/g)	7.3	9.3
9969	LF/LF	Ctrl2.071522	Acetic Acid (ug/g)	1414.8	1416.8
9969	LF/LF	Ctrl2.071522	Propanoic Acid (ug/g)	263.5	265.5
9969	LF/LF	Ctrl2.071522	n-Butanoic Acid (ug/g)	135.8	137.8
9970	LF/LF	Ctrl4.071522	Acetic Acid (ug/g)	1409.4	1411.4
9970	LF/LF	Ctrl4.071522	Propanoic Acid (ug/g)	718.2	720.2
9970	LF/LF	Ctrl4.071522	n-Butanoic Acid (ug/g)	80.3	82.3
9971	HF/LF	WD3.071522	Acetic Acid (ug/g)	236.6	238.6
9971	HF/LF	WD3.071522	Propanoic Acid (ug/g)	172.6	174.6
9971	HF/LF	WD3.071522	n-Butanoic Acid (ug/g)	10.6	12.6
9972	HF/LF	WD2.071522	Acetic Acid (ug/g)	24.8	26.8
9972	HF/LF	WD2.071522	Propanoic Acid (ug/g)	0	2
9972	HF/LF	WD2.071522	n-Butanoic Acid (ug/g)	0	2
9973	HF/LF	WD5.071522	Acetic Acid (ug/g)	19	21
9973	HF/LF	WD5.071522	Propanoic Acid (ug/g)	0	2
9973	HF/LF	WD5.071522	n-Butanoic Acid (ug/g)	0	2
9974	HF/LF	WD1.071522	Acetic Acid (ug/g)	39.1	41.1
9974	HF/LF	WD1.071522	Propanoic Acid (ug/g)	0	2
9974	HF/LF	WD1.071522	n-Butanoic Acid (ug/g)	0	2
9975	HF/LF	WD4.071522	Acetic Acid (ug/g)	29.8	31.8
9975	HF/LF	WD4.071522	Propanoic Acid (ug/g)	0	2
9975	HF/LF	WD4.071522	n-Butanoic Acid (ug/g)	0	2
103	HF/HF	WD+F.081222	Acetic Acid (ug/g)	215.9	217.9
103	HF/HF	WD+F.081222	Propanoic Acid (ug/g)	29.8	31.8
103	HF/HF	WD+F.081222	n-Butanoic Acid (ug/g)	7.8	9.8
106	LF/LF	Ctrl2.081222	Acetic Acid (ug/g)	206.2	208.2
106	LF/LF	Ctrl2.081222	Propanoic Acid (ug/g)	111.5	113.5
106	LF/LF	Ctrl2.081222	n-Butanoic Acid (ug/g)	43.5	45.5
108	LF/LF	Ctrl3.081222	Acetic Acid (ug/g)	216.7	218.7
108	LF/LF	Ctrl3.081222	Propanoic Acid (ug/g)	100	102
108	LF/LF	Ctrl3.081222	n-Butanoic Acid (ug/g)	1	3
109	LF/LF	Ctrl1.081222	Acetic Acid (ug/g)	251.9	253.9
109	LF/LF	Ctrl1.081222	Propanoic Acid (ug/g)	110.3	112.3
109	LF/LF	Ctrl1.081222	n-Butanoic Acid (ug/g)	8.8	10.8
113	HF/LF	WD+1.081222	Acetic Acid (ug/g)	476.1	478.1
113	HF/LF	WD+1.081222	Propanoic Acid (ug/g)	151.2	153.2
113	HF/LF	WD+1.081222	n-Butanoic Acid (ug/g)	1.7	3.7
114	Chow	Chow4.081222	Acetic Acid (ug/g)	888.9	890.9
114	Chow	Chow4.081222	Propanoic Acid (ug/g)	132.9	134.9
114	Chow	Chow4.081222	n-Butanoic Acid (ug/g)	333.7	335.7
116	Chow	Chow2.081222	Acetic Acid (ug/g)	1043.4	1045.4
116	Chow	Chow2.081222	Propanoic Acid (ug/g)	113.9	115.9
116	Chow	Chow2.081222	n-Butanoic Acid (ug/g)	593.4	595.4
117	Chow	Chow1.081222	Acetic Acid (ug/g)	962.1	964.1
117	Chow	Chow1.081222	Propanoic Acid (ug/g)	57.1	59.1
117	Chow	Chow1.081222	n-Butanoic Acid (ug/g)	723	725
9740	Chow	Chow1.050622	Acetic Acid (ug/g)	1611.8	1613.8
9740	Chow	Chow1.050622	Propanoic Acid (ug/g)	398	400
9740	Chow	Chow1.050622	n-Butanoic Acid (ug/g)	394.9	396.9
9741	Chow	Chow2.050622	Acetic Acid (ug/g)	938.6	940.6
9741	Chow	Chow2.050622	Propanoic Acid (ug/g)	249.9	251.9
9741	Chow	Chow2.050622	n-Butanoic Acid (ug/g)	389.9	391.9
9742	Chow	Chow4.050622	Acetic Acid (ug/g)	810	812
9742	Chow	Chow4.050622	Propanoic Acid (ug/g)	153.8	155.8
9742	Chow	Chow4.050622	n-Butanoic Acid (ug/g)	250	252
9743	Chow	Chow3.050622	Acetic Acid (ug/g)	2271.2	2273.2
9743	Chow	Chow3.050622	Propanoic Acid (ug/g)	467.2	469.2
9743	Chow	Chow3.050622	n-Butanoic Acid (ug/g)	1082.2	1084.2
9747	LF/LF	CtrlF1.050622	Acetic Acid (ug/g)	1353.5	1355.5
9747	LF/LF	CtrlF1.050622	Propanoic Acid (ug/g)	119.6	121.6
9747	LF/LF	CtrlF1.050622	n-Butanoic Acid (ug/g)	77.6	79.6
9831	LF/HF	CtrlF4.060322	Acetic Acid (ug/g)	612.3	614.3
9831	LF/HF	CtrlF4.060322	Propanoic Acid (ug/g)	142.4	144.4
9831	LF/HF	CtrlF4.060322	n-Butanoic Acid (ug/g)	37.1	39.1
9832	LF/HF	CtrlF3.060322	Acetic Acid (ug/g)	195.5	197.5
9832	LF/HF	CtrlF3.060322	Propanoic Acid (ug/g)	59.3	61.3
9832	LF/HF	CtrlF3.060322	n-Butanoic Acid (ug/g)	4.5	6.5
9833	LF/HF	CtrlF1.060322	Acetic Acid (ug/g)	609.7	611.7
9833	LF/HF	CtrlF1.060322	Propanoic Acid (ug/g)	111.2	113.2
9833	LF/HF	CtrlF1.060322	n-Butanoic Acid (ug/g)	50.8	52.8
9834	LF/HF	CtrlF2.060322	Acetic Acid (ug/g)	402	404
9834	LF/HF	CtrlF2.060322	Propanoic Acid (ug/g)	58.6	60.6
9834	LF/HF	CtrlF2.060322	n-Butanoic Acid (ug/g)	0	2
9836	HF/HF	W+F4.060322	Acetic Acid (ug/g)	750.5	752.5
9836	HF/HF	W+F4.060322	Propanoic Acid (ug/g)	295.4	297.4
9836	HF/HF	W+F4.060322	n-Butanoic Acid (ug/g)	40.6	42.6
9837	HF/HF	W+F2.060322	Acetic Acid (ug/g)	378.9	380.9
9837	HF/HF	W+F2.060322	Propanoic Acid (ug/g)	187.9	189.9
9837	HF/HF	W+F2.060322	n-Butanoic Acid (ug/g)	35.5	37.5
9842	LF/LF	Ctrl2.060322	Acetic Acid (ug/g)	235.3	237.3
9842	LF/LF	Ctrl2.060322	Propanoic Acid (ug/g)	26.1	28.1
9842	LF/LF	Ctrl2.060322	n-Butanoic Acid (ug/g)	1.2	3.2
9846	HF/LF	WD3.060322	Acetic Acid (ug/g)	99	101
9846	HF/LF	WD3.060322	Propanoic Acid (ug/g)	3.8	5.8
9846	HF/LF	WD3.060322	n-Butanoic Acid (ug/g)	1.2	3.2
9847	HF/LF	WD1.060322	Acetic Acid (ug/g)	167.8	169.8
9847	HF/LF	WD1.060322	Propanoic Acid (ug/g)	21.2	23.2
9847	HF/LF	WD1.060322	n-Butanoic Acid (ug/g)	11.2	13.2
9848	HF/LF	WD4.060322	Acetic Acid (ug/g)	85.5	87.5
9848	HF/LF	WD4.060322	Propanoic Acid (ug/g)	7.9	9.9
9848	HF/LF	WD4.060322	n-Butanoic Acid (ug/g)	2.9	4.9
9849	HF/LF	WD2.060322	Acetic Acid (ug/g)	56.8	58.8
9849	HF/LF	WD2.060322	Propanoic Acid (ug/g)	3.5	5.5
9849	HF/LF	WD2.060322	n-Butanoic Acid (ug/g)	1.1	3.1
9851	HF/LF	WD5.060322	Acetic Acid (ug/g)	43.6	45.6
9851	HF/LF	WD5.060322	Propanoic Acid (ug/g)	3	5
9851	HF/LF	WD5.060322	n-Butanoic Acid (ug/g)	1.1	3.1
9941	Chow	Chow3.070122	Acetic Acid (ug/g)	769.7	771.7
9941	Chow	Chow3.070122	Propanoic Acid (ug/g)	115.3	117.3
9941	Chow	Chow3.070122	n-Butanoic Acid (ug/g)	27	29
9943	Chow	Chow2.070122	Acetic Acid (ug/g)	590.9	592.9
9943	Chow	Chow2.070122	Propanoic Acid (ug/g)	77.6	79.6
9943	Chow	Chow2.070122	n-Butanoic Acid (ug/g)	23.2	25.2
9945	LF/LF	Ctrl4.070122	Acetic Acid (ug/g)	469.7	471.7
9945	LF/LF	Ctrl4.070122	Propanoic Acid (ug/g)	122.6	124.6
9945	LF/LF	Ctrl4.070122	n-Butanoic Acid (ug/g)	17.1	19.1
9946	LF/LF	Ctrl1.070122	Acetic Acid (ug/g)	242.3	244.3
9946	LF/LF	Ctrl1.070122	Propanoic Acid (ug/g)	55.7	57.7
9946	LF/LF	Ctrl1.070122	n-Butanoic Acid (ug/g)	4.1	6.1
9947	LF/LF	Ctrl3.070122	Acetic Acid (ug/g)	363	365
9947	LF/LF	Ctrl3.070122	Propanoic Acid (ug/g)	105.7	107.7
9947	LF/LF	Ctrl3.070122	n-Butanoic Acid (ug/g)	13.9	15.9
9948	LF/LF	Ctrl2.070122	Acetic Acid (ug/g)	383.7	385.7
9948	LF/LF	Ctrl2.070122	Propanoic Acid (ug/g)	139.5	141.5
9948	LF/LF	Ctrl2.070122	n-Butanoic Acid (ug/g)	74.5	76.5
9949	HF/LF	WD2.070122	Acetic Acid (ug/g)	163.2	165.2
9949	HF/LF	WD2.070122	Propanoic Acid (ug/g)	71.4	73.4
9949	HF/LF	WD2.070122	n-Butanoic Acid (ug/g)	3.5	5.5
9950	HF/LF	WD3.070122	Acetic Acid (ug/g)	202.8	204.8
9950	HF/LF	WD3.070122	Propanoic Acid (ug/g)	64.6	66.6
9950	HF/LF	WD3.070122	n-Butanoic Acid (ug/g)	4.3	6.3
9952	HF/LF	WD4.070122	Acetic Acid (ug/g)	135.3	137.3
9952	HF/LF	WD4.070122	Propanoic Acid (ug/g)	42.8	44.8
9952	HF/LF	WD4.070122	n-Butanoic Acid (ug/g)	2.5	4.5
9953	HF/LF	WD1.070122	Acetic Acid (ug/g)	142.3	144.3
9953	HF/LF	WD1.070122	Propanoic Acid (ug/g)	66.4	68.4
9953	HF/LF	WD1.070122	n-Butanoic Acid (ug/g)	2.2	4.2
9962	Chow	Chow3.071522	Acetic Acid (ug/g)	1767.3	1769.3
9962	Chow	Chow3.071522	Propanoic Acid (ug/g)	303.3	305.3
9962	Chow	Chow3.071522	n-Butanoic Acid (ug/g)	412.3	414.3
9965	Chow	Chow2.071522	Acetic Acid (ug/g)	482.1	484.1
9965	Chow	Chow2.071522	Propanoic Acid (ug/g)	249.9	251.9
9965	Chow	Chow2.071522	n-Butanoic Acid (ug/g)	115	117
9966	LF/LF	Ctrl1.071522	Acetic Acid (ug/g)	89.9	91.9
9966	LF/LF	Ctrl1.071522	Propanoic Acid (ug/g)	10.6	12.6
9966	LF/LF	Ctrl1.071522	n-Butanoic Acid (ug/g)	3.6	5.6
9968	LF/LF	Ctrl3.071522	Acetic Acid (ug/g)	411	413
9968	LF/LF	Ctrl3.071522	Propanoic Acid (ug/g)	41.3	43.3
9968	LF/LF	Ctrl3.071522	n-Butanoic Acid (ug/g)	7.3	9.3
9969	LF/LF	Ctrl2.071522	Acetic Acid (ug/g)	1414.8	1416.8
9969	LF/LF	Ctrl2.071522	Propanoic Acid (ug/g)	263.5	265.5
9969	LF/LF	Ctrl2.071522	n-Butanoic Acid (ug/g)	135.8	137.8
9970	LF/LF	Ctrl4.071522	Acetic Acid (ug/g)	1409.4	1411.4
9970	LF/LF	Ctrl4.071522	Propanoic Acid (ug/g)	718.2	720.2
9970	LF/LF	Ctrl4.071522	n-Butanoic Acid (ug/g)	80.3	82.3
9971	HF/LF	WD3.071522	Acetic Acid (ug/g)	236.6	238.6
9971	HF/LF	WD3.071522	Propanoic Acid (ug/g)	172.6	174.6
9971	HF/LF	WD3.071522	n-Butanoic Acid (ug/g)	10.6	12.6
9972	HF/LF	WD2.071522	Acetic Acid (ug/g)	24.8	26.8
9972	HF/LF	WD2.071522	Propanoic Acid (ug/g)	0	2
9972	HF/LF	WD2.071522	n-Butanoic Acid (ug/g)	0	2
9973	HF/LF	WD5.071522	Acetic Acid (ug/g)	19	21
9973	HF/LF	WD5.071522	Propanoic Acid (ug/g)	0	2
9973	HF/LF	WD5.071522	n-Butanoic Acid (ug/g)	0	2
9974	HF/LF	WD1.071522	Acetic Acid (ug/g)	39.1	41.1
9974	HF/LF	WD1.071522	Propanoic Acid (ug/g)	0	2
9974	HF/LF	WD1.071522	n-Butanoic Acid (ug/g)	0	2
9975	HF/LF	WD4.071522	Acetic Acid (ug/g)	29.8	31.8
9975	HF/LF	WD4.071522	Propanoic Acid (ug/g)	0	2
9975	HF/LF	WD4.071522	n-Butanoic Acid (ug/g)	0	2
103	HF/HF	WD+F.081222	Total TcA Neat	242.37	244.37
103	HF/HF	WD+F.081222	Total TcB Neat	226.64	228.64
106	LF/LF	Ctrl2.081222	Total TcA Neat	114.86	116.86
106	LF/LF	Ctrl2.081222	Total TcB Neat	103.25	105.25
108	LF/LF	Ctrl3.081222	Total TcA Neat	73.35	75.35
108	LF/LF	Ctrl3.081222	Total TcB Neat	103.25	105.25
109	LF/LF	Ctrl1.081222	Total TcA Neat	111.86	113.86
109	LF/LF	Ctrl1.081222	Total TcB Neat	83.45	85.45
113	HF/LF	WD+1.081222	Total TcA Neat	71.99	73.99
113	HF/LF	WD+1.081222	Total TcB Neat	92.81	94.81
114	Chow	Chow4.081222	Total TcA Neat	45.16	47.16
114	Chow	Chow4.081222	Total TcB Neat	4.35	6.35
115	Chow	Chow3.081222	Total TcA Neat	314.02	316.02
115	Chow	Chow3.081222	Total TcB Neat	169.47	171.47
116	Chow	Chow2.081222	Total TcA Neat	25.87	27.87
116	Chow	Chow2.081222	Total TcB Neat	3.57	5.57
117	Chow	Chow1.081222	Total TcA Neat	0	2
117	Chow	Chow1.081222	Total TcB Neat	0	2
9740	Chow	Chow1.050622	Total TcA Neat	378.76	380.76
9740	Chow	Chow1.050622	Total TcB Neat	436.61	438.61
9741	Chow	Chow2.050622	Total TcA Neat	1.36	3.3600000000000003
9741	Chow	Chow2.050622	Total TcB Neat	3.89	5.890000000000001
9742	Chow	Chow4.050622	Total TcA Neat	55.82	57.82
9742	Chow	Chow4.050622	Total TcB Neat	333.69	335.69
9743	Chow	Chow3.050622	Total TcA Neat	35.65	37.65
9743	Chow	Chow3.050622	Total TcB Neat	76.5	78.5
9747	LF/LF	CtrlF1.050622	Total TcA Neat	451.19	453.19
9747	LF/LF	CtrlF1.050622	Total TcB Neat	564.13	566.13
9831	LF/HF	CtrlF4.060322	Total TcA Neat	793.53	795.53
9831	LF/HF	CtrlF4.060322	Total TcB Neat	867.16	869.16
9832	LF/HF	CtrlF3.060322	Total TcA Neat	517.95	519.95
9832	LF/HF	CtrlF3.060322	Total TcB Neat	575.27	577.27
9833	LF/HF	CtrlF1.060322	Total TcA Neat	431.68	433.68
9833	LF/HF	CtrlF1.060322	Total TcB Neat	535.36	537.36
9834	LF/HF	CtrlF2.060322	Total TcA Neat	115.81	117.81
9834	LF/HF	CtrlF2.060322	Total TcB Neat	228.34	230.34
9835	LF/HF	CtrlF5.060322	Total TcA Neat	514.72	516.72
9835	LF/HF	CtrlF5.060322	Total TcB Neat	611.53	613.53
9836	HF/HF	W+F4.060322	Total TcA Neat	603.16	605.16
9836	HF/HF	W+F4.060322	Total TcB Neat	559.96	561.96
9837	HF/HF	W+F2.060322	Total TcA Neat	466.3	468.3
9837	HF/HF	W+F2.060322	Total TcB Neat	444.42	446.42
9842	LF/LF	Ctrl2.060322	Total TcA Neat	469.05	471.05
9842	LF/LF	Ctrl2.060322	Total TcB Neat	446.98	448.98
9846	HF/LF	WD3.060322	Total TcA Neat	428.88	430.88
9846	HF/LF	WD3.060322	Total TcB Neat	445.06	447.06
9847	HF/LF	WD1.060322	Total TcA Neat	470.41	472.41
9847	HF/LF	WD1.060322	Total TcB Neat	475.9	477.9
9848	HF/LF	WD4.060322	Total TcA Neat	623.63	625.63
9848	HF/LF	WD4.060322	Total TcB Neat	699.27	701.27
9849	HF/LF	WD2.060322	Total TcA Neat	392.56	394.56
9849	HF/LF	WD2.060322	Total TcB Neat	401.58	403.58
9851	HF/LF	WD5.060322	Total TcA Neat	368.74	370.74
9851	HF/LF	WD5.060322	Total TcB Neat	363.89	365.89
9939	Chow	Chow1.070122	Total TcA Neat	271.78	273.78
9939	Chow	Chow1.070122	Total TcB Neat	468.66	470.66
9941	Chow	Chow3.070122	Total TcA Neat	480.46	482.46
9941	Chow	Chow3.070122	Total TcB Neat	371.78	373.78
9943	Chow	Chow2.070122	Total TcA Neat	819.26	821.26
9943	Chow	Chow2.070122	Total TcB Neat	890.24	892.24
9945	LF/LF	Ctrl4.070122	Total TcA Neat	625.7	627.7
9945	LF/LF	Ctrl4.070122	Total TcB Neat	664.34	666.34
9946	LF/LF	Ctrl1.070122	Total TcA Neat	1299.99	1301.99
9946	LF/LF	Ctrl1.070122	Total TcB Neat	1449.47	1451.47
9947	LF/LF	Ctrl3.070122	Total TcA Neat	902.48	904.48
9947	LF/LF	Ctrl3.070122	Total TcB Neat	845.61	847.61
9948	LF/LF	Ctrl2.070122	Total TcA Neat	759.57	761.57
9948	LF/LF	Ctrl2.070122	Total TcB Neat	777.2	779.2
9949	HF/LF	WD2.070122	Total TcA Neat	469.03	471.03
9949	HF/LF	WD2.070122	Total TcB Neat	301.36	303.36
9950	HF/LF	WD3.070122	Total TcA Neat	900.12	902.12
9950	HF/LF	WD3.070122	Total TcB Neat	845.99	847.99
9952	HF/LF	WD4.070122	Total TcA Neat	355.21	357.21
9952	HF/LF	WD4.070122	Total TcB Neat	310.63	312.63
9953	HF/LF	WD1.070122	Total TcA Neat	369.58	371.58
9953	HF/LF	WD1.070122	Total TcB Neat	267.81	269.81
9962	Chow	Chow3.071522	Total TcA Neat	411.02	413.02
9962	Chow	Chow3.071522	Total TcB Neat	323.49	325.49
9965	Chow	Chow2.071522	Total TcA Neat	1330.94	1332.94
9965	Chow	Chow2.071522	Total TcB Neat	1204.32	1206.32
9966	LF/LF	Ctrl1.071522	Total TcA Neat	406.39	408.39
9966	LF/LF	Ctrl1.071522	Total TcB Neat	290.31	292.31
9968	LF/LF	Ctrl3.071522	Total TcA Neat	411.69	413.69
9968	LF/LF	Ctrl3.071522	Total TcB Neat	444.52	446.52
9969	LF/LF	Ctrl2.071522	Total TcA Neat	1151.11	1153.11
9969	LF/LF	Ctrl2.071522	Total TcB Neat	862.83	864.83
9970	LF/LF	Ctrl4.071522	Total TcA Neat	315.92	317.92
9970	LF/LF	Ctrl4.071522	Total TcB Neat	237.38	239.38
