vendor	mouse_id	experiment	mouse_sex	diet	sac_exptDay	survival	day_post_inf
taconic	CDD02.Tc.HFLF.4	CDD02	Female	HF/LF	20	1	5
taconic	CDD02.Tc.HFLF.5	CDD02	Female	HF/LF	21	1	6
taconic	CDD02.Tc.LFHF.1	CDD02	Female	LF/HF	30	0	15
taconic	CDD02.Tc.LFHF.2	CDD02	Female	LF/HF	30	0	15
taconic	CDD02.Tc.LFHF.3	CDD02	Female	LF/HF	30	0	15
taconic	CDD02.Tc.LFHF.4	CDD02	Female	LF/HF	30	0	15
taconic	CDD02.Tc.LFHF.5	CDD02	Female	LF/HF	30	0	15
taconic	CDD02.Tc.LFLF.1	CDD02	Female	LF/LF	21	1	6
taconic	CDD02.Tc.LFLF.2	CDD02	Female	LF/LF	21	1	6
taconic	CDD02.Tc.LFLF.3	CDD02	Female	LF/LF	21	1	6
taconic	CDD02.Tc.LFLF.4	CDD02	Female	LF/LF	21	1	6
taconic	CDD02.Tc.LFLF.5	CDD02	Female	LF/LF	20	1	5
taconic	CDD03.Tc.Chow.1	CDD03	Female	Chow	30	0	15
taconic	CDD03.Tc.Chow.2	CDD03	Female	Chow	29	1	14
taconic	CDD03.Tc.Chow.3	CDD03	Female	Chow	30	0	15
taconic	CDD03.Tc.Chow.4	CDD03	Female	Chow	29	1	14
taconic	CDD03.Tc.Chow.5	CDD03	Female	Chow	30	0	15
taconic	CDD03.Tc.HFHF.1	CDD03	Female	HF/HF	30	0	15
taconic	CDD03.Tc.HFHF.2	CDD03	Female	HF/HF	30	0	15
taconic	CDD03.Tc.HFHF.3	CDD03	Female	HF/HF	29	1	14
taconic	CDD03.Tc.HFHF.4	CDD03	Female	HF/HF	30	0	15
taconic	CDD03.Tc.HFHF.5	CDD03	Female	HF/HF	29	1	14
taconic	CDD03.Tc.HFLF.1	CDD03	Female	HF/LF	29	1	14
taconic	CDD03.Tc.HFLF.2	CDD03	Female	HF/LF	22	1	7
taconic	CDD03.Tc.HFLF.3	CDD03	Female	HF/LF	30	0	15
taconic	CDD03.Tc.HFLF.4	CDD03	Female	HF/LF	29	1	14
taconic	CDD03.Tc.HFLF.5	CDD03	Female	HF/LF	30	0	15
taconic	CDD03.Tc.LFHF.1	CDD03	Female	LF/HF	30	0	15
taconic	CDD03.Tc.LFHF.2	CDD03	Female	LF/HF	29	1	14
taconic	CDD03.Tc.LFHF.3	CDD03	Female	LF/HF	30	0	15
taconic	CDD03.Tc.LFHF.4	CDD03	Female	LF/HF	30	0	15
taconic	CDD03.Tc.LFHF.5	CDD03	Female	LF/HF	29	1	14
taconic	CDD03.Tc.LFLF.1	CDD03	Female	LF/LF	21	1	6
taconic	CDD03.Tc.LFLF.2	CDD03	Female	LF/LF	29	1	14
taconic	CDD03.Tc.LFLF.3	CDD03	Female	LF/LF	21	1	6
taconic	CDD03.Tc.LFLF.4	CDD03	Female	LF/LF	29	1	14
taconic	CDD03.Tc.LFLF.5	CDD03	Female	LF/LF	20	1	5
