#SampleID	study	mouse_sex	diet	vendor	experiment	experiment_day	mouse_id	experiment_set	day_post_inf	sample_type	high_fat	high_fiber	purified_diet
CDD02.CR.HFLF.3.00	2	Female	HF/LF	charles_river	CDD02	0	CDD02.CR.HFLF.3	new_exp_anschutz	-15	colon	1	0	1
CDD02.Tc.HFLF.2.00	2	Female	HF/LF	taconic	CDD02	0	CDD02.Tc.HFLF.2	new_exp_anschutz	-15	colon	1	0	1
CDD02.CR.Chow.2.00	2	Female	Chow	charles_river	CDD02	0	CDD02.CR.Chow.2	new_exp_anschutz	-15	colon	0	0	0
CDD02.Tc.HFHF.1.00	2	Female	HF/HF	taconic	CDD02	0	CDD02.Tc.HFHF.1	new_exp_anschutz	-15	colon	1	1	1
CDD02.CR.LFLF.3.00	2	Female	LF/LF	charles_river	CDD02	0	CDD02.CR.LFLF.3	new_exp_anschutz	-15	colon	0	0	1
CDD02.Tc.LFHF.2.00	2	Female	LF/HF	taconic	CDD02	0	CDD02.Tc.LFHF.2	new_exp_anschutz	-15	colon	0	1	1
CDD02.Tc.HFLF.4.00	2	Female	HF/LF	taconic	CDD02	0	CDD02.Tc.HFLF.4	new_exp_anschutz	-15	colon	1	0	1
CDD02.Tc.HFLF.5.00	2	Female	HF/LF	taconic	CDD02	0	CDD02.Tc.HFLF.5	new_exp_anschutz	-15	colon	1	0	1
CDD02.CR.LFLF.4.00	2	Female	LF/LF	charles_river	CDD02	0	CDD02.CR.LFLF.4	new_exp_anschutz	-15	colon	0	0	1
CDD02.Tc.LFHF.3.00	2	Female	LF/HF	taconic	CDD02	0	CDD02.Tc.LFHF.3	new_exp_anschutz	-15	colon	0	1	1
CDD02.Tc.HFHF.4.00	2	Female	HF/HF	taconic	CDD02	0	CDD02.Tc.HFHF.4	new_exp_anschutz	-15	colon	1	1	1
CDD02.Tc.LFLF.5.00	2	Female	LF/LF	taconic	CDD02	0	CDD02.Tc.LFLF.5	new_exp_anschutz	-15	colon	0	0	1
CDD02.Tc.Chow.5.00	2	Female	Chow	taconic	CDD02	0	CDD02.Tc.Chow.5	new_exp_anschutz	-15	colon	0	0	0
CDD02.Tc.HFLF.1.00	2	Female	HF/LF	taconic	CDD02	0	CDD02.Tc.HFLF.1	new_exp_anschutz	-15	colon	1	0	1
CDD02.CR.HFLF.2.00	2	Female	HF/LF	charles_river	CDD02	0	CDD02.CR.HFLF.2	new_exp_anschutz	-15	colon	1	0	1
CDD02.Tc.Chow.3.00	2	Female	Chow	taconic	CDD02	0	CDD02.Tc.Chow.3	new_exp_anschutz	-15	colon	0	0	0
CDD02.Tc.LFHF.4.00	2	Female	LF/HF	taconic	CDD02	0	CDD02.Tc.LFHF.4	new_exp_anschutz	-15	colon	0	1	1
CDD02.Tc.LFHF.5.00	2	Female	LF/HF	taconic	CDD02	0	CDD02.Tc.LFHF.5	new_exp_anschutz	-15	colon	0	1	1
CDD02.Tc.HFHF.3.00	2	Female	HF/HF	taconic	CDD02	0	CDD02.Tc.HFHF.3	new_exp_anschutz	-15	colon	1	1	1
CDD02.CR.HFLF.1.00	2	Female	HF/LF	charles_river	CDD02	0	CDD02.CR.HFLF.1	new_exp_anschutz	-15	colon	1	0	1
CDD02.Tc.LFLF.1.00	2	Female	LF/LF	taconic	CDD02	0	CDD02.Tc.LFLF.1	new_exp_anschutz	-15	colon	0	0	1
CDD02.Tc.LFLF.2.00	2	Female	LF/LF	taconic	CDD02	0	CDD02.Tc.LFLF.2	new_exp_anschutz	-15	colon	0	0	1
CDD02.Tc.LFLF.3.00	2	Female	LF/LF	taconic	CDD02	0	CDD02.Tc.LFLF.3	new_exp_anschutz	-15	colon	0	0	1
CDD02.Tc.HFHF.2.00	2	Female	HF/HF	taconic	CDD02	0	CDD02.Tc.HFHF.2	new_exp_anschutz	-15	colon	1	1	1
CDD02.Tc.LFHF.1.00	2	Female	LF/HF	taconic	CDD02	0	CDD02.Tc.LFHF.1	new_exp_anschutz	-15	colon	0	1	1
CDD02.CR.HFHF.1.00	2	Female	HF/HF	charles_river	CDD02	0	CDD02.CR.HFHF.1	new_exp_anschutz	-15	colon	1	1	1
CDD02.Tc.LFHF.2.18	2	Female	LF/HF	taconic	CDD02	18	CDD02.Tc.LFHF.2	new_exp_anschutz	3	colon	0	1	1
CDD02.Tc.LFLF.5.18	2	Female	LF/LF	taconic	CDD02	18	CDD02.Tc.LFLF.5	new_exp_anschutz	3	colon	0	0	1
CDD02.CR.LFHF.2.00	2	Female	LF/HF	charles_river	CDD02	0	CDD02.CR.LFHF.2	new_exp_anschutz	-15	colon	0	1	1
CDD02.CR.HFLF.5.00	2	Female	HF/LF	charles_river	CDD02	0	CDD02.CR.HFLF.5	new_exp_anschutz	-15	colon	1	0	1
CDD02.CR.Chow.2.18	2	Female	Chow	charles_river	CDD02	18	CDD02.CR.Chow.2	new_exp_anschutz	3	colon	0	0	0
CDD02.Tc.LFHF.1.18	2	Female	LF/HF	taconic	CDD02	18	CDD02.Tc.LFHF.1	new_exp_anschutz	3	colon	0	1	1
CDD02.CR.HFHF.3.00	2	Female	HF/HF	charles_river	CDD02	0	CDD02.CR.HFHF.3	new_exp_anschutz	-15	colon	1	1	1
CDD02.CR.Chow.1.18	2	Female	Chow	charles_river	CDD02	18	CDD02.CR.Chow.1	new_exp_anschutz	3	colon	0	0	0
CDD02.Tc.LFLF.4.18	2	Female	LF/LF	taconic	CDD02	18	CDD02.Tc.LFLF.4	new_exp_anschutz	3	colon	0	0	1
CDD02.CR.LFHF.5.00	2	Female	LF/HF	charles_river	CDD02	0	CDD02.CR.LFHF.5	new_exp_anschutz	-15	colon	0	1	1
CDD02.CR.HFHF.4.00	2	Female	HF/HF	charles_river	CDD02	0	CDD02.CR.HFHF.4	new_exp_anschutz	-15	colon	1	1	1
CDD02.CR.HFHF.5.00	2	Female	HF/HF	charles_river	CDD02	0	CDD02.CR.HFHF.5	new_exp_anschutz	-15	colon	1	1	1
CDD02.Tc.LFLF.1.18	2	Female	LF/LF	taconic	CDD02	18	CDD02.Tc.LFLF.1	new_exp_anschutz	3	colon	0	0	1
CDD02.CR.LFHF.1.00	2	Female	LF/HF	charles_river	CDD02	0	CDD02.CR.LFHF.1	new_exp_anschutz	-15	colon	0	1	1
CDD02.CR.LFHF.3.00	2	Female	LF/HF	charles_river	CDD02	0	CDD02.CR.LFHF.3	new_exp_anschutz	-15	colon	0	1	1
CDD02.CR.Chow.3.18	2	Female	Chow	charles_river	CDD02	18	CDD02.CR.Chow.3	new_exp_anschutz	3	colon	0	0	0
CDD02.CR.HFLF.4.00	2	Female	HF/LF	charles_river	CDD02	0	CDD02.CR.HFLF.4	new_exp_anschutz	-15	colon	1	0	1
CDD02.Tc.HFLF.3.18	2	Female	HF/LF	taconic	CDD02	18	CDD02.Tc.HFLF.3	new_exp_anschutz	3	colon	1	0	1
CDD02.Tc.Chow.5.18	2	Female	Chow	taconic	CDD02	18	CDD02.Tc.Chow.5	new_exp_anschutz	3	colon	0	0	0
CDD02.Tc.LFLF.3.18	2	Female	LF/LF	taconic	CDD02	18	CDD02.Tc.LFLF.3	new_exp_anschutz	3	colon	0	0	1
CDD02.CR.LFHF.4.00	2	Female	LF/HF	charles_river	CDD02	0	CDD02.CR.LFHF.4	new_exp_anschutz	-15	colon	0	1	1
CDD02.CR.HFHF.2.00	2	Female	HF/HF	charles_river	CDD02	0	CDD02.CR.HFHF.2	new_exp_anschutz	-15	colon	1	1	1
CDD02.Tc.HFHF.4.18	2	Female	HF/HF	taconic	CDD02	18	CDD02.Tc.HFHF.4	new_exp_anschutz	3	colon	1	1	1
CDD02.Tc.HFHF.3.18	2	Female	HF/HF	taconic	CDD02	18	CDD02.Tc.HFHF.3	new_exp_anschutz	3	colon	1	1	1
CDD02.Tc.HFLF.5.18	2	Female	HF/LF	taconic	CDD02	18	CDD02.Tc.HFLF.5	new_exp_anschutz	3	colon	1	0	1
CDD02.Tc.LFHF.4.18	2	Female	LF/HF	taconic	CDD02	18	CDD02.Tc.LFHF.4	new_exp_anschutz	3	colon	0	1	1
CDD02.Tc.HFLF.1.18	2	Female	HF/LF	taconic	CDD02	18	CDD02.Tc.HFLF.1	new_exp_anschutz	3	colon	1	0	1
CDD02.Tc.LFLF.2.18	2	Female	LF/LF	taconic	CDD02	18	CDD02.Tc.LFLF.2	new_exp_anschutz	3	colon	0	0	1
CDD02.Tc.LFHF.3.18	2	Female	LF/HF	taconic	CDD02	18	CDD02.Tc.LFHF.3	new_exp_anschutz	3	colon	0	1	1
CDD02.Tc.Chow.4.18	2	Female	Chow	taconic	CDD02	18	CDD02.Tc.Chow.4	new_exp_anschutz	3	colon	0	0	0
CDD02.Tc.Chow.2.18	2	Female	Chow	taconic	CDD02	18	CDD02.Tc.Chow.2	new_exp_anschutz	3	colon	0	0	0
CDD02.Tc.HFLF.2.18	2	Female	HF/LF	taconic	CDD02	18	CDD02.Tc.HFLF.2	new_exp_anschutz	3	colon	1	0	1
CDD02.Tc.HFLF.4.18	2	Female	HF/LF	taconic	CDD02	18	CDD02.Tc.HFLF.4	new_exp_anschutz	3	colon	1	0	1
CDD02.Tc.Chow.1.18	2	Female	Chow	taconic	CDD02	18	CDD02.Tc.Chow.1	new_exp_anschutz	3	colon	0	0	0
CDD02.Tc.HFHF.5.18	2	Female	HF/HF	taconic	CDD02	18	CDD02.Tc.HFHF.5	new_exp_anschutz	3	colon	1	1	1
CDD02.Tc.HFHF.2.18	2	Female	HF/HF	taconic	CDD02	18	CDD02.Tc.HFHF.2	new_exp_anschutz	3	colon	1	1	1
CDD02.Tc.LFHF.5.18	2	Female	LF/HF	taconic	CDD02	18	CDD02.Tc.LFHF.5	new_exp_anschutz	3	colon	0	1	1
CDD02.CR.HFLF.3.18	2	Female	HF/LF	charles_river	CDD02	18	CDD02.CR.HFLF.3	new_exp_anschutz	3	colon	1	0	1
CDD02.CR.LFLF.2.18	2	Female	LF/LF	charles_river	CDD02	18	CDD02.CR.LFLF.2	new_exp_anschutz	3	colon	0	0	1
CDD02.CR.Chow.5.18	2	Female	Chow	charles_river	CDD02	18	CDD02.CR.Chow.5	new_exp_anschutz	3	colon	0	0	0
CDD02.CR.LFLF.5.18	2	Female	LF/LF	charles_river	CDD02	18	CDD02.CR.LFLF.5	new_exp_anschutz	3	colon	0	0	1
CDD02.CR.LFHF.3.18	2	Female	LF/HF	charles_river	CDD02	18	CDD02.CR.LFHF.3	new_exp_anschutz	3	colon	0	1	1
CDD02.CR.HFLF.5.18	2	Female	HF/LF	charles_river	CDD02	18	CDD02.CR.HFLF.5	new_exp_anschutz	3	colon	1	0	1
CDD02.CR.HFLF.2.18	2	Female	HF/LF	charles_river	CDD02	18	CDD02.CR.HFLF.2	new_exp_anschutz	3	colon	1	0	1
CDD02.CR.LFLF.1.18	2	Female	LF/LF	charles_river	CDD02	18	CDD02.CR.LFLF.1	new_exp_anschutz	3	colon	0	0	1
CDD02.CR.HFLF.4.18	2	Female	HF/LF	charles_river	CDD02	18	CDD02.CR.HFLF.4	new_exp_anschutz	3	colon	1	0	1
CDD02.CR.Chow.4.18	2	Female	Chow	charles_river	CDD02	18	CDD02.CR.Chow.4	new_exp_anschutz	3	colon	0	0	0
CDD02.CR.LFHF.2.18	2	Female	LF/HF	charles_river	CDD02	18	CDD02.CR.LFHF.2	new_exp_anschutz	3	colon	0	1	1
CDD02.CR.LFLF.4.18	2	Female	LF/LF	charles_river	CDD02	18	CDD02.CR.LFLF.4	new_exp_anschutz	3	colon	0	0	1
CDD02.CR.LFLF.3.18	2	Female	LF/LF	charles_river	CDD02	18	CDD02.CR.LFLF.3	new_exp_anschutz	3	colon	0	0	1
CDD02.CR.LFHF.1.18	2	Female	LF/HF	charles_river	CDD02	18	CDD02.CR.LFHF.1	new_exp_anschutz	3	colon	0	1	1
CDD02.CR.LFHF.5.18	2	Female	LF/HF	charles_river	CDD02	18	CDD02.CR.LFHF.5	new_exp_anschutz	3	colon	0	1	1
CDD02.CR.LFHF.4.18	2	Female	LF/HF	charles_river	CDD02	18	CDD02.CR.LFHF.4	new_exp_anschutz	3	colon	0	1	1
CDD02.CR.HFHF.4.18	2	Female	HF/HF	charles_river	CDD02	18	CDD02.CR.HFHF.4	new_exp_anschutz	3	colon	1	1	1
CDD02.CR.HFHF.1.18	2	Female	HF/HF	charles_river	CDD02	18	CDD02.CR.HFHF.1	new_exp_anschutz	3	colon	1	1	1
CDD02.CR.HFLF.1.18	2	Female	HF/LF	charles_river	CDD02	18	CDD02.CR.HFLF.1	new_exp_anschutz	3	colon	1	0	1
CDD02.CR.HFHF.3.18	2	Female	HF/HF	charles_river	CDD02	18	CDD02.CR.HFHF.3	new_exp_anschutz	3	colon	1	1	1
CDD02.CR.HFHF.5.18	2	Female	HF/HF	charles_river	CDD02	18	CDD02.CR.HFHF.5	new_exp_anschutz	3	colon	1	1	1
CDD02.CR.HFHF.2.18	2	Female	HF/HF	charles_river	CDD02	18	CDD02.CR.HFHF.2	new_exp_anschutz	3	colon	1	1	1
CDD03.Tc.LFLF.1.18	3	Female	LF/LF	taconic	CDD03	18	CDD03.Tc.LFLF.1	new_exp_anschutz	3	colon	0	0	1
CDD03.Tc.Chow.3.18	3	Female	Chow	taconic	CDD03	18	CDD03.Tc.Chow.3	new_exp_anschutz	3	colon	0	0	0
CDD03.CR.HFHF.1.00	3	Female	HF/HF	charles_river	CDD03	0	CDD03.CR.HFHF.1	new_exp_anschutz	-15	colon	1	1	1
CDD03.CR.LFLF.2.00	3	Female	LF/LF	charles_river	CDD03	0	CDD03.CR.LFLF.2	new_exp_anschutz	-15	colon	0	0	1
CDD03.Tc.HFHF.5.18	3	Female	HF/HF	taconic	CDD03	18	CDD03.Tc.HFHF.5	new_exp_anschutz	3	colon	1	1	1
CDD03.CR.LFLF.4.00	3	Female	LF/LF	charles_river	CDD03	0	CDD03.CR.LFLF.4	new_exp_anschutz	-15	colon	0	0	1
CDD03.CR.Chow.2.00	3	Female	Chow	charles_river	CDD03	0	CDD03.CR.Chow.2	new_exp_anschutz	-15	colon	0	0	0
CDD03.CR.LFLF.2.18	3	Female	LF/LF	charles_river	CDD03	18	CDD03.CR.LFLF.2	new_exp_anschutz	3	colon	0	0	1
CDD03.CR.LFHF.2.00	3	Female	LF/HF	charles_river	CDD03	0	CDD03.CR.LFHF.2	new_exp_anschutz	-15	colon	0	1	1
CDD03.Tc.Chow.4.18	3	Female	Chow	taconic	CDD03	18	CDD03.Tc.Chow.4	new_exp_anschutz	3	colon	0	0	0
CDD03.CR.HFLF.1.00	3	Female	HF/LF	charles_river	CDD03	0	CDD03.CR.HFLF.1	new_exp_anschutz	-15	colon	1	0	1
CDD03.CR.Chow.3.00	3	Female	Chow	charles_river	CDD03	0	CDD03.CR.Chow.3	new_exp_anschutz	-15	colon	0	0	0
CDD03.CR.HFLF.5.00	3	Female	HF/LF	charles_river	CDD03	0	CDD03.CR.HFLF.5	new_exp_anschutz	-15	colon	1	0	1
CDD03.CR.HFHF.4.00	3	Female	HF/HF	charles_river	CDD03	0	CDD03.CR.HFHF.4	new_exp_anschutz	-15	colon	1	1	1
CDD03.Tc.Chow.5.18	3	Female	Chow	taconic	CDD03	18	CDD03.Tc.Chow.5	new_exp_anschutz	3	colon	0	0	0
CDD03.Tc.LFHF.4.18	3	Female	LF/HF	taconic	CDD03	18	CDD03.Tc.LFHF.4	new_exp_anschutz	3	colon	0	1	1
CDD03.CR.LFLF.5.00	3	Female	LF/LF	charles_river	CDD03	0	CDD03.CR.LFLF.5	new_exp_anschutz	-15	colon	0	0	1
CDD03.CR.Chow.5.18	3	Female	Chow	charles_river	CDD03	18	CDD03.CR.Chow.5	new_exp_anschutz	3	colon	0	0	0
CDD03.CR.LFLF.4.18	3	Female	LF/LF	charles_river	CDD03	18	CDD03.CR.LFLF.4	new_exp_anschutz	3	colon	0	0	1
CDD03.CR.LFHF.3.00	3	Female	LF/HF	charles_river	CDD03	0	CDD03.CR.LFHF.3	new_exp_anschutz	-15	colon	0	1	1
CDD03.Tc.HFLF.5.00	3	Female	HF/LF	taconic	CDD03	0	CDD03.Tc.HFLF.5	new_exp_anschutz	-15	colon	1	0	1
CDD03.CR.Chow.5.00	3	Female	Chow	charles_river	CDD03	0	CDD03.CR.Chow.5	new_exp_anschutz	-15	colon	0	0	0
CDD03.Tc.LFHF.3.18	3	Female	LF/HF	taconic	CDD03	18	CDD03.Tc.LFHF.3	new_exp_anschutz	3	colon	0	1	1
CDD03.CR.HFHF.2.00	3	Female	HF/HF	charles_river	CDD03	0	CDD03.CR.HFHF.2	new_exp_anschutz	-15	colon	1	1	1
CDD03.Tc.HFHF.2.00	3	Female	HF/HF	taconic	CDD03	0	CDD03.Tc.HFHF.2	new_exp_anschutz	-15	colon	1	1	1
CDD03.CR.LFHF.5.00	3	Female	LF/HF	charles_river	CDD03	0	CDD03.CR.LFHF.5	new_exp_anschutz	-15	colon	0	1	1
CDD03.Tc.HFHF.1.18	3	Female	HF/HF	taconic	CDD03	18	CDD03.Tc.HFHF.1	new_exp_anschutz	3	colon	1	1	1
CDD03.CR.HFLF.3.00	3	Female	HF/LF	charles_river	CDD03	0	CDD03.CR.HFLF.3	new_exp_anschutz	-15	colon	1	0	1
CDD03.CR.HFLF.3.18	3	Female	HF/LF	charles_river	CDD03	18	CDD03.CR.HFLF.3	new_exp_anschutz	3	colon	1	0	1
CDD03.Tc.LFLF.4.00	3	Female	LF/LF	taconic	CDD03	0	CDD03.Tc.LFLF.4	new_exp_anschutz	-15	colon	0	0	1
CDD03.Tc.HFHF.3.00	3	Female	HF/HF	taconic	CDD03	0	CDD03.Tc.HFHF.3	new_exp_anschutz	-15	colon	1	1	1
CDD03.CR.LFLF.1.00	3	Female	LF/LF	charles_river	CDD03	0	CDD03.CR.LFLF.1	new_exp_anschutz	-15	colon	0	0	1
CDD03.CR.HFLF.4.00	3	Female	HF/LF	charles_river	CDD03	0	CDD03.CR.HFLF.4	new_exp_anschutz	-15	colon	1	0	1
CDD03.Tc.Chow.3.00	3	Female	Chow	taconic	CDD03	0	CDD03.Tc.Chow.3	new_exp_anschutz	-15	colon	0	0	0
CDD03.CR.Chow.1.00	3	Female	Chow	charles_river	CDD03	0	CDD03.CR.Chow.1	new_exp_anschutz	-15	colon	0	0	0
CDD03.Tc.LFHF.5.18	3	Female	LF/HF	taconic	CDD03	18	CDD03.Tc.LFHF.5	new_exp_anschutz	3	colon	0	1	1
CDD03.CR.HFHF.5.00	3	Female	HF/HF	charles_river	CDD03	0	CDD03.CR.HFHF.5	new_exp_anschutz	-15	colon	1	1	1
CDD03.Tc.LFHF.2.18	3	Female	LF/HF	taconic	CDD03	18	CDD03.Tc.LFHF.2	new_exp_anschutz	3	colon	0	1	1
CDD03.Tc.HFLF.3.00	3	Female	HF/LF	taconic	CDD03	0	CDD03.Tc.HFLF.3	new_exp_anschutz	-15	colon	1	0	1
CDD03.CR.LFHF.1.00	3	Female	LF/HF	charles_river	CDD03	0	CDD03.CR.LFHF.1	new_exp_anschutz	-15	colon	0	1	1
CDD03.Tc.HFHF.5.00	3	Female	HF/HF	taconic	CDD03	0	CDD03.Tc.HFHF.5	new_exp_anschutz	-15	colon	1	1	1
CDD03.Tc.HFLF.3.18	3	Female	HF/LF	taconic	CDD03	18	CDD03.Tc.HFLF.3	new_exp_anschutz	3	colon	1	0	1
CDD03.CR.Chow.2.18	3	Female	Chow	charles_river	CDD03	18	CDD03.CR.Chow.2	new_exp_anschutz	3	colon	0	0	0
CDD03.Tc.LFHF.4.00	3	Female	LF/HF	taconic	CDD03	0	CDD03.Tc.LFHF.4	new_exp_anschutz	-15	colon	0	1	1
CDD03.Tc.Chow.5.00	3	Female	Chow	taconic	CDD03	0	CDD03.Tc.Chow.5	new_exp_anschutz	-15	colon	0	0	0
CDD03.CR.HFLF.2.00	3	Female	HF/LF	charles_river	CDD03	0	CDD03.CR.HFLF.2	new_exp_anschutz	-15	colon	1	0	1
CDD03.CR.LFLF.5.18	3	Female	LF/LF	charles_river	CDD03	18	CDD03.CR.LFLF.5	new_exp_anschutz	3	colon	0	0	1
CDD03.CR.LFHF.4.00	3	Female	LF/HF	charles_river	CDD03	0	CDD03.CR.LFHF.4	new_exp_anschutz	-15	colon	0	1	1
CDD03.CR.Chow.4.00	3	Female	Chow	charles_river	CDD03	0	CDD03.CR.Chow.4	new_exp_anschutz	-15	colon	0	0	0
CDD03.Tc.Chow.1.00	3	Female	Chow	taconic	CDD03	0	CDD03.Tc.Chow.1	new_exp_anschutz	-15	colon	0	0	0
CDD03.Tc.LFHF.3.00	3	Female	LF/HF	taconic	CDD03	0	CDD03.Tc.LFHF.3	new_exp_anschutz	-15	colon	0	1	1
CDD03.Tc.HFHF.4.00	3	Female	HF/HF	taconic	CDD03	0	CDD03.Tc.HFHF.4	new_exp_anschutz	-15	colon	1	1	1
CDD03.Tc.LFHF.1.18	3	Female	LF/HF	taconic	CDD03	18	CDD03.Tc.LFHF.1	new_exp_anschutz	3	colon	0	1	1
CDD03.Tc.HFLF.2.00	3	Female	HF/LF	taconic	CDD03	0	CDD03.Tc.HFLF.2	new_exp_anschutz	-15	colon	1	0	1
CDD03.Tc.LFLF.2.00	3	Female	LF/LF	taconic	CDD03	0	CDD03.Tc.LFLF.2	new_exp_anschutz	-15	colon	0	0	1
CDD03.Tc.LFLF.1.00	3	Female	LF/LF	taconic	CDD03	0	CDD03.Tc.LFLF.1	new_exp_anschutz	-15	colon	0	0	1
CDD03.Tc.LFLF.5.00	3	Female	LF/LF	taconic	CDD03	0	CDD03.Tc.LFLF.5	new_exp_anschutz	-15	colon	0	0	1
CDD03.Tc.HFLF.1.00	3	Female	HF/LF	taconic	CDD03	0	CDD03.Tc.HFLF.1	new_exp_anschutz	-15	colon	1	0	1
CDD03.CR.HFLF.1.18	3	Female	HF/LF	charles_river	CDD03	18	CDD03.CR.HFLF.1	new_exp_anschutz	3	colon	1	0	1
CDD03.CR.LFLF.3.00	3	Female	LF/LF	charles_river	CDD03	0	CDD03.CR.LFLF.3	new_exp_anschutz	-15	colon	0	0	1
CDD03.CR.HFHF.3.00	3	Female	HF/HF	charles_river	CDD03	0	CDD03.CR.HFHF.3	new_exp_anschutz	-15	colon	1	1	1
CDD03.Tc.HFHF.1.00	3	Female	HF/HF	taconic	CDD03	0	CDD03.Tc.HFHF.1	new_exp_anschutz	-15	colon	1	1	1
CDD03.CR.LFHF.4.18	3	Female	LF/HF	charles_river	CDD03	18	CDD03.CR.LFHF.4	new_exp_anschutz	3	colon	0	1	1
CDD03.Tc.LFLF.2.18	3	Female	LF/LF	taconic	CDD03	18	CDD03.Tc.LFLF.2	new_exp_anschutz	3	colon	0	0	1
CDD03.Tc.LFHF.1.00	3	Female	LF/HF	taconic	CDD03	0	CDD03.Tc.LFHF.1	new_exp_anschutz	-15	colon	0	1	1
CDD03.Tc.Chow.4.00	3	Female	Chow	taconic	CDD03	0	CDD03.Tc.Chow.4	new_exp_anschutz	-15	colon	0	0	0
CDD03.CR.LFLF.3.18	3	Female	LF/LF	charles_river	CDD03	18	CDD03.CR.LFLF.3	new_exp_anschutz	3	colon	0	0	1
CDD03.Tc.LFHF.5.00	3	Female	LF/HF	taconic	CDD03	0	CDD03.Tc.LFHF.5	new_exp_anschutz	-15	colon	0	1	1
CDD03.Tc.LFLF.3.18	3	Female	LF/LF	taconic	CDD03	18	CDD03.Tc.LFLF.3	new_exp_anschutz	3	colon	0	0	1
CDD03.Tc.Chow.1.18	3	Female	Chow	taconic	CDD03	18	CDD03.Tc.Chow.1	new_exp_anschutz	3	colon	0	0	0
CDD03.CR.HFLF.5.18	3	Female	HF/LF	charles_river	CDD03	18	CDD03.CR.HFLF.5	new_exp_anschutz	3	colon	1	0	1
CDD03.Tc.LFLF.3.00	3	Female	LF/LF	taconic	CDD03	0	CDD03.Tc.LFLF.3	new_exp_anschutz	-15	colon	0	0	1
CDD03.Tc.HFLF.5.18	3	Female	HF/LF	taconic	CDD03	18	CDD03.Tc.HFLF.5	new_exp_anschutz	3	colon	1	0	1
CDD03.Tc.LFHF.2.00	3	Female	LF/HF	taconic	CDD03	0	CDD03.Tc.LFHF.2	new_exp_anschutz	-15	colon	0	1	1
CDD03.Tc.HFLF.4.00	3	Female	HF/LF	taconic	CDD03	0	CDD03.Tc.HFLF.4	new_exp_anschutz	-15	colon	1	0	1
CDD03.CR.HFHF.5.18	3	Female	HF/HF	charles_river	CDD03	18	CDD03.CR.HFHF.5	new_exp_anschutz	3	colon	1	1	1
CDD03.Tc.LFLF.4.18	3	Female	LF/LF	taconic	CDD03	18	CDD03.Tc.LFLF.4	new_exp_anschutz	3	colon	0	0	1
CDD03.Tc.HFLF.1.18	3	Female	HF/LF	taconic	CDD03	18	CDD03.Tc.HFLF.1	new_exp_anschutz	3	colon	1	0	1
CDD03.CR.LFLF.1.18	3	Female	LF/LF	charles_river	CDD03	18	CDD03.CR.LFLF.1	new_exp_anschutz	3	colon	0	0	1
CDD03.Tc.Chow.2.00	3	Female	Chow	taconic	CDD03	0	CDD03.Tc.Chow.2	new_exp_anschutz	-15	colon	0	0	0
CDD03.CR.HFHF.3.18	3	Female	HF/HF	charles_river	CDD03	18	CDD03.CR.HFHF.3	new_exp_anschutz	3	colon	1	1	1
CDD03.CR.LFHF.2.18	3	Female	LF/HF	charles_river	CDD03	18	CDD03.CR.LFHF.2	new_exp_anschutz	3	colon	0	1	1
CDD03.CR.HFHF.1.18	3	Female	HF/HF	charles_river	CDD03	18	CDD03.CR.HFHF.1	new_exp_anschutz	3	colon	1	1	1
