day_post_inf	Family	.y.	group1	group2	n1	n2	statistic	p	p.adj	p.adj.signif
0	Enterobacteriaceae	rel_abund	LF/HF	LF/LF	17	28	-3.460455726809887	5.392619009524606e-4	0.005392619009524606	**
3	Enterobacteriaceae	rel_abund	Chow	HF/HF	14	1	2.3117510965811694	0.020791403789281834	0.06930467929760611	ns
3	Enterobacteriaceae	rel_abund	Chow	HF/LF	14	6	2.990552382239769	0.0027847336287975025	0.027847336287975026	*
3	Enterobacteriaceae	rel_abund	Chow	LF/HF	14	2	1.1477541838688885	0.25107005599329185	0.4441293717200263	ns
3	Enterobacteriaceae	rel_abund	Chow	LF/LF	14	8	2.739768670414805	0.006148244115971388	0.03074122057985694	*
3	Enterobacteriaceae	rel_abund	HF/HF	HF/LF	1	6	-0.8643915438750545	0.38737283657498756	0.5533897665356965	ns
3	Enterobacteriaceae	rel_abund	HF/HF	LF/HF	1	2	-1.245377013132984	0.21299319882295006	0.4441293717200263	ns
3	Enterobacteriaceae	rel_abund	HF/HF	LF/LF	1	8	-1.1112108012884825	0.2664776230320158	0.4441293717200263	ns
3	Enterobacteriaceae	rel_abund	HF/LF	LF/HF	6	2	-0.7245829894591906	0.4687078976836808	0.585884872104601	ns
3	Enterobacteriaceae	rel_abund	HF/LF	LF/LF	6	8	-0.45359160223146394	0.6501227989192666	0.6610354377103902	ns
3	Enterobacteriaceae	rel_abund	LF/HF	LF/LF	2	8	0.43848403923759843	0.6610354377103902	0.6610354377103902	ns
-15	Enterococcaceae	rel_abund	Chow	HF/HF	25	15	0.9307277086472978	0.3519944327663072	0.5866573879438454	ns
-15	Enterococcaceae	rel_abund	Chow	HF/LF	25	32	-0.5919112607683545	0.5539100127991564	0.6154555697768405	ns
-15	Enterococcaceae	rel_abund	Chow	LF/HF	25	19	1.7035042922815364	0.08847373543408911	0.4070486937559504	ns
-15	Enterococcaceae	rel_abund	Chow	LF/LF	25	29	0.3903794010026959	0.6962560175815823	0.6962560175815823	ns
-15	Enterococcaceae	rel_abund	HF/HF	HF/LF	15	32	-1.4763415527247963	0.13985222448106197	0.4070486937559504	ns
-15	Enterococcaceae	rel_abund	HF/HF	LF/HF	15	19	0.6210109694232199	0.5345924057660103	0.6154555697768405	ns
-15	Enterococcaceae	rel_abund	HF/HF	LF/LF	15	29	-0.6207832443061343	0.5347422492504332	0.6154555697768405	ns
-15	Enterococcaceae	rel_abund	HF/LF	LF/HF	32	19	2.335676539708918	0.01950810610255915	0.1950810610255915	ns
-15	Enterococcaceae	rel_abund	HF/LF	LF/LF	32	29	1.0318021971898257	0.30216478977716393	0.5866573879438454	ns
-15	Enterococcaceae	rel_abund	LF/HF	LF/LF	19	29	-1.395651461621003	0.16281947750238016	0.4070486937559504	ns
-8	Enterococcaceae	rel_abund	Chow	HF/HF	22	18	1.61586111892664	0.1061243436147231	0.2921056506224143	ns
-8	Enterococcaceae	rel_abund	Chow	HF/LF	22	25	3.0217203138678514	0.0025134266193720146	0.025134266193720146	*
-8	Enterococcaceae	rel_abund	Chow	LF/HF	22	17	1.2598674385955106	0.20771718674580356	0.33087775817894927	ns
-8	Enterococcaceae	rel_abund	Chow	LF/LF	22	26	1.6437139296911307	0.10023530725135628	0.2921056506224143	ns
-8	Enterococcaceae	rel_abund	HF/HF	HF/LF	18	25	1.1962104837465244	0.23161443072526447	0.33087775817894927	ns
-8	Enterococcaceae	rel_abund	HF/HF	LF/HF	18	17	-0.31554285756182177	0.7523495161440702	0.9029224068974058	ns
-8	Enterococcaceae	rel_abund	HF/HF	LF/LF	18	26	-0.12197046779373576	0.9029224068974058	0.9029224068974058	ns
-8	Enterococcaceae	rel_abund	HF/LF	LF/HF	25	17	-1.515735661328068	0.1295862064733725	0.2921056506224143	ns
-8	Enterococcaceae	rel_abund	HF/LF	LF/LF	25	26	-1.4536159032004954	0.14605282531120714	0.2921056506224143	ns
-8	Enterococcaceae	rel_abund	LF/HF	LF/LF	17	26	0.22223934861877404	0.8241275641530751	0.9029224068974058	ns
-3	Enterococcaceae	rel_abund	Chow	HF/HF	23	19	1.3280062672440427	0.18417603649949899	0.24470279371906578	ns
-3	Enterococcaceae	rel_abund	Chow	HF/LF	23	28	4.200412060902064	2.6642963776005803e-5	2.6642963776005803e-4	***
-3	Enterococcaceae	rel_abund	Chow	LF/HF	23	18	0.8040113264924525	0.42139043367953316	0.46821159297725906	ns
-3	Enterococcaceae	rel_abund	Chow	LF/LF	23	27	2.936002686166	0.0033247144348043903	0.011082381449347967	*
-3	Enterococcaceae	rel_abund	HF/HF	HF/LF	19	28	2.591734537717297	0.009549342560012034	0.023873356400030084	*
-3	Enterococcaceae	rel_abund	HF/HF	LF/HF	19	18	-0.4824409035330043	0.6294927699154538	0.6294927699154538	ns
-3	Enterococcaceae	rel_abund	HF/HF	LF/LF	19	27	1.4072402665583263	0.15935615521343308	0.24470279371906578	ns
-3	Enterococcaceae	rel_abund	HF/LF	LF/HF	28	18	-3.0751340903020132	0.00210407933223686	0.0105203966611843	*
-3	Enterococcaceae	rel_abund	HF/LF	LF/LF	28	27	-1.293719767002733	0.19576223497525264	0.24470279371906578	ns
-3	Enterococcaceae	rel_abund	LF/HF	LF/LF	18	27	1.9063298271193976	0.056607426755601875	0.11321485351120375	ns
0	Enterococcaceae	rel_abund	Chow	HF/HF	24	18	1.2275248266783858	0.21962539648592447	0.6253514967738781	ns
0	Enterococcaceae	rel_abund	Chow	HF/LF	24	28	0.3828448542829021	0.7018348016320077	0.8772935020400097	ns
0	Enterococcaceae	rel_abund	Chow	LF/HF	24	17	0.26134804282662355	0.7938241207182136	0.8820268007980152	ns
0	Enterococcaceae	rel_abund	Chow	LF/LF	24	28	-0.7464189944240465	0.45541434862655594	0.6505919266093656	ns
0	Enterococcaceae	rel_abund	HF/HF	HF/LF	18	28	-0.9144067678047542	0.3605031469637065	0.6253514967738781	ns
0	Enterococcaceae	rel_abund	HF/HF	LF/HF	18	17	-0.886754854788156	0.37521089806432684	0.6253514967738781	ns
0	Enterococcaceae	rel_abund	HF/HF	LF/LF	18	28	-1.9542043731092544	0.05067705235871603	0.5067705235871602	ns
0	Enterococcaceae	rel_abund	HF/LF	LF/HF	28	17	-0.07691736642183461	0.938689282068231	0.938689282068231	ns
0	Enterococcaceae	rel_abund	HF/LF	LF/LF	28	28	-1.175375079139761	0.23984468916736423	0.6253514967738781	ns
0	Enterococcaceae	rel_abund	LF/HF	LF/LF	17	28	-0.9447503726372565	0.34478633357282423	0.6253514967738781	ns
3	Enterococcaceae	rel_abund	Chow	HF/HF	14	1	2.489424636947557	0.012795004201181718	0.04265001400393906	*
3	Enterococcaceae	rel_abund	Chow	HF/LF	14	6	2.576032744446551	0.00999411813510676	0.04265001400393906	*
3	Enterococcaceae	rel_abund	Chow	LF/HF	14	2	2.0993127578566133	0.03578933952782689	0.08947334881956723	ns
3	Enterococcaceae	rel_abund	Chow	LF/LF	14	8	4.35610108024159	1.3239965350590885e-5	1.3239965350590884e-4	***
3	Enterococcaceae	rel_abund	HF/HF	HF/LF	1	6	-1.2219196199438351	0.22173802513948618	0.36956337523247695	ns
3	Enterococcaceae	rel_abund	HF/HF	LF/HF	1	2	-0.8082238591204871	0.41896172515934094	0.59851675022763	ns
3	Enterococcaceae	rel_abund	HF/HF	LF/LF	1	8	-0.6092091206541248	0.5423858356055536	0.677982294506942	ns
3	Enterococcaceae	rel_abund	HF/LF	LF/HF	6	2	0.4041119295602435	0.6861304128656966	0.6861304128656966	ns
3	Enterococcaceae	rel_abund	HF/LF	LF/LF	6	8	1.247376278692665	0.2122595602207902	0.36956337523247695	ns
3	Enterococcaceae	rel_abund	LF/HF	LF/LF	2	8	0.43475521477515777	0.6637401156811281	0.6861304128656966	ns
-15	Lachnospiraceae	rel_abund	Chow	HF/HF	25	15	0.11853676302028801	0.9056423677406642	0.9960473300590458	ns
-15	Lachnospiraceae	rel_abund	Chow	HF/LF	25	32	-0.3259265075124458	0.7444799597223994	0.9960473300590458	ns
-15	Lachnospiraceae	rel_abund	Chow	LF/HF	25	19	-0.1555037708641676	0.8764241813841857	0.9960473300590458	ns
-15	Lachnospiraceae	rel_abund	Chow	LF/LF	25	29	-0.3141211084276966	0.75342905814816	0.9960473300590458	ns
-15	Lachnospiraceae	rel_abund	HF/HF	HF/LF	15	32	-0.40174474598150545	0.6878718900580267	0.9960473300590458	ns
-15	Lachnospiraceae	rel_abund	HF/HF	LF/HF	15	19	-0.24911189044152746	0.8032742320954899	0.9960473300590458	ns
-15	Lachnospiraceae	rel_abund	HF/HF	LF/LF	15	29	-0.3912791155553349	0.6955909342034158	0.9960473300590458	ns
-15	Lachnospiraceae	rel_abund	HF/LF	LF/HF	32	19	0.136972189491438	0.8910527774647706	0.9960473300590458	ns
-15	Lachnospiraceae	rel_abund	HF/LF	LF/LF	32	29	0.004953957380149472	0.9960473300590458	0.9960473300590458	ns
-15	Lachnospiraceae	rel_abund	LF/HF	LF/LF	19	29	-0.13010341944590104	0.8964846047909941	0.9960473300590458	ns
-8	Lachnospiraceae	rel_abund	Chow	HF/HF	22	18	-0.8797656405227832	0.37898628172260473	0.5414089738894353	ns
-8	Lachnospiraceae	rel_abund	Chow	HF/LF	22	25	0.38325914958140095	0.7015276249098672	0.7794751387887414	ns
-8	Lachnospiraceae	rel_abund	Chow	LF/HF	22	17	-0.7301650915606895	0.46528927767064476	0.581611597088306	ns
-8	Lachnospiraceae	rel_abund	Chow	LF/LF	22	26	1.9314697964535374	0.05342498097078901	0.17808326990263004	ns
-8	Lachnospiraceae	rel_abund	HF/HF	HF/LF	18	25	1.2669634588792102	0.20516835604915082	0.41033671209830164	ns
-8	Lachnospiraceae	rel_abund	HF/HF	LF/HF	18	17	0.1295746520501539	0.8969029588804421	0.8969029588804421	ns
-8	Lachnospiraceae	rel_abund	HF/HF	LF/LF	18	26	2.736663141469115	0.006206581167134039	0.05389115365784486	ns
-8	Lachnospiraceae	rel_abund	HF/LF	LF/HF	25	17	-1.1064387493792487	0.26853666138726207	0.44756110231210344	ns
-8	Lachnospiraceae	rel_abund	HF/LF	LF/LF	25	26	1.5975045614996497	0.11015328170218716	0.2753832042554679	ns
-8	Lachnospiraceae	rel_abund	LF/HF	LF/LF	17	26	2.549807844029449	0.010778230731568972	0.05389115365784486	ns
-3	Lachnospiraceae	rel_abund	Chow	HF/HF	23	19	-1.328347102255989	0.18406346590602926	0.23007933238253658	ns
-3	Lachnospiraceae	rel_abund	Chow	HF/LF	23	28	3.5567442528421496	3.7547937024470004e-4	0.0012515979008156668	**
-3	Lachnospiraceae	rel_abund	Chow	LF/HF	23	18	-0.908237386256153	0.36375281553206934	0.4041697950356326	ns
-3	Lachnospiraceae	rel_abund	Chow	LF/LF	23	27	1.8327098986106207	0.06684572445450535	0.10659049722046847	ns
-3	Lachnospiraceae	rel_abund	HF/HF	HF/LF	19	28	4.752940843895169	2.004790192547816e-6	2.0047901925478157e-5	****
-3	Lachnospiraceae	rel_abund	HF/HF	LF/HF	19	18	0.38304261098273285	0.7016881700521819	0.7016881700521819	ns
-3	Lachnospiraceae	rel_abund	HF/HF	LF/LF	19	27	3.111881347410241	0.0018589919992957641	0.004647479998239411	**
-3	Lachnospiraceae	rel_abund	HF/LF	LF/HF	28	18	-4.259153247802337	2.052027551604948e-5	1.026013775802474e-4	***
-3	Lachnospiraceae	rel_abund	HF/LF	LF/LF	28	27	-1.7828338850716856	0.07461334805432793	0.10659049722046847	ns
-3	Lachnospiraceae	rel_abund	LF/HF	LF/LF	18	27	2.64830795545435	0.008089579673157793	0.016179159346315586	*
0	Lachnospiraceae	rel_abund	Chow	HF/HF	24	18	-4.1309053940500595	3.613372750185749e-5	2.2653313962399987e-4	***
0	Lachnospiraceae	rel_abund	Chow	HF/LF	24	28	-3.3170845497938495	9.096208490031071e-4	0.003032069496677024	**
0	Lachnospiraceae	rel_abund	Chow	LF/HF	24	17	-2.162326891326928	0.030592988359264498	0.07648247089816125	ns
0	Lachnospiraceae	rel_abund	Chow	LF/LF	24	28	-4.078605570888543	4.5306627924799975e-5	2.2653313962399987e-4	***
0	Lachnospiraceae	rel_abund	HF/HF	HF/LF	18	28	1.2091938028338927	0.22658839801683522	0.3236977114526218	ns
0	Lachnospiraceae	rel_abund	HF/HF	LF/HF	18	17	1.7817112988958528	0.07479632338772639	0.14959264677545278	ns
0	Lachnospiraceae	rel_abund	HF/HF	LF/LF	18	28	0.5080044970485583	0.6114501894485533	0.6114501894485533	ns
0	Lachnospiraceae	rel_abund	HF/LF	LF/HF	28	17	0.7716720906489618	0.4403086647593914	0.48923184973265715	ns
0	Lachnospiraceae	rel_abund	HF/LF	LF/LF	28	28	-0.7926162087457775	0.4280014622175162	0.48923184973265715	ns
0	Lachnospiraceae	rel_abund	LF/HF	LF/LF	17	28	-1.4606354899100387	0.1441155012932708	0.24019250215545135	ns
3	Lachnospiraceae	rel_abund	Chow	HF/HF	14	1	-1.4270091996746137	0.15357724291588043	0.38394310728970105	ns
3	Lachnospiraceae	rel_abund	Chow	HF/LF	14	6	-1.975157556070355	0.04825027088453594	0.16083423628178647	ns
3	Lachnospiraceae	rel_abund	Chow	LF/HF	14	2	-2.6451928881014126	0.00816443619437865	0.040822180971893246	*
3	Lachnospiraceae	rel_abund	Chow	LF/LF	14	8	-3.007032119045881	0.0026381188725017935	0.026381188725017934	*
3	Lachnospiraceae	rel_abund	HF/HF	HF/LF	1	6	0.4752388728708521	0.6346167227802226	0.7440740209776269	ns
3	Lachnospiraceae	rel_abund	HF/HF	LF/HF	1	2	-0.42660559907806056	0.6696666188798641	0.7440740209776269	ns
3	Lachnospiraceae	rel_abund	HF/HF	LF/LF	1	8	0.13611363175726096	0.8917314512392376	0.8917314512392376	ns
3	Lachnospiraceae	rel_abund	HF/LF	LF/HF	6	2	-1.2685903341005484	0.20458721354745002	0.40917442709490004	ns
3	Lachnospiraceae	rel_abund	HF/LF	LF/LF	6	8	-0.6831558797518498	0.4945083485211607	0.7064404978873725	ns
3	Lachnospiraceae	rel_abund	LF/HF	LF/LF	2	8	0.8435101522154326	0.39894319030371017	0.6649053171728503	ns
-15	Lactobacillaceae	rel_abund	Chow	HF/HF	25	15	1.8238230666685842	0.06817882546365277	0.2926731369109261	ns
-15	Lactobacillaceae	rel_abund	Chow	HF/LF	25	32	-0.24017054498232257	0.8101980471732374	0.9015629922379348	ns
-15	Lactobacillaceae	rel_abund	Chow	LF/HF	25	19	0.12368714255436403	0.9015629922379348	0.9015629922379348	ns
-15	Lactobacillaceae	rel_abund	Chow	LF/LF	25	29	0.3562557621945946	0.7216490354217944	0.9015629922379348	ns
-15	Lactobacillaceae	rel_abund	HF/HF	HF/LF	15	32	-2.1084421732883576	0.03499275974168122	0.2926731369109261	ns
-15	Lactobacillaceae	rel_abund	HF/HF	LF/HF	15	19	-1.6155767619255907	0.10618585149494195	0.2926731369109261	ns
-15	Lactobacillaceae	rel_abund	HF/HF	LF/LF	15	29	-1.5671944182253519	0.11706925476437045	0.2926731369109261	ns
-15	Lactobacillaceae	rel_abund	HF/LF	LF/HF	32	19	0.35132795206862316	0.7253423271178907	0.9015629922379348	ns
-15	Lactobacillaceae	rel_abund	HF/LF	LF/LF	32	29	0.6292734155077249	0.5291700725042021	0.9015629922379348	ns
-15	Lactobacillaceae	rel_abund	LF/HF	LF/LF	19	29	0.20187242528154767	0.8400164596875844	0.9015629922379348	ns
-8	Lactobacillaceae	rel_abund	Chow	HF/HF	22	18	-6.426753961073872	1.3035755414352155e-10	6.517877707176078e-10	****
-8	Lactobacillaceae	rel_abund	Chow	HF/LF	22	25	-6.6671205637543824	2.6087079008409982e-11	2.608707900840998e-10	****
-8	Lactobacillaceae	rel_abund	Chow	LF/HF	22	17	-3.5836777629242214	3.3879000827086923e-4	8.469750206771731e-4	***
-8	Lactobacillaceae	rel_abund	Chow	LF/LF	22	26	-4.2876163119198045	1.8060069634757253e-5	6.020023211585751e-5	****
-8	Lactobacillaceae	rel_abund	HF/HF	HF/LF	18	25	0.3027400004097244	0.762088011451474	0.7857090093792541	ns
-8	Lactobacillaceae	rel_abund	HF/HF	LF/HF	18	17	2.617716482489428	0.008852031918536365	0.01473105502378852	*
-8	Lactobacillaceae	rel_abund	HF/HF	LF/LF	18	26	2.61073213837387	0.009034862968317875	0.01473105502378852	*
