#SampleID	day_post_inf	sample_type	mouse_id	high_fat	high_fiber	purified_diet	seq_depth	study	diet	mouse_sex	experiment_set	vendor
41.9872.0530	-15	colon	9872	0	0	0	31166	4	LF/HF	Female	second_set_arizona	charles_river
41.9873.0530	-15	colon	9873	0	0	0	47626	4	LF/HF	Female	second_set_arizona	charles_river
41.9874.0530	-15	colon	9874	0	0	0	36647	4	LF/HF	Female	second_set_arizona	charles_river
41.9875.0530	-15	colon	9875	0	0	0	29424	4	LF/HF	Female	second_set_arizona	charles_river
41.9876.0530	-15	colon	9876	0	0	0	81632	4	HF/HF	Female	second_set_arizona	charles_river
41.9877.0530	-15	colon	9877	0	0	0	35808	4	HF/HF	Female	second_set_arizona	charles_river
41.9878.0530	-15	colon	9878	0	0	0	44003	4	HF/HF	Female	second_set_arizona	charles_river
41.9879.0530	-15	colon	9879	0	0	0	30920	4	HF/HF	Female	second_set_arizona	charles_river
41.9880.0530	-15	colon	9880	0	0	0	38429	4	HF/HF	Female	second_set_arizona	charles_river
41.9881.0530	-15	colon	9881	0	0	0	41749	4	LF/LF	Female	second_set_arizona	charles_river
41.9882.0530	-15	colon	9882	0	0	0	34891	4	LF/LF	Female	second_set_arizona	charles_river
41.9883.0530	-15	colon	9883	0	0	0	39647	4	LF/LF	Female	second_set_arizona	charles_river
41.9884.0530	-15	colon	9884	0	0	0	38177	4	LF/LF	Female	second_set_arizona	charles_river
41.9885.0530	-15	colon	9885	0	0	0	31885	4	LF/LF	Female	second_set_arizona	charles_river
41.9886.0530	-15	colon	9886	0	0	0	29996	4	HF/LF	Female	second_set_arizona	charles_river
41.9887.0530	-15	colon	9887	0	0	0	31800	4	HF/LF	Female	second_set_arizona	charles_river
41.9888.0530	-15	colon	9888	0	0	0	28541	4	HF/LF	Female	second_set_arizona	charles_river
41.9889.0530	-15	colon	9889	0	0	0	25378	4	HF/LF	Female	second_set_arizona	charles_river
41.9890.0530	-15	colon	9890	0	0	0	35205	4	HF/LF	Female	second_set_arizona	charles_river
51.9939.0613	-15	colon	9939	0	0	0	40213	5	Chow	Female	second_set_arizona	charles_river
51.9940.0613	-15	colon	9940	0	0	0	34358	5	Chow	Female	second_set_arizona	charles_river
51.9941.0613	-15	colon	9941	0	0	0	36224	5	Chow	Female	second_set_arizona	charles_river
51.9942.0613	-15	colon	9942	0	0	0	52045	5	Chow	Female	second_set_arizona	charles_river
51.9943.0613	-15	colon	9943	0	0	0	56518	5	Chow	Female	second_set_arizona	charles_river
51.9944.0613	-15	colon	9944	0	0	0	44289	5	LF/LF	Female	second_set_arizona	charles_river
51.9945.0613	-15	colon	9945	0	0	0	37021	5	LF/LF	Female	second_set_arizona	charles_river
51.9946.0613	-15	colon	9946	0	0	0	25344	5	LF/LF	Female	second_set_arizona	charles_river
51.9947.0613	-15	colon	9947	0	0	0	52817	5	LF/LF	Female	second_set_arizona	charles_river
51.9948.0613	-15	colon	9948	0	0	0	37663	5	LF/LF	Female	second_set_arizona	charles_river
51.9949.0613	-15	colon	9949	0	0	0	35903	5	HF/LF	Female	second_set_arizona	charles_river
51.9950.0613	-15	colon	9950	0	0	0	32548	5	HF/LF	Female	second_set_arizona	charles_river
51.9951.0613	-15	colon	9951	0	0	0	36291	5	HF/LF	Female	second_set_arizona	charles_river
51.9952.0613	-15	colon	9952	0	0	0	37115	5	HF/LF	Female	second_set_arizona	charles_river
51.9953.0613	-15	colon	9953	0	0	0	64675	5	HF/LF	Female	second_set_arizona	charles_river
CDD02.Tc.HFLF.3.00	-15	colon	CDD02.Tc.HFLF.3	1	0	1	62859	2	HF/LF	Female	new_exp_anschutz	taconic
CDD02.Tc.LFLF.4.00	-15	colon	CDD02.Tc.LFLF.4	0	0	1	75937	2	LF/LF	Female	new_exp_anschutz	taconic
CDD02.Tc.Chow.4.00	-15	colon	CDD02.Tc.Chow.4	0	0	0	55839	2	Chow	Female	new_exp_anschutz	taconic
CDD02.Tc.Chow.2.00	-15	colon	CDD02.Tc.Chow.2	0	0	0	45329	2	Chow	Female	new_exp_anschutz	taconic
CDD02.Tc.Chow.1.00	-15	colon	CDD02.Tc.Chow.1	0	0	0	84825	2	Chow	Female	new_exp_anschutz	taconic
CDD02.CR.LFLF.5.00	-15	colon	CDD02.CR.LFLF.5	0	0	1	43404	2	LF/LF	Female	new_exp_anschutz	charles_river
CDD02.CR.Chow.1.00	-15	colon	CDD02.CR.Chow.1	0	0	0	52927	2	Chow	Female	new_exp_anschutz	charles_river
CDD02.CR.LFLF.1.00	-15	colon	CDD02.CR.LFLF.1	0	0	1	53356	2	LF/LF	Female	new_exp_anschutz	charles_river
CDD02.CR.Chow.4.00	-15	colon	CDD02.CR.Chow.4	0	0	0	57656	2	Chow	Female	new_exp_anschutz	charles_river
CDD02.CR.Chow.3.00	-15	colon	CDD02.CR.Chow.3	0	0	0	38827	2	Chow	Female	new_exp_anschutz	charles_river
CDD02.CR.Chow.5.00	-15	colon	CDD02.CR.Chow.5	0	0	0	29768	2	Chow	Female	new_exp_anschutz	charles_river
CDD02.Tc.HFHF.5.00	-15	colon	CDD02.Tc.HFHF.5	1	1	1	72549	2	HF/HF	Female	new_exp_anschutz	taconic
CDD02.CR.LFLF.2.00	-15	colon	CDD02.CR.LFLF.2	0	0	1	46843	2	LF/LF	Female	new_exp_anschutz	charles_river
CDD02.CR.HFLF.3.00	-15	colon	CDD02.CR.HFLF.3	1	0	1	51291	2	HF/LF	Female	new_exp_anschutz	charles_river
CDD02.Tc.HFLF.2.00	-15	colon	CDD02.Tc.HFLF.2	1	0	1	45775	2	HF/LF	Female	new_exp_anschutz	taconic
CDD02.CR.Chow.2.00	-15	colon	CDD02.CR.Chow.2	0	0	0	41773	2	Chow	Female	new_exp_anschutz	charles_river
CDD02.Tc.HFHF.1.00	-15	colon	CDD02.Tc.HFHF.1	1	1	1	87743	2	HF/HF	Female	new_exp_anschutz	taconic
CDD02.CR.LFLF.3.00	-15	colon	CDD02.CR.LFLF.3	0	0	1	67280	2	LF/LF	Female	new_exp_anschutz	charles_river
CDD02.Tc.LFHF.2.00	-15	colon	CDD02.Tc.LFHF.2	0	1	1	73611	2	LF/HF	Female	new_exp_anschutz	taconic
CDD02.Tc.HFLF.4.00	-15	colon	CDD02.Tc.HFLF.4	1	0	1	52843	2	HF/LF	Female	new_exp_anschutz	taconic
CDD02.Tc.HFLF.5.00	-15	colon	CDD02.Tc.HFLF.5	1	0	1	41708	2	HF/LF	Female	new_exp_anschutz	taconic
CDD02.CR.LFLF.4.00	-15	colon	CDD02.CR.LFLF.4	0	0	1	46336	2	LF/LF	Female	new_exp_anschutz	charles_river
CDD02.Tc.LFHF.3.00	-15	colon	CDD02.Tc.LFHF.3	0	1	1	55243	2	LF/HF	Female	new_exp_anschutz	taconic
CDD02.Tc.HFHF.4.00	-15	colon	CDD02.Tc.HFHF.4	1	1	1	42595	2	HF/HF	Female	new_exp_anschutz	taconic
CDD02.Tc.LFLF.5.00	-15	colon	CDD02.Tc.LFLF.5	0	0	1	24245	2	LF/LF	Female	new_exp_anschutz	taconic
CDD02.Tc.Chow.5.00	-15	colon	CDD02.Tc.Chow.5	0	0	0	39419	2	Chow	Female	new_exp_anschutz	taconic
CDD02.Tc.HFLF.1.00	-15	colon	CDD02.Tc.HFLF.1	1	0	1	47410	2	HF/LF	Female	new_exp_anschutz	taconic
CDD02.CR.HFLF.2.00	-15	colon	CDD02.CR.HFLF.2	1	0	1	53788	2	HF/LF	Female	new_exp_anschutz	charles_river
CDD02.Tc.Chow.3.00	-15	colon	CDD02.Tc.Chow.3	0	0	0	28490	2	Chow	Female	new_exp_anschutz	taconic
CDD02.Tc.LFHF.4.00	-15	colon	CDD02.Tc.LFHF.4	0	1	1	49475	2	LF/HF	Female	new_exp_anschutz	taconic
CDD02.Tc.LFHF.5.00	-15	colon	CDD02.Tc.LFHF.5	0	1	1	30759	2	LF/HF	Female	new_exp_anschutz	taconic
CDD02.Tc.HFHF.3.00	-15	colon	CDD02.Tc.HFHF.3	1	1	1	59529	2	HF/HF	Female	new_exp_anschutz	taconic
CDD02.CR.HFLF.1.00	-15	colon	CDD02.CR.HFLF.1	1	0	1	78937	2	HF/LF	Female	new_exp_anschutz	charles_river
CDD02.Tc.LFLF.1.00	-15	colon	CDD02.Tc.LFLF.1	0	0	1	58550	2	LF/LF	Female	new_exp_anschutz	taconic
CDD02.Tc.LFLF.2.00	-15	colon	CDD02.Tc.LFLF.2	0	0	1	102011	2	LF/LF	Female	new_exp_anschutz	taconic
CDD02.Tc.LFLF.3.00	-15	colon	CDD02.Tc.LFLF.3	0	0	1	41523	2	LF/LF	Female	new_exp_anschutz	taconic
CDD02.Tc.HFHF.2.00	-15	colon	CDD02.Tc.HFHF.2	1	1	1	52066	2	HF/HF	Female	new_exp_anschutz	taconic
CDD02.Tc.LFHF.1.00	-15	colon	CDD02.Tc.LFHF.1	0	1	1	38985	2	LF/HF	Female	new_exp_anschutz	taconic
CDD02.CR.HFHF.1.00	-15	colon	CDD02.CR.HFHF.1	1	1	1	70530	2	HF/HF	Female	new_exp_anschutz	charles_river
CDD02.CR.LFHF.2.00	-15	colon	CDD02.CR.LFHF.2	0	1	1	67551	2	LF/HF	Female	new_exp_anschutz	charles_river
CDD02.CR.HFLF.5.00	-15	colon	CDD02.CR.HFLF.5	1	0	1	58436	2	HF/LF	Female	new_exp_anschutz	charles_river
CDD02.CR.HFHF.3.00	-15	colon	CDD02.CR.HFHF.3	1	1	1	53938	2	HF/HF	Female	new_exp_anschutz	charles_river
CDD02.CR.LFHF.5.00	-15	colon	CDD02.CR.LFHF.5	0	1	1	51698	2	LF/HF	Female	new_exp_anschutz	charles_river
CDD02.CR.HFHF.4.00	-15	colon	CDD02.CR.HFHF.4	1	1	1	58457	2	HF/HF	Female	new_exp_anschutz	charles_river
CDD02.CR.HFHF.5.00	-15	colon	CDD02.CR.HFHF.5	1	1	1	58097	2	HF/HF	Female	new_exp_anschutz	charles_river
CDD02.CR.LFHF.1.00	-15	colon	CDD02.CR.LFHF.1	0	1	1	62331	2	LF/HF	Female	new_exp_anschutz	charles_river
CDD02.CR.LFHF.3.00	-15	colon	CDD02.CR.LFHF.3	0	1	1	41007	2	LF/HF	Female	new_exp_anschutz	charles_river
CDD02.CR.HFLF.4.00	-15	colon	CDD02.CR.HFLF.4	1	0	1	69016	2	HF/LF	Female	new_exp_anschutz	charles_river
CDD02.CR.LFHF.4.00	-15	colon	CDD02.CR.LFHF.4	0	1	1	40920	2	LF/HF	Female	new_exp_anschutz	charles_river
CDD02.CR.HFHF.2.00	-15	colon	CDD02.CR.HFHF.2	1	1	1	56580	2	HF/HF	Female	new_exp_anschutz	charles_river
CDD03.CR.HFHF.1.00	-15	colon	CDD03.CR.HFHF.1	1	1	1	54011	3	HF/HF	Female	new_exp_anschutz	charles_river
CDD03.CR.LFLF.2.00	-15	colon	CDD03.CR.LFLF.2	0	0	1	76835	3	LF/LF	Female	new_exp_anschutz	charles_river
CDD03.CR.LFLF.4.00	-15	colon	CDD03.CR.LFLF.4	0	0	1	57393	3	LF/LF	Female	new_exp_anschutz	charles_river
CDD03.CR.Chow.2.00	-15	colon	CDD03.CR.Chow.2	0	0	0	50689	3	Chow	Female	new_exp_anschutz	charles_river
CDD03.CR.LFHF.2.00	-15	colon	CDD03.CR.LFHF.2	0	1	1	56867	3	LF/HF	Female	new_exp_anschutz	charles_river
CDD03.CR.HFLF.1.00	-15	colon	CDD03.CR.HFLF.1	1	0	1	52883	3	HF/LF	Female	new_exp_anschutz	charles_river
CDD03.CR.Chow.3.00	-15	colon	CDD03.CR.Chow.3	0	0	0	56748	3	Chow	Female	new_exp_anschutz	charles_river
CDD03.CR.HFLF.5.00	-15	colon	CDD03.CR.HFLF.5	1	0	1	65478	3	HF/LF	Female	new_exp_anschutz	charles_river
CDD03.CR.HFHF.4.00	-15	colon	CDD03.CR.HFHF.4	1	1	1	53756	3	HF/HF	Female	new_exp_anschutz	charles_river
CDD03.CR.LFLF.5.00	-15	colon	CDD03.CR.LFLF.5	0	0	1	32935	3	LF/LF	Female	new_exp_anschutz	charles_river
CDD03.CR.LFHF.3.00	-15	colon	CDD03.CR.LFHF.3	0	1	1	80160	3	LF/HF	Female	new_exp_anschutz	charles_river
CDD03.Tc.HFLF.5.00	-15	colon	CDD03.Tc.HFLF.5	1	0	1	45006	3	HF/LF	Female	new_exp_anschutz	taconic
CDD03.CR.Chow.5.00	-15	colon	CDD03.CR.Chow.5	0	0	0	56780	3	Chow	Female	new_exp_anschutz	charles_river
CDD03.CR.HFHF.2.00	-15	colon	CDD03.CR.HFHF.2	1	1	1	43737	3	HF/HF	Female	new_exp_anschutz	charles_river
CDD03.Tc.HFHF.2.00	-15	colon	CDD03.Tc.HFHF.2	1	1	1	51485	3	HF/HF	Female	new_exp_anschutz	taconic
CDD03.CR.LFHF.5.00	-15	colon	CDD03.CR.LFHF.5	0	1	1	57033	3	LF/HF	Female	new_exp_anschutz	charles_river
CDD03.CR.HFLF.3.00	-15	colon	CDD03.CR.HFLF.3	1	0	1	56493	3	HF/LF	Female	new_exp_anschutz	charles_river
CDD03.Tc.LFLF.4.00	-15	colon	CDD03.Tc.LFLF.4	0	0	1	53255	3	LF/LF	Female	new_exp_anschutz	taconic
CDD03.Tc.HFHF.3.00	-15	colon	CDD03.Tc.HFHF.3	1	1	1	52058	3	HF/HF	Female	new_exp_anschutz	taconic
CDD03.CR.LFLF.1.00	-15	colon	CDD03.CR.LFLF.1	0	0	1	50167	3	LF/LF	Female	new_exp_anschutz	charles_river
CDD03.CR.HFLF.4.00	-15	colon	CDD03.CR.HFLF.4	1	0	1	54289	3	HF/LF	Female	new_exp_anschutz	charles_river
CDD03.Tc.Chow.3.00	-15	colon	CDD03.Tc.Chow.3	0	0	0	62000	3	Chow	Female	new_exp_anschutz	taconic
CDD03.CR.Chow.1.00	-15	colon	CDD03.CR.Chow.1	0	0	0	70432	3	Chow	Female	new_exp_anschutz	charles_river
CDD03.CR.HFHF.5.00	-15	colon	CDD03.CR.HFHF.5	1	1	1	64330	3	HF/HF	Female	new_exp_anschutz	charles_river
CDD03.Tc.HFLF.3.00	-15	colon	CDD03.Tc.HFLF.3	1	0	1	65786	3	HF/LF	Female	new_exp_anschutz	taconic
CDD03.CR.LFHF.1.00	-15	colon	CDD03.CR.LFHF.1	0	1	1	66434	3	LF/HF	Female	new_exp_anschutz	charles_river
CDD03.Tc.HFHF.5.00	-15	colon	CDD03.Tc.HFHF.5	1	1	1	53591	3	HF/HF	Female	new_exp_anschutz	taconic
CDD03.Tc.LFHF.4.00	-15	colon	CDD03.Tc.LFHF.4	0	1	1	66590	3	LF/HF	Female	new_exp_anschutz	taconic
CDD03.Tc.Chow.5.00	-15	colon	CDD03.Tc.Chow.5	0	0	0	38275	3	Chow	Female	new_exp_anschutz	taconic
CDD03.CR.HFLF.2.00	-15	colon	CDD03.CR.HFLF.2	1	0	1	56564	3	HF/LF	Female	new_exp_anschutz	charles_river
CDD03.CR.LFHF.4.00	-15	colon	CDD03.CR.LFHF.4	0	1	1	47901	3	LF/HF	Female	new_exp_anschutz	charles_river
CDD03.CR.Chow.4.00	-15	colon	CDD03.CR.Chow.4	0	0	0	79328	3	Chow	Female	new_exp_anschutz	charles_river
CDD03.Tc.Chow.1.00	-15	colon	CDD03.Tc.Chow.1	0	0	0	51406	3	Chow	Female	new_exp_anschutz	taconic
CDD03.Tc.LFHF.3.00	-15	colon	CDD03.Tc.LFHF.3	0	1	1	66128	3	LF/HF	Female	new_exp_anschutz	taconic
CDD03.Tc.HFHF.4.00	-15	colon	CDD03.Tc.HFHF.4	1	1	1	70770	3	HF/HF	Female	new_exp_anschutz	taconic
CDD03.Tc.HFLF.2.00	-15	colon	CDD03.Tc.HFLF.2	1	0	1	38488	3	HF/LF	Female	new_exp_anschutz	taconic
CDD03.Tc.LFLF.2.00	-15	colon	CDD03.Tc.LFLF.2	0	0	1	32013	3	LF/LF	Female	new_exp_anschutz	taconic
CDD03.Tc.LFLF.1.00	-15	colon	CDD03.Tc.LFLF.1	0	0	1	60847	3	LF/LF	Female	new_exp_anschutz	taconic
CDD03.Tc.LFLF.5.00	-15	colon	CDD03.Tc.LFLF.5	0	0	1	61077	3	LF/LF	Female	new_exp_anschutz	taconic
CDD03.Tc.HFLF.1.00	-15	colon	CDD03.Tc.HFLF.1	1	0	1	62044	3	HF/LF	Female	new_exp_anschutz	taconic
CDD03.CR.LFLF.3.00	-15	colon	CDD03.CR.LFLF.3	0	0	1	57258	3	LF/LF	Female	new_exp_anschutz	charles_river
CDD03.CR.HFHF.3.00	-15	colon	CDD03.CR.HFHF.3	1	1	1	68049	3	HF/HF	Female	new_exp_anschutz	charles_river
CDD03.Tc.HFHF.1.00	-15	colon	CDD03.Tc.HFHF.1	1	1	1	53725	3	HF/HF	Female	new_exp_anschutz	taconic
CDD03.Tc.LFHF.1.00	-15	colon	CDD03.Tc.LFHF.1	0	1	1	80690	3	LF/HF	Female	new_exp_anschutz	taconic
CDD03.Tc.Chow.4.00	-15	colon	CDD03.Tc.Chow.4	0	0	0	39387	3	Chow	Female	new_exp_anschutz	taconic
CDD03.Tc.LFHF.5.00	-15	colon	CDD03.Tc.LFHF.5	0	1	1	36902	3	LF/HF	Female	new_exp_anschutz	taconic
CDD03.Tc.LFLF.3.00	-15	colon	CDD03.Tc.LFLF.3	0	0	1	52174	3	LF/LF	Female	new_exp_anschutz	taconic
CDD03.Tc.LFHF.2.00	-15	colon	CDD03.Tc.LFHF.2	0	1	1	82515	3	LF/HF	Female	new_exp_anschutz	taconic
CDD03.Tc.HFLF.4.00	-15	colon	CDD03.Tc.HFLF.4	1	0	1	44751	3	HF/LF	Female	new_exp_anschutz	taconic
CDD03.Tc.Chow.2.00	-15	colon	CDD03.Tc.Chow.2	0	0	0	53618	3	Chow	Female	new_exp_anschutz	taconic
