#SampleID	day_post_inf	sample_type	mouse_id	high_fat	high_fiber	purified_diet	study	diet	mouse_sex	experiment_set	vendor
61.9975.0627	-15	colon	9975	0	0	0	6	HF/LF	Female	second_set_arizona	charles_river
41.9871.0530	-15	colon	9871	0	0	0	4	LF/HF	Female	second_set_arizona	charles_river
41.9872.0530	-15	colon	9872	0	0	0	4	LF/HF	Female	second_set_arizona	charles_river
41.9873.0530	-15	colon	9873	0	0	0	4	LF/HF	Female	second_set_arizona	charles_river
41.9874.0530	-15	colon	9874	0	0	0	4	LF/HF	Female	second_set_arizona	charles_river
41.9875.0530	-15	colon	9875	0	0	0	4	LF/HF	Female	second_set_arizona	charles_river
41.9876.0530	-15	colon	9876	0	0	0	4	HF/HF	Female	second_set_arizona	charles_river
41.9877.0530	-15	colon	9877	0	0	0	4	HF/HF	Female	second_set_arizona	charles_river
41.9878.0530	-15	colon	9878	0	0	0	4	HF/HF	Female	second_set_arizona	charles_river
41.9879.0530	-15	colon	9879	0	0	0	4	HF/HF	Female	second_set_arizona	charles_river
41.9880.0530	-15	colon	9880	0	0	0	4	HF/HF	Female	second_set_arizona	charles_river
41.9881.0530	-15	colon	9881	0	0	0	4	LF/LF	Female	second_set_arizona	charles_river
41.9882.0530	-15	colon	9882	0	0	0	4	LF/LF	Female	second_set_arizona	charles_river
41.9883.0530	-15	colon	9883	0	0	0	4	LF/LF	Female	second_set_arizona	charles_river
41.9884.0530	-15	colon	9884	0	0	0	4	LF/LF	Female	second_set_arizona	charles_river
41.9885.0530	-15	colon	9885	0	0	0	4	LF/LF	Female	second_set_arizona	charles_river
41.9886.0530	-15	colon	9886	0	0	0	4	HF/LF	Female	second_set_arizona	charles_river
41.9887.0530	-15	colon	9887	0	0	0	4	HF/LF	Female	second_set_arizona	charles_river
41.9888.0530	-15	colon	9888	0	0	0	4	HF/LF	Female	second_set_arizona	charles_river
41.9889.0530	-15	colon	9889	0	0	0	4	HF/LF	Female	second_set_arizona	charles_river
41.9890.0530	-15	colon	9890	0	0	0	4	HF/LF	Female	second_set_arizona	charles_river
51.9939.0613	-15	colon	9939	0	0	0	5	Chow	Female	second_set_arizona	charles_river
51.9940.0613	-15	colon	9940	0	0	0	5	Chow	Female	second_set_arizona	charles_river
51.9941.0613	-15	colon	9941	0	0	0	5	Chow	Female	second_set_arizona	charles_river
51.9942.0613	-15	colon	9942	0	0	0	5	Chow	Female	second_set_arizona	charles_river
51.9943.0613	-15	colon	9943	0	0	0	5	Chow	Female	second_set_arizona	charles_river
51.9944.0613	-15	colon	9944	0	0	0	5	LF/LF	Female	second_set_arizona	charles_river
51.9945.0613	-15	colon	9945	0	0	0	5	LF/LF	Female	second_set_arizona	charles_river
51.9946.0613	-15	colon	9946	0	0	0	5	LF/LF	Female	second_set_arizona	charles_river
51.9947.0613	-15	colon	9947	0	0	0	5	LF/LF	Female	second_set_arizona	charles_river
51.9948.0613	-15	colon	9948	0	0	0	5	LF/LF	Female	second_set_arizona	charles_river
51.9949.0613	-15	colon	9949	0	0	0	5	HF/LF	Female	second_set_arizona	charles_river
51.9950.0613	-15	colon	9950	0	0	0	5	HF/LF	Female	second_set_arizona	charles_river
51.9951.0613	-15	colon	9951	0	0	0	5	HF/LF	Female	second_set_arizona	charles_river
51.9952.0613	-15	colon	9952	0	0	0	5	HF/LF	Female	second_set_arizona	charles_river
51.9953.0613	-15	colon	9953	0	0	0	5	HF/LF	Female	second_set_arizona	charles_river
CDD02.Tc.HFLF.3.00	-15	colon	Tc.HFLF.3	1	0	1	2	HF/LF	Female	new_exp_anschutz	taconic
CDD02.Tc.LFLF.4.00	-15	colon	Tc.LFLF.4	0	0	1	2	LF/LF	Female	new_exp_anschutz	taconic
CDD02.Tc.Chow.4.00	-15	colon	Tc.Chow.4	0	0	0	2	Chow	Female	new_exp_anschutz	taconic
CDD02.Tc.Chow.2.00	-15	colon	Tc.Chow.2	0	0	0	2	Chow	Female	new_exp_anschutz	taconic
CDD02.Tc.Chow.1.00	-15	colon	Tc.Chow.1	0	0	0	2	Chow	Female	new_exp_anschutz	taconic
CDD02.CR.LFLF.5.00	-15	colon	CR.LFLF.5	0	0	1	2	LF/LF	Female	new_exp_anschutz	charles_river
CDD02.CR.Chow.1.00	-15	colon	CR.Chow.1	0	0	0	2	Chow	Female	new_exp_anschutz	charles_river
CDD02.CR.LFLF.1.00	-15	colon	CR.LFLF.1	0	0	1	2	LF/LF	Female	new_exp_anschutz	charles_river
CDD02.CR.Chow.4.00	-15	colon	CR.Chow.4	0	0	0	2	Chow	Female	new_exp_anschutz	charles_river
CDD02.CR.Chow.3.00	-15	colon	CR.Chow.3	0	0	0	2	Chow	Female	new_exp_anschutz	charles_river
CDD02.CR.Chow.5.00	-15	colon	CR.Chow.5	0	0	0	2	Chow	Female	new_exp_anschutz	charles_river
CDD02.Tc.HFHF.5.00	-15	colon	Tc.HFHF.5	1	1	1	2	HF/HF	Female	new_exp_anschutz	taconic
CDD02.CR.LFLF.2.00	-15	colon	CR.LFLF.2	0	0	1	2	LF/LF	Female	new_exp_anschutz	charles_river
CDD02.CR.HFLF.3.00	-15	colon	CR.HFLF.3	1	0	1	2	HF/LF	Female	new_exp_anschutz	charles_river
CDD02.Tc.HFLF.2.00	-15	colon	Tc.HFLF.2	1	0	1	2	HF/LF	Female	new_exp_anschutz	taconic
CDD02.CR.Chow.2.00	-15	colon	CR.Chow.2	0	0	0	2	Chow	Female	new_exp_anschutz	charles_river
CDD02.Tc.HFHF.1.00	-15	colon	Tc.HFHF.1	1	1	1	2	HF/HF	Female	new_exp_anschutz	taconic
CDD02.CR.LFLF.3.00	-15	colon	CR.LFLF.3	0	0	1	2	LF/LF	Female	new_exp_anschutz	charles_river
CDD02.Tc.LFHF.2.00	-15	colon	Tc.LFHF.2	0	1	1	2	LF/HF	Female	new_exp_anschutz	taconic
CDD02.Tc.HFLF.4.00	-15	colon	Tc.HFLF.4	1	0	1	2	HF/LF	Female	new_exp_anschutz	taconic
CDD02.Tc.HFLF.5.00	-15	colon	Tc.HFLF.5	1	0	1	2	HF/LF	Female	new_exp_anschutz	taconic
CDD02.CR.LFLF.4.00	-15	colon	CR.LFLF.4	0	0	1	2	LF/LF	Female	new_exp_anschutz	charles_river
CDD02.Tc.LFHF.3.00	-15	colon	Tc.LFHF.3	0	1	1	2	LF/HF	Female	new_exp_anschutz	taconic
CDD02.Tc.HFHF.4.00	-15	colon	Tc.HFHF.4	1	1	1	2	HF/HF	Female	new_exp_anschutz	taconic
CDD02.Tc.LFLF.5.00	-15	colon	Tc.LFLF.5	0	0	1	2	LF/LF	Female	new_exp_anschutz	taconic
CDD02.Tc.Chow.5.00	-15	colon	Tc.Chow.5	0	0	0	2	Chow	Female	new_exp_anschutz	taconic
CDD02.Tc.HFLF.1.00	-15	colon	Tc.HFLF.1	1	0	1	2	HF/LF	Female	new_exp_anschutz	taconic
CDD02.CR.HFLF.2.00	-15	colon	CR.HFLF.2	1	0	1	2	HF/LF	Female	new_exp_anschutz	charles_river
CDD02.Tc.Chow.3.00	-15	colon	Tc.Chow.3	0	0	0	2	Chow	Female	new_exp_anschutz	taconic
CDD02.Tc.LFHF.4.00	-15	colon	Tc.LFHF.4	0	1	1	2	LF/HF	Female	new_exp_anschutz	taconic
CDD02.Tc.LFHF.5.00	-15	colon	Tc.LFHF.5	0	1	1	2	LF/HF	Female	new_exp_anschutz	taconic
CDD02.Tc.HFHF.3.00	-15	colon	Tc.HFHF.3	1	1	1	2	HF/HF	Female	new_exp_anschutz	taconic
CDD02.CR.HFLF.1.00	-15	colon	CR.HFLF.1	1	0	1	2	HF/LF	Female	new_exp_anschutz	charles_river
CDD02.Tc.LFLF.1.00	-15	colon	Tc.LFLF.1	0	0	1	2	LF/LF	Female	new_exp_anschutz	taconic
CDD02.Tc.LFLF.2.00	-15	colon	Tc.LFLF.2	0	0	1	2	LF/LF	Female	new_exp_anschutz	taconic
CDD02.Tc.LFLF.3.00	-15	colon	Tc.LFLF.3	0	0	1	2	LF/LF	Female	new_exp_anschutz	taconic
CDD02.Tc.HFHF.2.00	-15	colon	Tc.HFHF.2	1	1	1	2	HF/HF	Female	new_exp_anschutz	taconic
CDD02.Tc.LFHF.1.00	-15	colon	Tc.LFHF.1	0	1	1	2	LF/HF	Female	new_exp_anschutz	taconic
CDD02.CR.HFHF.1.00	-15	colon	CR.HFHF.1	1	1	1	2	HF/HF	Female	new_exp_anschutz	charles_river
CDD02.CR.LFHF.2.00	-15	colon	CR.LFHF.2	0	1	1	2	LF/HF	Female	new_exp_anschutz	charles_river
CDD02.CR.HFLF.5.00	-15	colon	CR.HFLF.5	1	0	1	2	HF/LF	Female	new_exp_anschutz	charles_river
CDD02.CR.HFHF.3.00	-15	colon	CR.HFHF.3	1	1	1	2	HF/HF	Female	new_exp_anschutz	charles_river
CDD02.CR.LFHF.5.00	-15	colon	CR.LFHF.5	0	1	1	2	LF/HF	Female	new_exp_anschutz	charles_river
CDD02.CR.HFHF.4.00	-15	colon	CR.HFHF.4	1	1	1	2	HF/HF	Female	new_exp_anschutz	charles_river
CDD02.CR.HFHF.5.00	-15	colon	CR.HFHF.5	1	1	1	2	HF/HF	Female	new_exp_anschutz	charles_river
CDD02.CR.LFHF.1.00	-15	colon	CR.LFHF.1	0	1	1	2	LF/HF	Female	new_exp_anschutz	charles_river
CDD02.CR.LFHF.3.00	-15	colon	CR.LFHF.3	0	1	1	2	LF/HF	Female	new_exp_anschutz	charles_river
CDD02.CR.HFLF.4.00	-15	colon	CR.HFLF.4	1	0	1	2	HF/LF	Female	new_exp_anschutz	charles_river
CDD02.CR.LFHF.4.00	-15	colon	CR.LFHF.4	0	1	1	2	LF/HF	Female	new_exp_anschutz	charles_river
CDD02.CR.HFHF.2.00	-15	colon	CR.HFHF.2	1	1	1	2	HF/HF	Female	new_exp_anschutz	charles_river
AM.S3.CH.1.0108	-17	colon	Chow.1	0	0	0	3	Chow	Female	first_set_anschutz	taconic
AM.S3.CH.2.0108	-17	colon	Chow.2	0	0	0	3	Chow	Female	first_set_anschutz	taconic
AM.S3.CH.3.0108	-17	colon	Chow.3	0	0	0	3	Chow	Female	first_set_anschutz	taconic
AM.S3.CH.4.0108	-17	colon	Chow.4	0	0	0	3	Chow	Female	first_set_anschutz	taconic
AM.S3.CH.5.0108	-17	colon	Chow.5	0	0	0	3	Chow	Female	first_set_anschutz	taconic
AM.S3.HFD.1.0108	-17	colon	HFD.1	1	0	1	3	HF/LF	Female	first_set_anschutz	taconic
AM.S3.HFD.2.0108	-17	colon	HFD.2	1	0	1	3	HF/LF	Female	first_set_anschutz	taconic
AM.S3.HFD.3.0108	-17	colon	HFD.3	1	0	1	3	HF/LF	Female	first_set_anschutz	taconic
AM.S3.HFD.4.0108	-17	colon	HFD.4	1	0	1	3	HF/LF	Female	first_set_anschutz	taconic
AM.S3.HFD.5.0108	-17	colon	HFD.5	1	0	1	3	HF/LF	Female	first_set_anschutz	taconic
AM.S6.chow_3.1.0326	-13	colon	chow2.1	0	0	0	4	Chow	Female	first_set_anschutz	taconic
AM.S6.chow_3.2.0326	-13	colon	chow2.2	0	0	0	4	Chow	Female	first_set_anschutz	taconic
AM.S6.chow_3.3.0326	-13	colon	chow2.3	0	0	0	4	Chow	Female	first_set_anschutz	taconic
AM.S6.chow_3.4.0326	-13	colon	chow2.4	0	0	0	4	Chow	Female	first_set_anschutz	taconic
AM.S6.chow_4.1.0326	-13	colon	chow2.5	0	0	0	4	Chow	Female	first_set_anschutz	taconic
AM.S6.chow_4.2.0326	-13	colon	chow2.6	0	0	0	4	Chow	Female	first_set_anschutz	taconic
AM.S6.chow_4.3.0326	-13	colon	chow2.7	0	0	0	4	Chow	Female	first_set_anschutz	taconic
AM.S6.chow_4.4.0326	-13	colon	chow2.8	0	0	0	4	Chow	Female	first_set_anschutz	taconic
AM.S6.hfd_3.1.0326	-13	colon	WD2.1	1	0	1	4	HF/LF	Female	first_set_anschutz	taconic
AM.S6.hfd_3.2.0326	-13	colon	WD2.2	1	0	1	4	HF/LF	Female	first_set_anschutz	taconic
AM.S6.hfd_3.3.0326	-13	colon	WD2.3	1	0	1	4	HF/LF	Female	first_set_anschutz	taconic
AM.S6.hfd_3.4.0326	-13	colon	WD2.4	1	0	1	4	HF/LF	Female	first_set_anschutz	taconic
AM.S6.hfd_4.1.0326	-13	colon	WD2.5	1	0	1	4	HF/LF	Female	first_set_anschutz	taconic
AM.S6.hfd_4.2.0326	-13	colon	WD2.6	1	0	1	4	HF/LF	Female	first_set_anschutz	taconic
AM.S6.hfd_4.3.0326	-13	colon	WD2.7	1	0	1	4	HF/LF	Female	first_set_anschutz	taconic
AM.S6.hfd_4.4.0326	-13	colon	WD2.8	1	0	1	4	HF/LF	Female	first_set_anschutz	taconic
AM.LF.1.0107	-15	colon	LF1	0	0	1	5	LF/LF	Female	first_set_anschutz	taconic
AM.LF.2.0107	-15	colon	LF2	0	0	1	5	LF/LF	Female	first_set_anschutz	taconic
AM.LF.3.0107	-15	colon	LF3	0	0	1	5	LF/LF	Female	first_set_anschutz	taconic
AM.LF.6.0107	-15	colon	LF6	0	0	1	5	LF/LF	Female	first_set_anschutz	taconic
AM.LF.7.0107	-15	colon	LF7	0	0	1	5	LF/LF	Female	first_set_anschutz	taconic
