diet	tube_numb	tube_label	date	mouse_id	facility	study	bile_acid	concentration	c_diff_effect	conc_normalized
HF/LF	5	WD.5	71523	9973	barrier_2	6	Beta_muricholic_acid_b-MCA	0	inhibitor	2
LF/HF	1	Ctrl+F.1	60322	9833	barrier_1	3	Beta_muricholic_acid_b-MCA	110.4934528	inhibitor	112.4934528
LF/HF	1	Ctrl+F.1	81923	99	barrier_1	7	Beta_muricholic_acid_b-MCA	75.57924417	inhibitor	77.57924417
LF/HF	2	Ctrl+F.2	60322	9834	barrier_1	3	Beta_muricholic_acid_b-MCA	48.2793273	inhibitor	50.2793273
LF/HF	3	Ctrl+F.3	60322	9832	barrier_1	3	Beta_muricholic_acid_b-MCA	10.67903204	inhibitor	12.67903204
LF/HF	5	Ctrl+F.5	60322	9835	barrier_1	3	Beta_muricholic_acid_b-MCA	234.8425014	inhibitor	236.8425014
LF/LF	1	Ctrl+F.1	50622	9747	barrier_2	2	Beta_muricholic_acid_b-MCA	0	inhibitor	2
LF/LF	1	Ctrl.1	60322	9841	barrier_1	3	Beta_muricholic_acid_b-MCA	0	inhibitor	2
LF/LF	1	Ctrl.1	70122	9946	barrier_2	5	Beta_muricholic_acid_b-MCA	0	inhibitor	2
LF/LF	1	Ctrl.1	71523	9966	barrier_2	6	Beta_muricholic_acid_b-MCA	20.23404696	inhibitor	22.23404696
LF/LF	1	Ctrl.1	81923	109	barrier_1	7	Beta_muricholic_acid_b-MCA	91.50773226	inhibitor	93.50773226
LF/LF	2	Ctrl.2	60322	9842	barrier_1	3	Beta_muricholic_acid_b-MCA	37.94927872	inhibitor	39.94927872
LF/LF	2	Ctrl.2	70122	9948	barrier_2	5	Beta_muricholic_acid_b-MCA	5.041549802	inhibitor	7.041549802
LF/LF	2	Ctrl.2	71523	9969	barrier_2	6	Beta_muricholic_acid_b-MCA	0	inhibitor	2
LF/LF	2	Ctrl.2	81923	106	barrier_1	7	Beta_muricholic_acid_b-MCA	179.1463464	inhibitor	181.1463464
LF/LF	3	Ctrl.3	70122	9947	barrier_2	5	Beta_muricholic_acid_b-MCA	0	inhibitor	2
LF/LF	3	Ctrl.3	71523	9968	barrier_2	6	Beta_muricholic_acid_b-MCA	394.949744	inhibitor	396.949744
LF/LF	3	Ctrl.3	81923	108	barrier_1	7	Beta_muricholic_acid_b-MCA	104.1155123	inhibitor	106.1155123
LF/LF	4	Ctrl.4	70122	9945	barrier_2	5	Beta_muricholic_acid_b-MCA	27.95510598	inhibitor	29.95510598
LF/LF	4	Ctrl.4	71523	9970	barrier_2	6	Beta_muricholic_acid_b-MCA	0	inhibitor	2
Chow	1	Chow.1	50622	9740	barrier_2	2	Lithocholic_acid_LCA	12.64064852	inhibitor	14.64064852
Chow	1	Chow.1	71523	9964	barrier_2	6	Lithocholic_acid_LCA	0	inhibitor	2
Chow	1	Chow.1	81923	117	barrier_1	7	Lithocholic_acid_LCA	18.72255507	inhibitor	20.72255507
Chow	2	Chow.2	50622	9741	barrier_2	2	Lithocholic_acid_LCA	27.04935023	inhibitor	29.04935023
Chow	2	Chow.2	70122	9943	barrier_2	5	Lithocholic_acid_LCA	0	inhibitor	2
Chow	2	Chow.2	71523	9965	barrier_2	6	Lithocholic_acid_LCA	0	inhibitor	2
Chow	2	Chow.2	81923	116	barrier_1	7	Lithocholic_acid_LCA	20.97485314	inhibitor	22.97485314
Chow	3	Chow.3	50622	9743	barrier_2	2	Lithocholic_acid_LCA	38.13932884	inhibitor	40.13932884
Chow	3	Chow.3	70122	9941	barrier_2	5	Lithocholic_acid_LCA	0	inhibitor	2
Chow	3	Chow.3	71523	9962	barrier_2	6	Lithocholic_acid_LCA	16.04625507	inhibitor	18.04625507
Chow	4	Chow.4	50622	9742	barrier_2	2	Lithocholic_acid_LCA	5.197998584	inhibitor	7.197998584
Chow	4	Chow.4	71523	9963	barrier_2	6	Lithocholic_acid_LCA	0	inhibitor	2
Chow	4	Chow.4	81923	114	barrier_1	7	Lithocholic_acid_LCA	35.72053142	inhibitor	37.72053142
HF/HF	1	WD+F.1	60322	9838	barrier_1	3	Lithocholic_acid_LCA	0	inhibitor	2
HF/HF	1	WD+F.1	81923	104	barrier_1	7	Lithocholic_acid_LCA	0	inhibitor	2
HF/HF	2	WD+F.2	60322	9837	barrier_1	3	Lithocholic_acid_LCA	0	inhibitor	2
HF/HF	2	WD+F.2	81923	103	barrier_1	7	Lithocholic_acid_LCA	0	inhibitor	2
HF/HF	3	WD+F.3	60322	9839	barrier_1	3	Lithocholic_acid_LCA	0	inhibitor	2
HF/HF	4	WD+F.4	60322	9836	barrier_1	3	Lithocholic_acid_LCA	0	inhibitor	2
HF/LF	1	WD+F.1	50622	9758	barrier_2	2	Lithocholic_acid_LCA	0	inhibitor	2
HF/LF	1	WD.1	60322	9847	barrier_1	3	Lithocholic_acid_LCA	0	inhibitor	2
HF/LF	1	WD.1	70122	9953	barrier_2	5	Lithocholic_acid_LCA	0	inhibitor	2
HF/LF	1	WD.1	71523	9974	barrier_2	6	Lithocholic_acid_LCA	0	inhibitor	2
HF/LF	1	WD.1	81923	113	barrier_1	7	Lithocholic_acid_LCA	0	inhibitor	2
HF/LF	2	WD.2	60322	9849	barrier_1	3	Lithocholic_acid_LCA	0	inhibitor	2
HF/LF	2	WD.2	70122	9949	barrier_2	5	Lithocholic_acid_LCA	0	inhibitor	2
HF/LF	2	WD.2	71523	9972	barrier_2	6	Lithocholic_acid_LCA	0	inhibitor	2
HF/LF	3	WD.3	60322	9846	barrier_1	3	Lithocholic_acid_LCA	0	inhibitor	2
HF/LF	3	WD.3	70122	9950	barrier_2	5	Lithocholic_acid_LCA	0	inhibitor	2
HF/LF	3	WD.3	71523	9971	barrier_2	6	Lithocholic_acid_LCA	0	inhibitor	2
HF/LF	4	WD.4	60322	9848	barrier_1	3	Lithocholic_acid_LCA	0	inhibitor	2
HF/LF	4	WD.4	70122	9952	barrier_2	5	Lithocholic_acid_LCA	0	inhibitor	2
HF/LF	4	WD.4	71523	9975	barrier_2	6	Lithocholic_acid_LCA	0	inhibitor	2
HF/LF	5	WD.5	60322	9851	barrier_1	3	Lithocholic_acid_LCA	0	inhibitor	2
HF/LF	5	WD.5	71523	9973	barrier_2	6	Lithocholic_acid_LCA	0	inhibitor	2
LF/HF	1	Ctrl+F.1	60322	9833	barrier_1	3	Lithocholic_acid_LCA	0	inhibitor	2
LF/HF	1	Ctrl+F.1	81923	99	barrier_1	7	Lithocholic_acid_LCA	0	inhibitor	2
LF/HF	2	Ctrl+F.2	60322	9834	barrier_1	3	Lithocholic_acid_LCA	0	inhibitor	2
LF/HF	3	Ctrl+F.3	60322	9832	barrier_1	3	Lithocholic_acid_LCA	0	inhibitor	2
LF/HF	5	Ctrl+F.5	60322	9835	barrier_1	3	Lithocholic_acid_LCA	0	inhibitor	2
LF/LF	1	Ctrl+F.1	50622	9747	barrier_2	2	Lithocholic_acid_LCA	0	inhibitor	2
LF/LF	1	Ctrl.1	60322	9841	barrier_1	3	Lithocholic_acid_LCA	0	inhibitor	2
LF/LF	1	Ctrl.1	70122	9946	barrier_2	5	Lithocholic_acid_LCA	0	inhibitor	2
LF/LF	1	Ctrl.1	71523	9966	barrier_2	6	Lithocholic_acid_LCA	0	inhibitor	2
LF/LF	1	Ctrl.1	81923	109	barrier_1	7	Lithocholic_acid_LCA	0	inhibitor	2
LF/LF	2	Ctrl.2	60322	9842	barrier_1	3	Lithocholic_acid_LCA	0	inhibitor	2
LF/LF	2	Ctrl.2	70122	9948	barrier_2	5	Lithocholic_acid_LCA	0	inhibitor	2
LF/LF	2	Ctrl.2	71523	9969	barrier_2	6	Lithocholic_acid_LCA	0	inhibitor	2
LF/LF	2	Ctrl.2	81923	106	barrier_1	7	Lithocholic_acid_LCA	0	inhibitor	2
LF/LF	3	Ctrl.3	70122	9947	barrier_2	5	Lithocholic_acid_LCA	0	inhibitor	2
LF/LF	3	Ctrl.3	71523	9968	barrier_2	6	Lithocholic_acid_LCA	0	inhibitor	2
LF/LF	3	Ctrl.3	81923	108	barrier_1	7	Lithocholic_acid_LCA	0	inhibitor	2
LF/LF	4	Ctrl.4	70122	9945	barrier_2	5	Lithocholic_acid_LCA	0	inhibitor	2
LF/LF	4	Ctrl.4	71523	9970	barrier_2	6	Lithocholic_acid_LCA	0	inhibitor	2
Chow	1	Chow.1	50622	9740	barrier_2	2	Deoxycholic_acid_DCA	188.5852496	inhibitor	190.5852496
Chow	1	Chow.1	71523	9964	barrier_2	6	Deoxycholic_acid_DCA	0	inhibitor	2
Chow	1	Chow.1	81923	117	barrier_1	7	Deoxycholic_acid_DCA	180.1615207	inhibitor	182.1615207
Chow	2	Chow.2	50622	9741	barrier_2	2	Deoxycholic_acid_DCA	565.3518387	inhibitor	567.3518387
Chow	2	Chow.2	70122	9943	barrier_2	5	Deoxycholic_acid_DCA	0	inhibitor	2
Chow	2	Chow.2	71523	9965	barrier_2	6	Deoxycholic_acid_DCA	0	inhibitor	2
Chow	2	Chow.2	81923	116	barrier_1	7	Deoxycholic_acid_DCA	739.9658178	inhibitor	741.9658178
Chow	3	Chow.3	50622	9743	barrier_2	2	Deoxycholic_acid_DCA	561.2735552	inhibitor	563.2735552
Chow	3	Chow.3	70122	9941	barrier_2	5	Deoxycholic_acid_DCA	0	inhibitor	2
Chow	3	Chow.3	71523	9962	barrier_2	6	Deoxycholic_acid_DCA	58.35171482	inhibitor	60.35171482
Chow	4	Chow.4	50622	9742	barrier_2	2	Deoxycholic_acid_DCA	42.35615224	inhibitor	44.35615224
Chow	4	Chow.4	71523	9963	barrier_2	6	Deoxycholic_acid_DCA	0	inhibitor	2
Chow	4	Chow.4	81923	114	barrier_1	7	Deoxycholic_acid_DCA	224.7673302	inhibitor	226.7673302
HF/HF	1	WD+F.1	60322	9838	barrier_1	3	Deoxycholic_acid_DCA	0	inhibitor	2
HF/HF	1	WD+F.1	81923	104	barrier_1	7	Deoxycholic_acid_DCA	0	inhibitor	2
HF/HF	2	WD+F.2	60322	9837	barrier_1	3	Deoxycholic_acid_DCA	4.86343294	inhibitor	6.86343294
HF/HF	2	WD+F.2	81923	103	barrier_1	7	Deoxycholic_acid_DCA	0	inhibitor	2
HF/HF	3	WD+F.3	60322	9839	barrier_1	3	Deoxycholic_acid_DCA	0	inhibitor	2
HF/HF	4	WD+F.4	60322	9836	barrier_1	3	Deoxycholic_acid_DCA	3.437286132	inhibitor	5.437286132
HF/LF	1	WD+F.1	50622	9758	barrier_2	2	Deoxycholic_acid_DCA	0	inhibitor	2
HF/LF	1	WD.1	60322	9847	barrier_1	3	Deoxycholic_acid_DCA	0	inhibitor	2
HF/LF	1	WD.1	70122	9953	barrier_2	5	Deoxycholic_acid_DCA	0	inhibitor	2
HF/LF	1	WD.1	71523	9974	barrier_2	6	Deoxycholic_acid_DCA	0	inhibitor	2
HF/LF	1	WD.1	81923	113	barrier_1	7	Deoxycholic_acid_DCA	0	inhibitor	2
HF/LF	2	WD.2	60322	9849	barrier_1	3	Deoxycholic_acid_DCA	0	inhibitor	2
HF/LF	2	WD.2	70122	9949	barrier_2	5	Deoxycholic_acid_DCA	0	inhibitor	2
HF/LF	2	WD.2	71523	9972	barrier_2	6	Deoxycholic_acid_DCA	0	inhibitor	2
HF/LF	3	WD.3	60322	9846	barrier_1	3	Deoxycholic_acid_DCA	0	inhibitor	2
HF/LF	3	WD.3	70122	9950	barrier_2	5	Deoxycholic_acid_DCA	0	inhibitor	2
HF/LF	3	WD.3	71523	9971	barrier_2	6	Deoxycholic_acid_DCA	0	inhibitor	2
HF/LF	4	WD.4	60322	9848	barrier_1	3	Deoxycholic_acid_DCA	0	inhibitor	2
HF/LF	4	WD.4	70122	9952	barrier_2	5	Deoxycholic_acid_DCA	0	inhibitor	2
HF/LF	4	WD.4	71523	9975	barrier_2	6	Deoxycholic_acid_DCA	0	inhibitor	2
HF/LF	5	WD.5	60322	9851	barrier_1	3	Deoxycholic_acid_DCA	0	inhibitor	2
HF/LF	5	WD.5	71523	9973	barrier_2	6	Deoxycholic_acid_DCA	0	inhibitor	2
LF/HF	1	Ctrl+F.1	60322	9833	barrier_1	3	Deoxycholic_acid_DCA	23.85803039	inhibitor	25.85803039
LF/HF	1	Ctrl+F.1	81923	99	barrier_1	7	Deoxycholic_acid_DCA	0	inhibitor	2
LF/HF	2	Ctrl+F.2	60322	9834	barrier_1	3	Deoxycholic_acid_DCA	0	inhibitor	2
LF/HF	3	Ctrl+F.3	60322	9832	barrier_1	3	Deoxycholic_acid_DCA	0	inhibitor	2
LF/HF	5	Ctrl+F.5	60322	9835	barrier_1	3	Deoxycholic_acid_DCA	5.986803591	inhibitor	7.986803591
LF/LF	1	Ctrl+F.1	50622	9747	barrier_2	2	Deoxycholic_acid_DCA	0	inhibitor	2
LF/LF	1	Ctrl.1	60322	9841	barrier_1	3	Deoxycholic_acid_DCA	0	inhibitor	2
LF/LF	1	Ctrl.1	70122	9946	barrier_2	5	Deoxycholic_acid_DCA	0	inhibitor	2
LF/LF	1	Ctrl.1	71523	9966	barrier_2	6	Deoxycholic_acid_DCA	0	inhibitor	2
LF/LF	1	Ctrl.1	81923	109	barrier_1	7	Deoxycholic_acid_DCA	0	inhibitor	2
LF/LF	2	Ctrl.2	60322	9842	barrier_1	3	Deoxycholic_acid_DCA	0	inhibitor	2
LF/LF	2	Ctrl.2	70122	9948	barrier_2	5	Deoxycholic_acid_DCA	0	inhibitor	2
LF/LF	2	Ctrl.2	71523	9969	barrier_2	6	Deoxycholic_acid_DCA	0	inhibitor	2
LF/LF	2	Ctrl.2	81923	106	barrier_1	7	Deoxycholic_acid_DCA	65.65822928	inhibitor	67.65822928
LF/LF	3	Ctrl.3	70122	9947	barrier_2	5	Deoxycholic_acid_DCA	0	inhibitor	2
LF/LF	3	Ctrl.3	71523	9968	barrier_2	6	Deoxycholic_acid_DCA	0	inhibitor	2
LF/LF	3	Ctrl.3	81923	108	barrier_1	7	Deoxycholic_acid_DCA	0	inhibitor	2
LF/LF	4	Ctrl.4	70122	9945	barrier_2	5	Deoxycholic_acid_DCA	0	inhibitor	2
LF/LF	4	Ctrl.4	71523	9970	barrier_2	6	Deoxycholic_acid_DCA	0	inhibitor	2
Chow	1	Chow.1	50622	9740	barrier_2	2	Taurocholic_acid_T-CA	2299.017563	promoter	2301.017563
Chow	1	Chow.1	70122	9939	barrier_2	5	Taurocholic_acid_T-CA	not_enough_sample	promoter	not_enough_sample
Chow	1	Chow.1	71523	9964	barrier_2	6	Taurocholic_acid_T-CA	417.396884	promoter	419.396884
Chow	1	Chow.1	81923	117	barrier_1	7	Taurocholic_acid_T-CA	938.6155511	promoter	940.6155511
Chow	2	Chow.2	50622	9741	barrier_2	2	Taurocholic_acid_T-CA	287.0731854	promoter	289.0731854
Chow	2	Chow.2	70122	9943	barrier_2	5	Taurocholic_acid_T-CA	137.4953504	promoter	139.4953504
Chow	2	Chow.2	71523	9965	barrier_2	6	Taurocholic_acid_T-CA	93.12275417	promoter	95.12275417
Chow	2	Chow.2	81923	116	barrier_1	7	Taurocholic_acid_T-CA	4841.441955	promoter	4843.441955
Chow	3	Chow.3	50622	9743	barrier_2	2	Taurocholic_acid_T-CA	625.7349327	promoter	627.7349327
Chow	3	Chow.3	70122	9941	barrier_2	5	Taurocholic_acid_T-CA	257.0784327	promoter	259.0784327
Chow	3	Chow.3	71523	9962	barrier_2	6	Taurocholic_acid_T-CA	22.70970464	promoter	24.70970464
Chow	3	Chow.3	81923	115	barrier_1	7	Taurocholic_acid_T-CA	not_enough_sample	promoter	not_enough_sample
Chow	4	Chow.4	50622	9742	barrier_2	2	Taurocholic_acid_T-CA	647.3368902	promoter	649.3368902
Chow	4	Chow.4	71523	9963	barrier_2	6	Taurocholic_acid_T-CA	936.0495143	promoter	938.0495143
Chow	4	Chow.4	81923	114	barrier_1	7	Taurocholic_acid_T-CA	54.07602561	promoter	56.07602561
HF/HF	1	WD+F.1	60322	9838	barrier_1	3	Taurocholic_acid_T-CA	8.54408051	promoter	10.54408051
HF/HF	1	WD+F.1	81923	104	barrier_1	7	Taurocholic_acid_T-CA	1396.555485	promoter	1398.555485
HF/HF	2	WD+F.2	60322	9837	barrier_1	3	Taurocholic_acid_T-CA	939.365104	promoter	941.365104
HF/HF	2	WD+F.2	81923	103	barrier_1	7	Taurocholic_acid_T-CA	3135.630108	promoter	3137.630108
HF/HF	3	WD+F.3	60322	9839	barrier_1	3	Taurocholic_acid_T-CA	10.04326332	promoter	12.04326332
HF/HF	3	WD+F.3	81923	102	barrier_1	7	Taurocholic_acid_T-CA	not_enough_sample	promoter	not_enough_sample
HF/HF	4	WD+F.4	60322	9836	barrier_1	3	Taurocholic_acid_T-CA	1401.781898	promoter	1403.781898
HF/LF	1	WD+F.1	50622	9758	barrier_2	2	Taurocholic_acid_T-CA	53.04803595	promoter	55.04803595
HF/LF	1	WD.1	60322	9847	barrier_1	3	Taurocholic_acid_T-CA	283.0009195	promoter	285.0009195
HF/LF	1	WD.1	70122	9953	barrier_2	5	Taurocholic_acid_T-CA	2791.784187	promoter	2793.784187
HF/LF	1	WD.1	71523	9974	barrier_2	6	Taurocholic_acid_T-CA	602.33768	promoter	604.33768
