mouse_id	metabolite	concentration	diet	facility	study
9834	Propanoic Acid (ug/g)	58.6	LF/HF	barrier_1	3
9832	Propanoic Acid (ug/g)	59.3	LF/HF	barrier_1	3
9831	Propanoic Acid (ug/g)	142.4	LF/HF	barrier_1	3
9835	Propanoic Acid (ug/g)	not_enough_sample	LF/HF	barrier_1	3
9847	Propanoic Acid (ug/g)	21.2	HF/LF	barrier_1	3
9953	Propanoic Acid (ug/g)	66.4	HF/LF	barrier_2	5
9974	Propanoic Acid (ug/g)	0	HF/LF	barrier_2	6
113	Propanoic Acid (ug/g)	151.2	HF/LF	barrier_1	7
9849	Propanoic Acid (ug/g)	3.5	HF/LF	barrier_1	3
9949	Propanoic Acid (ug/g)	71.4	HF/LF	barrier_2	5
9972	Propanoic Acid (ug/g)	0	HF/LF	barrier_2	6
9846	Propanoic Acid (ug/g)	3.8	HF/LF	barrier_1	3
9950	Propanoic Acid (ug/g)	64.6	HF/LF	barrier_2	5
9971	Propanoic Acid (ug/g)	172.6	HF/LF	barrier_2	6
9848	Propanoic Acid (ug/g)	7.9	HF/LF	barrier_1	3
9952	Propanoic Acid (ug/g)	42.8	HF/LF	barrier_2	5
9975	Propanoic Acid (ug/g)	0	HF/LF	barrier_2	6
9851	Propanoic Acid (ug/g)	3	HF/LF	barrier_1	3
9973	Propanoic Acid (ug/g)	0	HF/LF	barrier_2	6
9758	Propanoic Acid (ug/g)	0	HF/HF	barrier_2	2
9838	Propanoic Acid (ug/g)	3.7	HF/HF	barrier_1	3
104	Propanoic Acid (ug/g)	25.6	HF/HF	barrier_1	7
9837	Propanoic Acid (ug/g)	187.9	HF/HF	barrier_1	3
9839	Propanoic Acid (ug/g)	0	HF/HF	barrier_1	3
102	Propanoic Acid (ug/g)	not_enough_sample	HF/HF	barrier_1	7
9836	Propanoic Acid (ug/g)	295.4	HF/HF	barrier_1	3
103	Propanoic Acid (ug/g)	29.8	HF/HF	barrier_1	7
9740	n-Butanoic Acid (ug/g)	394.9	Chow	barrier_2	2
9939	n-Butanoic Acid (ug/g)	not_enough_sample	Chow	barrier_2	5
9964	n-Butanoic Acid (ug/g)	323.6	Chow	barrier_2	6
117	n-Butanoic Acid (ug/g)	723	Chow	barrier_1	7
9741	n-Butanoic Acid (ug/g)	389.9	Chow	barrier_2	2
9943	n-Butanoic Acid (ug/g)	23.2	Chow	barrier_2	5
9965	n-Butanoic Acid (ug/g)	115	Chow	barrier_2	6
116	n-Butanoic Acid (ug/g)	593.4	Chow	barrier_1	7
9743	n-Butanoic Acid (ug/g)	1082.2	Chow	barrier_2	2
9941	n-Butanoic Acid (ug/g)	27	Chow	barrier_2	5
9962	n-Butanoic Acid (ug/g)	412.3	Chow	barrier_2	6
115	n-Butanoic Acid (ug/g)	not_enough_sample	Chow	barrier_1	7
9742	n-Butanoic Acid (ug/g)	250	Chow	barrier_2	2
9963	n-Butanoic Acid (ug/g)	0	Chow	barrier_2	6
114	n-Butanoic Acid (ug/g)	333.7	Chow	barrier_1	7
9841	n-Butanoic Acid (ug/g)	1.1	LF/LF	barrier_1	3
9946	n-Butanoic Acid (ug/g)	4.1	LF/LF	barrier_2	5
9966	n-Butanoic Acid (ug/g)	3.6	LF/LF	barrier_2	6
109	n-Butanoic Acid (ug/g)	8.8	LF/LF	barrier_1	7
9842	n-Butanoic Acid (ug/g)	1.2	LF/LF	barrier_1	3
9948	n-Butanoic Acid (ug/g)	74.5	LF/LF	barrier_2	5
9969	n-Butanoic Acid (ug/g)	135.8	LF/LF	barrier_2	6
106	n-Butanoic Acid (ug/g)	43.5	LF/LF	barrier_1	7
9947	n-Butanoic Acid (ug/g)	13.9	LF/LF	barrier_2	5
9968	n-Butanoic Acid (ug/g)	7.3	LF/LF	barrier_2	6
108	n-Butanoic Acid (ug/g)	1	LF/LF	barrier_1	7
9945	n-Butanoic Acid (ug/g)	17.1	LF/LF	barrier_2	5
9970	n-Butanoic Acid (ug/g)	80.3	LF/LF	barrier_2	6
9747	n-Butanoic Acid (ug/g)	77.6	LF/HF	barrier_2	2
9833	n-Butanoic Acid (ug/g)	50.8	LF/HF	barrier_1	3
99	n-Butanoic Acid (ug/g)	3.8	LF/HF	barrier_1	7
9746	n-Butanoic Acid (ug/g)	not_enough_sample	LF/HF	barrier_2	2
9834	n-Butanoic Acid (ug/g)	0	LF/HF	barrier_1	3
9832	n-Butanoic Acid (ug/g)	4.5	LF/HF	barrier_1	3
9831	n-Butanoic Acid (ug/g)	37.1	LF/HF	barrier_1	3
9835	n-Butanoic Acid (ug/g)	not_enough_sample	LF/HF	barrier_1	3
9847	n-Butanoic Acid (ug/g)	11.2	HF/LF	barrier_1	3
9953	n-Butanoic Acid (ug/g)	2.2	HF/LF	barrier_2	5
9974	n-Butanoic Acid (ug/g)	0	HF/LF	barrier_2	6
113	n-Butanoic Acid (ug/g)	1.7	HF/LF	barrier_1	7
9849	n-Butanoic Acid (ug/g)	1.1	HF/LF	barrier_1	3
9949	n-Butanoic Acid (ug/g)	3.5	HF/LF	barrier_2	5
9972	n-Butanoic Acid (ug/g)	0	HF/LF	barrier_2	6
9846	n-Butanoic Acid (ug/g)	1.2	HF/LF	barrier_1	3
9950	n-Butanoic Acid (ug/g)	4.3	HF/LF	barrier_2	5
9971	n-Butanoic Acid (ug/g)	10.6	HF/LF	barrier_2	6
9848	n-Butanoic Acid (ug/g)	2.9	HF/LF	barrier_1	3
9952	n-Butanoic Acid (ug/g)	2.5	HF/LF	barrier_2	5
9975	n-Butanoic Acid (ug/g)	0	HF/LF	barrier_2	6
9851	n-Butanoic Acid (ug/g)	1.1	HF/LF	barrier_1	3
9973	n-Butanoic Acid (ug/g)	0	HF/LF	barrier_2	6
9758	n-Butanoic Acid (ug/g)	0.9	HF/HF	barrier_2	2
9838	n-Butanoic Acid (ug/g)	1.5	HF/HF	barrier_1	3
104	n-Butanoic Acid (ug/g)	1.4	HF/HF	barrier_1	7
9837	n-Butanoic Acid (ug/g)	35.5	HF/HF	barrier_1	3
9839	n-Butanoic Acid (ug/g)	0	HF/HF	barrier_1	3
102	n-Butanoic Acid (ug/g)	not_enough_sample	HF/HF	barrier_1	7
9836	n-Butanoic Acid (ug/g)	40.6	HF/HF	barrier_1	3
103	n-Butanoic Acid (ug/g)	7.8	HF/HF	barrier_1	7
