bile_acid	c_diff_effect	.y.	group1	group2	n1	n2	statistic	p	p.adj	p.adj.signif	y.position	groups
Beta_muricholic_acid_b-MCA	inhibitor	conc_normalized	Chow	HF/LF	13	16	-3.9568033915565275	7.5959398065310907e-05	7.595939806531091e-4	***	3.36026150648305	
Beta_muricholic_acid_b-MCA	inhibitor	conc_normalized	Chow	LF/HF	13	5	-0.769754622847985	0.44144546158789527	0.5279724780422435	ns	3.4011311303170038	
Beta_muricholic_acid_b-MCA	inhibitor	conc_normalized	Chow	LF/LF	13	14	-2.8967075802817757	0.0037710107209337	0.0188550536046685	*	3.4384833250254947	
Beta_muricholic_acid_b-MCA	inhibitor	conc_normalized	HF/HF	HF/LF	6	16	-1.4418276956742433	0.1493509876882518	0.28760319263813344	ns	3.4728758555970614	
Beta_muricholic_acid_b-MCA	inhibitor	conc_normalized	HF/HF	LF/HF	6	5	0.6311040731934779	0.5279724780422435	0.5279724780422435	ns	3.504743509297357	
Beta_muricholic_acid_b-MCA	inhibitor	conc_normalized	HF/HF	LF/LF	6	14	-0.6731930829710024	0.5008244611820971	0.5279724780422435	ns	3.5344317863025454	
Beta_muricholic_acid_b-MCA	inhibitor	conc_normalized	HF/LF	LF/HF	16	5	2.0930615924767424	0.036343656692836034	0.12114552230945345	ns	3.562219788956382	
Beta_muricholic_acid_b-MCA	inhibitor	conc_normalized	HF/LF	LF/LF	16	14	0.9884560408412248	0.3229293532109947	0.4613276474442781	ns	3.5883362159826744	
Beta_muricholic_acid_b-MCA	inhibitor	conc_normalized	LF/HF	LF/LF	5	14	-1.3640179523762381	0.17256191558288006	0.28760319263813344	ns	3.612970813084557	
Deoxycholic_acid_DCA	inhibitor	conc_normalized	Chow	HF/HF	13	6	-1.8604411328361732	0.06282313974040178	0.2094104658013393	ns	2.9194765813718564	
Deoxycholic_acid_DCA	inhibitor	conc_normalized	Chow	HF/LF	13	16	-4.08590720687277	4.3904924060978396e-5	4.3904924060978395e-4	***	2.9682139077541727	
Deoxycholic_acid_DCA	inhibitor	conc_normalized	Chow	LF/HF	13	5	-1.3851672114304918	0.16600134411341505	0.32024419312851876	ns	3.0120295240218717	
Deoxycholic_acid_DCA	inhibitor	conc_normalized	Chow	LF/LF	13	14	-3.5366462337582556	4.0524208649788345e-4	0.002026210432489417	**	3.051826919203389	
Deoxycholic_acid_DCA	inhibitor	conc_normalized	HF/HF	HF/LF	6	16	-1.26889243162671	0.20447943202898877	0.32024419312851876	ns	3.0882815807499915	
Deoxycholic_acid_DCA	inhibitor	conc_normalized	HF/HF	LF/HF	6	5	0.312608770592118	0.7545779139105127	0.7545779139105127	ns	3.1219117941102468	
Deoxycholic_acid_DCA	inhibitor	conc_normalized	HF/HF	LF/LF	6	14	-0.9098742226257732	0.36288884555876183	0.4536110569484523	ns	3.1531239300348393	
Deoxycholic_acid_DCA	inhibitor	conc_normalized	HF/LF	LF/HF	16	5	1.555057762305866	0.11993231315437396	0.2998307828859349	ns	3.182242513679627	
Deoxycholic_acid_DCA	inhibitor	conc_normalized	HF/LF	LF/LF	16	14	0.44666552747083355	0.6551165753897552	0.727907305988617	ns	3.209530827578102	
Deoxycholic_acid_DCA	inhibitor	conc_normalized	LF/HF	LF/LF	5	14	-1.2155118415200579	0.22417093518996312	0.32024419312851876	ns	3.2352054137023303	
Lithocholic_acid_LCA	inhibitor	conc_normalized	Chow	HF/HF	13	6	-3.462581238845976	5.350203727829018e-4	0.0017834012426096726	**	1.650459839538769	
Lithocholic_acid_LCA	inhibitor	conc_normalized	Chow	HF/LF	13	16	-4.576802154961495	4.721375883004988e-6	4.562394829401495e-5	****	1.697237016971915	
Lithocholic_acid_LCA	inhibitor	conc_normalized	Chow	LF/HF	13	5	-3.2475055090518272	0.0011642141029509785	0.0029105352573774463	**	1.7394622142911413	
Lithocholic_acid_LCA	inhibitor	conc_normalized	Chow	LF/LF	13	14	-4.436937208458218	9.12478965880299e-6	4.562394829401495e-5	****	1.777943318322595	
Lithocholic_acid_LCA	inhibitor	conc_normalized	HF/HF	HF/LF	6	16	0	1	1	ns	1.8132905612831764	
Lithocholic_acid_LCA	inhibitor	conc_normalized	HF/HF	LF/HF	6	5	0	1	1	ns	1.8459761636839473	
Lithocholic_acid_LCA	inhibitor	conc_normalized	HF/HF	LF/LF	6	14	0	1	1	ns	1.8763730500302453	
Lithocholic_acid_LCA	inhibitor	conc_normalized	HF/LF	LF/HF	16	5	0	1	1	ns	1.9047808738311944	
Lithocholic_acid_LCA	inhibitor	conc_normalized	HF/LF	LF/LF	16	14	0	1	1	ns	1.931444038138617	
Lithocholic_acid_LCA	inhibitor	conc_normalized	LF/HF	LF/LF	5	14	0	1	1	ns	1.9565644954933799	
Cholic_acid_CA	promoter	conc_normalized	Chow	HF/HF	13	6	-0.23610792648158924	0.8133489233562475	0.8133489233562475	ns	2.7484893538385955	
Cholic_acid_CA	promoter	conc_normalized	Chow	HF/LF	13	16	-1.0870773668993545	0.27700261942311305	0.4616710323718551	ns	2.7783590925847284	
Cholic_acid_CA	promoter	conc_normalized	Chow	LF/HF	13	5	1.1003496758617974	0.27117979589784924	0.4616710323718551	ns	2.8063060006220395	
Cholic_acid_CA	promoter	conc_normalized	Chow	LF/LF	13	14	-1.5450022181722607	0.12234572683128032	0.4078190894376011	ns	2.832562736339845	
Cholic_acid_CA	promoter	conc_normalized	HF/HF	HF/LF	6	16	-0.6044899672257072	0.5455179374712962	0.6724611612544059	ns	2.8573221295374043	
Cholic_acid_CA	promoter	conc_normalized	HF/HF	LF/HF	6	5	1.1487008826619896	0.2506793417710075	0.4616710323718551	ns	2.880745783713835	
Cholic_acid_CA	promoter	conc_normalized	HF/HF	LF/LF	6	14	-0.9807342165203403	0.3267238258335432	0.46674832261934746	ns	2.902970474422552	
Cholic_acid_CA	promoter	conc_normalized	HF/LF	LF/HF	16	5	1.9224264658225148	0.05455211807480837	0.2727605903740419	ns	2.9241129883761046	
Cholic_acid_CA	promoter	conc_normalized	HF/LF	LF/LF	16	14	-0.5169156459685234	0.6052150451289653	0.6724611612544059	ns	2.9442738381664024	
Cholic_acid_CA	promoter	conc_normalized	LF/HF	LF/LF	5	14	-2.253645114132462	0.024218502794162784	0.24218502794162783	ns	2.963540152233494	
Taurocholic_acid_T-CA	promoter	conc_normalized	Chow	HF/HF	13	6	0.28234779921274367	0.7776768373711525	0.8016357219148333	ns	4.6950696711861335	
Taurocholic_acid_T-CA	promoter	conc_normalized	Chow	HF/LF	13	16	1.8840266913434387	0.0595613651550072	0.5171386618001501	ns	4.740982919436123	
Taurocholic_acid_T-CA	promoter	conc_normalized	Chow	LF/HF	13	5	1.5814265567022983	0.11378053930802164	0.5171386618001501	ns	4.782503001166801	
Taurocholic_acid_T-CA	promoter	conc_normalized	Chow	LF/LF	13	14	0.9276207525062494	0.3536043290086212	0.5171386618001501	ns	4.820397697326961	
Taurocholic_acid_T-CA	promoter	conc_normalized	HF/HF	HF/LF	6	16	1.1784333812989938	0.23862387629470688	0.5171386618001501	ns	4.855249590098978	
Taurocholic_acid_T-CA	promoter	conc_normalized	HF/HF	LF/HF	6	5	1.1442032607576216	0.25253935114471165	0.5171386618001501	ns	4.887511218566978	
Taurocholic_acid_T-CA	promoter	conc_normalized	HF/HF	LF/LF	6	14	0.4466324209912658	0.6551404828371001	0.8016357219148333	ns	4.917541116669355	
Taurocholic_acid_T-CA	promoter	conc_normalized	HF/LF	LF/HF	16	5	0.25123073680758695	0.8016357219148333	0.8016357219148333	ns	4.9456281722582265	
Taurocholic_acid_T-CA	promoter	conc_normalized	HF/LF	LF/LF	16	14	-0.9459922805717789	0.34415252352470865	0.5171386618001501	ns	4.972008573876683	
Taurocholic_acid_T-CA	promoter	conc_normalized	LF/HF	LF/LF	5	14	-0.9115663115905637	0.36199706326010506	0.5171386618001501	ns	4.996877897279311	
