group2	Family	group1	.y.	n1	n2	statistic	p	p.adj	p.adj.signif	group1_rel_abun	group2_rel_abun	diff_means	stat_diff_means
LF/HF	Ruminococcaceae	HF/LF	rel_abund	18	9	2.6684330178330495	0.007620597195433146	0.019051492988582865	*	0.006158499766949147	0.018422471042076914	-0.012263971275127766	-0.012263971275127766
LF/HF	Ruminococcaceae	HF/HF	rel_abund	6	9	2.146119472172873	0.03186344811227255	0.0637268962245451	ns	0.0031383532464054078	0.018422471042076914	-0.015284117795671506	0
LF/HF	Staphylococcaceae	HF/HF	rel_abund	6	9	-0.6481120603918533	0.5169124740771935	0.8507490074517552	ns	2.0338834983828482e-5	2e-6	1.833883498382848e-5	0
LF/HF	Staphylococcaceae	Chow	rel_abund	13	9	-0.39208556591570437	0.6949949921463718	0.8507490074517552	ns	1.2769015388922991e-5	2e-6	1.0769015388922992e-5	0
LF/HF	Staphylococcaceae	HF/LF	rel_abund	18	9	-2.87652922834996	0.004020749567076944	0.02896289421994207	*	6.378533338445827e-4	2e-6	6.358533338445826e-4	6.358533338445826e-4
LF/HF	Tannerellaceae	HF/HF	rel_abund	6	9	-0.05262016347212407	0.9580345510983111	0.9580345510983111	ns	0.3093938064327018	0.27337751232269364	0.036016294110008173	0
LF/HF	Tannerellaceae	HF/LF	rel_abund	18	9	3.336232645429399	8.492206583670343e-4	0.004246103291835172	**	0.09518533709853881	0.27337751232269364	-0.17819217522415481	-0.17819217522415481
LF/HF	Tannerellaceae	Chow	rel_abund	13	9	1.8006125223437623	0.07176397405775056	0.14352794811550112	ns	0.12153382480406567	0.27337751232269364	-0.15184368751862798	0
LF/LF	Bacteroidaceae	HF/LF	rel_abund	18	16	2.036633922310101	0.04168674075166317	0.11062665575803593	ns	0.02144978275098567	0.06326422377659523	-0.04181444102560956	0
LF/LF	Bacteroidaceae	Chow	rel_abund	13	16	-0.08688554848046931	0.930762486717692	0.930762486717692	ns	0.06396563629188233	0.06326422377659523	7.014125152871031e-4	0
LF/LF	Bacteroidaceae	HF/HF	rel_abund	6	16	0.9056916317554002	0.3650990930088759	0.5215701328698227	ns	0.030756808178135947	0.06326422377659523	-0.03250741559845928	0
LF/LF	Bacteroidaceae	LF/HF	rel_abund	9	16	2.446876512057962	0.014410020119220827	0.07633608116475248	ns	0.017334593671454485	0.06326422377659523	-0.04592963010514074	0
LF/LF	Enterococcaceae	Chow	rel_abund	13	16	1.968285526450935	0.04903519432512222	0.09807038865024444	ns	0.055769246631989754	0.14711627253109363	-0.09134702589910387	0
LF/LF	Enterococcaceae	HF/HF	rel_abund	6	16	-1.2880976838216156	0.19771196151049406	0.21967995723388228	ns	0.21253655851736092	0.14711627253109363	0.06542028598626728	0
LF/LF	Enterococcaceae	LF/HF	rel_abund	9	16	-1.3764470887596716	0.1686832578823279	0.21085407235290987	ns	0.20569316913633362	0.14711627253109363	0.058576896605239986	0
LF/LF	Enterococcaceae	HF/LF	rel_abund	18	16	-3.793200075959684	1.4871823262970445e-4	7.435911631485223e-4	***	0.57712669951942	0.14711627253109363	0.43001042698832637	0.43001042698832637
LF/LF	Lachnospiraceae	HF/HF	rel_abund	6	16	-0.6876410481219647	0.4916788522174536	0.5463098357971707	ns	0.04441846281594163	0.024194405146301216	0.020224057669640416	0
LF/LF	Lachnospiraceae	LF/HF	rel_abund	9	16	-0.8048237791911501	0.4209213775063543	0.5261517218829428	ns	0.02103258630817362	0.024194405146301216	-0.0031618188381275954	0
LF/LF	Lachnospiraceae	Chow	rel_abund	13	16	-3.7940801165602664	1.481918229270473e-4	7.409591146352364e-4	***	0.3043756214287464	0.024194405146301216	0.2801812162824452	0.2801812162824452
LF/LF	Lachnospiraceae	HF/LF	rel_abund	18	16	1.318878082173821	0.187209874694342	0.2674426781347743	ns	0.002159580859357615	0.024194405146301216	-0.022034824286943602	0
LF/LF	Lactobacillaceae	HF/HF	rel_abund	6	16	-1.5596629669420508	0.11883954795844977	0.19806591326408296	ns	0.04123578081328867	0.010070349214852593	0.03116543159843608	0
LF/LF	Lactobacillaceae	LF/HF	rel_abund	9	16	-1.3114850333723855	0.18969394694928948	0.23711743368661187	ns	0.019546604518262616	0.010070349214852593	0.009476255303410022	0
LF/LF	Lactobacillaceae	Chow	rel_abund	13	16	-3.752561402422123	1.7503694067281815e-4	8.751847033640907e-4	***	0.130957150897313	0.010070349214852593	0.12088680168246041	0.12088680168246041
LF/LF	Lactobacillaceae	HF/LF	rel_abund	18	16	0.3142724789139922	0.7533140987257698	0.7533140987257698	ns	0.00590914662434985	0.010070349214852593	-0.004161202590502743	0
LF/LF	Marinifilaceae	LF/HF	rel_abund	9	16	1.086171538260652	0.27740310688133263	0.4623385114688877	ns	1e-6	2.1481481271818772e-4	-2.1381481271818772e-4	0
LF/LF	Marinifilaceae	HF/HF	rel_abund	6	16	0.1919759454664575	0.8477610476891801	0.9419567196546447	ns	9.349113157200442e-6	2.1481481271818772e-4	-2.0546569956098726e-4	0
LF/LF	Marinifilaceae	HF/LF	rel_abund	18	16	1.3171764646436126	0.18777948095741132	0.37555896191482263	ns	1e-6	2.1481481271818772e-4	-2.1381481271818772e-4	0
LF/LF	Marinifilaceae	Chow	rel_abund	13	16	-2.6973695833716693	0.006988965483846288	0.023296551612820963	*	0.005955776986205647	2.1481481271818772e-4	0.005740962173487459	0.005740962173487459
LF/LF	Muribaculaceae	Chow	rel_abund	13	16	-4.3025235386587966	1.6886372449990334e-5	8.443186224995167e-5	****	0.029061952170920034	2e-6	0.029059952170920035	0.029059952170920035
LF/LF	Muribaculaceae	HF/LF	rel_abund	18	16	0	1	1	ns	2e-6	2e-6	0	0
LF/LF	Muribaculaceae	HF/HF	rel_abund	6	16	0	1	1	ns	2e-6	2e-6	0	0
LF/LF	Muribaculaceae	LF/HF	rel_abund	9	16	-0.7231243842086251	0.469603469553983	0.7826724492566384	ns	7.203291547027103e-5	2e-6	7.003291547027104e-5	0
LF/LF	Ruminococcaceae	LF/HF	rel_abund	9	16	-1.9344664543238401	0.05305580268461008	0.08842633780768347	ns	0.018422471042076914	0.006553349956506436	0.011869121085570478	0
LF/LF	Ruminococcaceae	Chow	rel_abund	13	16	-3.2664488206459024	0.0010890549150073521	0.00544527457503676	**	0.026660778652467215	0.006553349956506436	0.02010742869596078	0.02010742869596078
LF/LF	Ruminococcaceae	HF/HF	rel_abund	6	16	0.6790628450263232	0.49709804317107836	0.552331159078976	ns	0.0031383532464054078	0.006553349956506436	-0.003414996710101028	0
LF/LF	Ruminococcaceae	HF/LF	rel_abund	18	16	0.824685722390014	0.4095500396285948	0.5119375495357436	ns	0.006158499766949147	0.006553349956506436	-3.948501895572887e-4	0
LF/LF	Staphylococcaceae	LF/HF	rel_abund	9	16	0.6751328013665883	0.49959139545283715	0.8507490074517552	ns	2e-6	3.0758697089708994e-5	-2.8758697089708993e-5	0
LF/LF	Staphylococcaceae	HF/HF	rel_abund	6	16	-0.12592021662932085	0.8997950794962514	0.8997950794962514	ns	2.0338834983828482e-5	3.0758697089708994e-5	-1.0419862105880512e-5	0
LF/LF	Staphylococcaceae	HF/LF	rel_abund	18	16	-2.599107237491682	0.00934665694487638	0.031155523149587937	*	6.378533338445827e-4	3.0758697089708994e-5	6.070946367548737e-4	6.070946367548737e-4
LF/LF	Staphylococcaceae	Chow	rel_abund	13	16	0.2980380711044101	0.7656741067065796	0.8507490074517552	ns	1.2769015388922991e-5	3.0758697089708994e-5	-1.7989681700786003e-5	0
LF/LF	Tannerellaceae	HF/LF	rel_abund	18	16	3.671440850598141	2.4118690108387598e-4	0.0024118690108387597	**	0.09518533709853881	0.2649928887189863	-0.16980755162044747	-0.16980755162044747
LF/LF	Tannerellaceae	Chow	rel_abund	13	16	1.8218420860286688	0.0684789498470985	0.14352794811550112	ns	0.12153382480406567	0.2649928887189863	-0.14345906391492064	0
LF/LF	Tannerellaceae	HF/HF	rel_abund	6	16	-0.2679396315024836	0.7887457871161583	0.8992651076086625	ns	0.3093938064327018	0.2649928887189863	0.044400917713715515	0
LF/LF	Tannerellaceae	LF/HF	rel_abund	9	16	-0.24127937276234387	0.8093385968477962	0.8992651076086625	ns	0.27337751232269364	0.2649928887189863	0.008384623603707342	0
