Tube_Label,Collection Date,Sample_Type,mouse_id,Notes,SCFA Data File,Acq. Date-Time,Sample Group,Dil.,Acetic Acid (ug/g),Propanoic Acid (ug/g),2-methyl-propanoic acid (ug/g),n-Butanoic Acid (ug/g),Isopentanoic Acid (ug/g),2-methyl-Butanoic Acid (ug/g),Pentanoic Acid (ug/g)
Ctrl+F.1,6/3/22,Ctrl+F,9833,,Ctrl_F_1_060322.D,6/22/23 5:47,Ctrl+F,5,609.7,111.2,26.0,50.8,12.7,16.9,ND
Ctrl+F.1,8/19/22,Ctrl+F,99,"MC: less material (higher dilution), NN: ELISA was low and we don't have 16S tube",Ctrl_F_1_081922.D,6/21/23 19:11,Ctrl+F,25,249.4,20.8,7.5,3.8,ND,ND,ND
Ctrl+F.2,5/6/22,Ctrl+F,9746,"MC: not enough sample to run, NN: ELISA tube was low and we don't have 16S tube",,,,,,,,,,,
Ctrl+F.2,6/3/22,Ctrl+F,9834,"MC: less material (higher dilution), NN: ELISA was low, but we do have 16S tube",Ctrl_F_2_060322.D,6/22/23 0:29,Ctrl+F,25,402.0,58.6,5.4,ND,ND,ND,ND
Ctrl+F.3,6/3/22,Ctrl+F,9832,,Ctrl_F_3_060322.D,6/22/23 9:56,Ctrl+F,5,195.5,59.3,35.0,4.5,12.1,28.4,ND
Ctrl+F.4,6/3/22,Ctrl+F,9831,,Ctrl_F_5_060322.D,6/21/23 21:15,Ctrl+F,5,612.3,142.4,32.2,37.1,7.5,19.2,ND
Ctrl+F.5,6/3/22,Ctrl+F,9835,"MC: not enough sample to run, NN: ELISA tube was sufficient and we have 16S tube",,,,,,,,,,,
WD.1,4/21/22,WD,NA,this is HF/LF,WD_1_042122.D,6/22/23 0:57,WD,5,458.8,92.5,4.5,58.8,4.1,4.7,ND
WD.1,6/3/22,WD,9847,,WD_1_060322.D,6/22/23 6:28,WD,5,167.8,21.2,40.3,11.2,7.2,20.3,2.7
WD.1,7/1/22,WD,9953,,WD_1_070122.D,6/22/23 0:43,WD,5,142.3,66.4,7.3,2.2,2.6,5.3,ND
WD.1,7/15/22,WD,9974,,WD_1_071522.D,6/22/23 1:38,WD,5,39.1,ND,1.0,ND,ND,ND,ND
WD.1,8/19/22,WD,113,,WD_1_081922.D,6/22/23 2:47,WD,5,476.1,151.2,22.0,1.7,11.6,11.2,ND
WD.2,4/21/22,WD,NA,,WD_2_042122.D,6/22/23 1:10,WD,5,952.9,191.9,7.0,92.3,2.2,3.3,ND
WD.2,6/3/22,WD,9849,,WD_2_060322.D,6/22/23 10:23,WD,5,56.8,3.5,7.0,1.1,ND,5.7,ND
WD.2,7/1/22,WD,9949,,WD_2_070122.D,6/22/23 12:41,WD,5,163.2,71.4,9.1,3.5,4.0,6.2,ND
WD.2,7/15/22,WD,9972,,WD_2_071522.D,6/22/23 1:24,WD,5,24.8,ND,1.1,ND,ND,ND,ND
WD.3,4/21/22,WD,NA,,WD_3_042122.D,6/22/23 0:01,WD,5,703.8,151.7,6.5,129.1,4.8,5.9,ND
WD.3,6/3/22,WD,9846,,WD_3_060322.D,6/21/23 21:02,WD,5,99.0,3.8,9.1,1.2,1.8,7.3,ND
WD.3,7/1/22,WD,9950,,WD_3_070122.D,6/22/23 15:00,WD,5,202.8,64.6,14.9,4.3,4.0,9.4,ND
WD.3,7/15/22,WD,9971,,WD_3_071522.D,6/22/23 3:15,WD,5,236.6,172.6,18.1,10.6,7.5,11.3,ND
WD.4,4/21/22,WD,NA,,WD_4_042122.D,6/22/23 6:14,WD,5,656.3,190.6,10.6,98.7,6.3,7.5,ND
WD.4,6/3/22,WD,9848,,WD_4_060322.D,6/22/23 4:38,WD,5,85.5,7.9,13.9,2.9,3.0,8.2,ND
WD.4,7/1/22,WD,9952,,WD_4_070122.D,6/22/23 11:46,WD,5,135.3,42.8,24.1,2.5,8.3,15.2,ND
WD.4,7/15/22,WD,9975,,WD_4_071522.D,6/22/23 14:46,WD,5,29.8,ND,ND,ND,ND,ND,ND
WD.5,4/21/22,WD,9694,,WD_5_042122.D,6/21/23 22:25,WD,5,628.0,160.7,12.4,97.6,7.1,9.0,ND
WD.5,6/3/22,WD,9851,,WD_5_060322.D,6/22/23 5:33,WD,5,43.6,3.0,4.2,1.1,ND,4.2,ND
WD.5,7/15/22,WD,9973,,WD_5_071522.D,6/21/23 18:02,WD,5,19.0,ND,ND,ND,ND,ND,ND
WD+F.1,5/6/22,WD+F,9758,this is HF/HF,WD_F_1_050622.D,6/22/23 12:14,WD+F,5,17.1,ND,ND,0.9,ND,ND,ND
WD+F.1,6/3/22,WD+F,9838,,WD_F_1_060322.D,6/21/23 21:57,WD+F,5,44.8,3.7,1.3,1.5,ND,ND,ND
WD+F.1,8/19/22,WD+F,104,,WD_F_1_081922.D,6/22/23 6:42,WD+F,5,169.2,25.6,15.7,1.4,7.1,12.4,ND
WD+F.2,6/3/22,WD+F,9837,,WD_F_2_060322.D,6/22/23 3:29,WD+F,5,378.9,187.9,29.3,35.5,11.5,18.9,ND
WD+F.3,6/3/22,WD+F,9839,,WD_F_3_060322.D,6/22/23 10:37,WD+F,5,30.5,ND,ND,ND,ND,ND,ND
WD+F.3,8/19/22,WD+F,102,"MC: not enough sample to run, NN: ELISA tube was sufficient, but we don't have 16S tube",,,,,,,,,,,
WD+F.4,6/3/22,WD+F,9836,,WD_F_4_060322.D,6/21/23 21:43,WD+F,5,750.5,295.4,37.5,40.6,13.6,22.3,ND
WD+F.No.#,8/19/22,WD+F,103,I think this one is WD+F.2,WD_F_No_081922.D,6/22/23 6:56,WD+F,5,215.9,29.8,23.7,7.8,4.9,12.0,ND
