"sheet_name","mouse_id","Strain","Sex","DOB","day","weight"
"study 2",9741,"Bl/6","F",2022-02-25,15,"19.7"
"study 2",9741,"Bl/6","F",2022-02-25,16,"19.5"
"study 2",9741,"Bl/6","F",2022-02-25,17,"20"
"study 2",9741,"Bl/6","F",2022-02-25,18,"19.3"
"study 2",9742,"Bl/6","F",2022-02-25,0,"16.8"
"study 2",9742,"Bl/6","F",2022-02-25,8,"17.3"
"study 2",9742,"Bl/6","F",2022-02-25,13,"17.7"
"study 2",9742,"Bl/6","F",2022-02-25,14,"17.8"
"study 2",9742,"Bl/6","F",2022-02-25,15,"17.3"
"study 2",9742,"Bl/6","F",2022-02-25,16,"17.9"
"study 2",9742,"Bl/6","F",2022-02-25,17,"17.3"
"study 2",9742,"Bl/6","F",2022-02-25,18,"17"
"study 2",9743,"Bl/6","F",2022-02-25,0,"19.5"
"study 2",9743,"Bl/6","F",2022-02-25,8,"20.8"
"study 2",9743,"Bl/6","F",2022-02-25,13,"20.6"
"study 2",9743,"Bl/6","F",2022-02-25,14,"21.5"
"study 2",9743,"Bl/6","F",2022-02-25,15,"21.5"
"study 2",9743,"Bl/6","F",2022-02-25,16,"21.4"
"study 2",9743,"Bl/6","F",2022-02-25,17,"21.2"
"study 2",9743,"Bl/6","F",2022-02-25,18,"21.2"
"study 2",9744,"Bl/6","F",2022-02-25,0,"19.3"
"study 2",9744,"Bl/6","F",2022-02-25,8,"19.6"
"study 2",9744,"Bl/6","F",2022-02-25,13,"20.1"
"study 2",9744,"Bl/6","F",2022-02-25,14,"20.4"
"study 2",9744,"Bl/6","F",2022-02-25,15,"20.3"
"study 2",9744,"Bl/6","F",2022-02-25,16,"20.6"
"study 2",9744,"Bl/6","F",2022-02-25,17,"17.5"
"study 2",9744,"Bl/6","F",2022-02-25,18,"dead"
"study 2",9745,"Bl/6","F",2022-02-25,0,"16.2"
"study 2",9745,"Bl/6","F",2022-02-25,8,"17.5"
"study 2",9745,"Bl/6","F",2022-02-25,13,"18.4"
"study 2",9745,"Bl/6","F",2022-02-25,14,"18.7"
"study 2",9745,"Bl/6","F",2022-02-25,15,"18.7"
"study 2",9745,"Bl/6","F",2022-02-25,16,"19.1"
"study 2",9745,"Bl/6","F",2022-02-25,17,"17.2"
"study 2",9745,"Bl/6","F",2022-02-25,18,"dead"
"study 2",9746,"Bl/6","F",2022-02-25,0,"18.5"
"study 2",9746,"Bl/6","F",2022-02-25,8,"19.3"
"study 2",9746,"Bl/6","F",2022-02-25,13,"20.6"
"study 2",9746,"Bl/6","F",2022-02-25,14,"21"
"study 2",9746,"Bl/6","F",2022-02-25,15,"20.3"
"study 2",9746,"Bl/6","F",2022-02-25,16,"20.5"
"study 2",9746,"Bl/6","F",2022-02-25,17,"18.2"
"study 2",9746,"Bl/6","F",2022-02-25,18,"16.8"
"study 2",9747,"Bl/6","F",2022-02-25,0,"18.7"
"study 2",9747,"Bl/6","F",2022-02-25,8,"19.6"
"study 2",9747,"Bl/6","F",2022-02-25,13,"20.8"
"study 2",9747,"Bl/6","F",2022-02-25,14,"21.4"
"study 2",9747,"Bl/6","F",2022-02-25,15,"21.5"
"study 2",9747,"Bl/6","F",2022-02-25,16,"22"
"study 2",9747,"Bl/6","F",2022-02-25,17,"18.9"
"study 2",9747,"Bl/6","F",2022-02-25,18,"18"
"study 2",9748,"Bl/6","F",2022-02-25,0,"16.5"
"study 2",9748,"Bl/6","F",2022-02-25,8,"17.3"
"study 2",9748,"Bl/6","F",2022-02-25,13,"18.3"
"study 2",9748,"Bl/6","F",2022-02-25,14,"18.9"
"study 2",9748,"Bl/6","F",2022-02-25,15,"18.7"
"study 2",9748,"Bl/6","F",2022-02-25,16,"18.8"
"study 2",9748,"Bl/6","F",2022-02-25,17,"15.7"
"study 2",9748,"Bl/6","F",2022-02-25,18,"14.7"
"study 2",9749,"Bl/6","F",2022-02-25,0,"20.4"
"study 2",9749,"Bl/6","F",2022-02-25,8,"21.9"
"study 2",9749,"Bl/6","F",2022-02-25,13,"22.8"
"study 2",9749,"Bl/6","F",2022-02-25,14,"24"
"study 2",9749,"Bl/6","F",2022-02-25,15,"24.1"
"study 2",9749,"Bl/6","F",2022-02-25,16,"24"
"study 2",9749,"Bl/6","F",2022-02-25,17,"20.9"
"study 2",9749,"Bl/6","F",2022-02-25,18,"19.3"
"study 2",9750,"Bl/6","F",2022-02-25,0,"17.6"
"study 2",9750,"Bl/6","F",2022-02-25,8,"18.2"
"study 2",9750,"Bl/6","F",2022-02-25,13,"19.3"
"study 2",9750,"Bl/6","F",2022-02-25,14,"19.8"
"study 2",9750,"Bl/6","F",2022-02-25,15,"19.9"
"study 2",9750,"Bl/6","F",2022-02-25,16,"20.3"
"study 2",9750,"Bl/6","F",2022-02-25,17,"17.9"
"study 2",9750,"Bl/6","F",2022-02-25,18,"dead"
"study 2",9755,"Bl/6","F",2022-02-25,0,"20.4"
"study 2",9755,"Bl/6","F",2022-02-25,8,"21.6"
"study 2",9755,"Bl/6","F",2022-02-25,13,"22.2"
"study 2",9755,"Bl/6","F",2022-02-25,14,"22.7"
"study 2",9755,"Bl/6","F",2022-02-25,15,"22.8"
"study 2",9755,"Bl/6","F",2022-02-25,16,"23.1"
"study 2",9755,"Bl/6","F",2022-02-25,17,"21"
"study 2",9755,"Bl/6","F",2022-02-25,18,"dead"
"study 2",9756,"Bl/6","F",2022-02-25,0,"17"
"study 2",9756,"Bl/6","F",2022-02-25,8,"17.8"
"study 2",9756,"Bl/6","F",2022-02-25,13,"19"
"study 2",9756,"Bl/6","F",2022-02-25,14,"18.8"
"study 2",9756,"Bl/6","F",2022-02-25,15,"18.4"
"study 2",9756,"Bl/6","F",2022-02-25,16,"18.9"
"study 2",9756,"Bl/6","F",2022-02-25,17,"17.7"
"study 2",9756,"Bl/6","F",2022-02-25,18,"dead"
"study 2",9757,"Bl/6","F",2022-02-25,0,"17.6"
"study 2",9757,"Bl/6","F",2022-02-25,8,"18.2"
"study 2",9757,"Bl/6","F",2022-02-25,13,"19.5"
"study 2",9757,"Bl/6","F",2022-02-25,14,"19.9"
"study 2",9757,"Bl/6","F",2022-02-25,15,"20.1"
"study 2",9757,"Bl/6","F",2022-02-25,16,"19.9"
"study 2",9757,"Bl/6","F",2022-02-25,17,"17.3"
"study 2",9757,"Bl/6","F",2022-02-25,18,"15.9"
"study 2",9758,"Bl/6","F",2022-02-25,0,"18.8"
"study 2",9758,"Bl/6","F",2022-02-25,8,"19.7"
"study 2",9758,"Bl/6","F",2022-02-25,13,"21.2"
"study 2",9758,"Bl/6","F",2022-02-25,14,"21.6"
"study 2",9758,"Bl/6","F",2022-02-25,15,"21.8"
"study 2",9758,"Bl/6","F",2022-02-25,16,"21.9"
"study 2",9758,"Bl/6","F",2022-02-25,17,"19.2"
"study 2",9758,"Bl/6","F",2022-02-25,18,"18.600000000000001"
"Study 3",9831,"Bl/6","F",2022-03-25,0,"18.1"
"Study 3",9831,"Bl/6","F",2022-03-25,8,"18.3"
"Study 3",9831,"Bl/6","F",2022-03-25,13,"19"
"Study 3",9831,"Bl/6","F",2022-03-25,14,"19.5"
"Study 3",9831,"Bl/6","F",2022-03-25,15,"19.2"
"Study 3",9831,"Bl/6","F",2022-03-25,16,"20.2"
"Study 3",9831,"Bl/6","F",2022-03-25,17,"17.5"
"Study 3",9831,"Bl/6","F",2022-03-25,18,"15.9"
"Study 3",9832,"Bl/6","F",2022-03-25,0,"16.7"
"Study 3",9832,"Bl/6","F",2022-03-25,8,"17.8"
"Study 3",9832,"Bl/6","F",2022-03-25,13,"17.9"
"Study 3",9832,"Bl/6","F",2022-03-25,14,"17.9"
"Study 3",9832,"Bl/6","F",2022-03-25,15,"17.7"
"Study 3",9832,"Bl/6","F",2022-03-25,16,"18.1"
"Study 3",9832,"Bl/6","F",2022-03-25,17,"18.3"
"Study 3",9832,"Bl/6","F",2022-03-25,18,"16.8"
"Study 3",9833,"Bl/6","F",2022-03-25,0,"17.6"
"Study 3",9833,"Bl/6","F",2022-03-25,8,"18.5"
"Study 3",9833,"Bl/6","F",2022-03-25,13,"19.3"
"Study 3",9833,"Bl/6","F",2022-03-25,14,"19.2"
"Study 3",9833,"Bl/6","F",2022-03-25,15,"16.8"
"Study 3",9833,"Bl/6","F",2022-03-25,16,"18.4"
"Study 3",9833,"Bl/6","F",2022-03-25,17,"17.7"
"Study 3",9833,"Bl/6","F",2022-03-25,18,"17.899999999999999"
"Study 3",9834,"Bl/6","F",2022-03-25,0,"17.7"
"Study 3",9834,"Bl/6","F",2022-03-25,8,"18.1"
"Study 3",9834,"Bl/6","F",2022-03-25,13,"18.9"
"Study 3",9834,"Bl/6","F",2022-03-25,14,"19.2"
"Study 3",9834,"Bl/6","F",2022-03-25,15,"18.6"
"Study 3",9834,"Bl/6","F",2022-03-25,16,"19.3"
"Study 3",9834,"Bl/6","F",2022-03-25,17,"17"
"Study 3",9834,"Bl/6","F",2022-03-25,18,"15.4"
"Study 3",9835,"Bl/6","F",2022-03-25,0,"17.5"
"Study 3",9835,"Bl/6","F",2022-03-25,8,"17.8"
"Study 3",9835,"Bl/6","F",2022-03-25,13,"18.6"
"Study 3",9835,"Bl/6","F",2022-03-25,14,"18"
"Study 3",9835,"Bl/6","F",2022-03-25,15,"16.8"
"Study 3",9835,"Bl/6","F",2022-03-25,16,"19"
"Study 3",9835,"Bl/6","F",2022-03-25,17,"18.7"
"Study 3",9835,"Bl/6","F",2022-03-25,18,"18.399999999999999"
"Study 3",9836,"Bl/6","F",2022-03-25,0,"16.2"
"Study 3",9836,"Bl/6","F",2022-03-25,8,"16.9"
"Study 3",9836,"Bl/6","F",2022-03-25,13,"17.6"
"Study 3",9836,"Bl/6","F",2022-03-25,14,"16.9"
"Study 3",9836,"Bl/6","F",2022-03-25,15,"16.5"
"Study 3",9836,"Bl/6","F",2022-03-25,16,"17.8"
"Study 3",9836,"Bl/6","F",2022-03-25,17,"16.4"
"Study 3",9836,"Bl/6","F",2022-03-25,18,"16.399999999999999"
"Study 3",9837,"Bl/6","F",2022-03-25,0,"18.7"
"Study 3",9837,"Bl/6","F",2022-03-25,8,"18.6"
"Study 3",9837,"Bl/6","F",2022-03-25,13,"18.8"
"Study 3",9837,"Bl/6","F",2022-03-25,14,"19.1"
"Study 3",9837,"Bl/6","F",2022-03-25,15,"18.5"
"Study 3",9837,"Bl/6","F",2022-03-25,16,"17.6"
"Study 3",9837,"Bl/6","F",2022-03-25,17,"17.6"
"Study 3",9837,"Bl/6","F",2022-03-25,18,"17.899999999999999"
"Study 3",9838,"Bl/6","F",2022-03-25,0,"16.4"
"Study 3",9838,"Bl/6","F",2022-03-25,8,"17"
"Study 3",9838,"Bl/6","F",2022-03-25,13,"19.4"
"Study 3",9838,"Bl/6","F",2022-03-25,14,"20.1"
"Study 3",9838,"Bl/6","F",2022-03-25,15,"19.7"
"Study 3",9838,"Bl/6","F",2022-03-25,16,"20.1"
"Study 3",9838,"Bl/6","F",2022-03-25,17,"16.9"
"Study 3",9838,"Bl/6","F",2022-03-25,18,"15.6"
"Study 3",9839,"Bl/6","F",2022-03-25,0,"17.9"
"Study 3",9839,"Bl/6","F",2022-03-25,8,"18.1"
"Study 3",9839,"Bl/6","F",2022-03-25,13,"19.6"
"Study 3",9839,"Bl/6","F",2022-03-25,14,"20.6"
"Study 3",9839,"Bl/6","F",2022-03-25,15,"20.4"
"Study 3",9839,"Bl/6","F",2022-03-25,16,"21.4"
"Study 3",9839,"Bl/6","F",2022-03-25,17,"18.4"
"Study 3",9839,"Bl/6","F",2022-03-25,18,"16.8"
"Study 3",9840,"Bl/6","F",2022-03-25,0,"16.7"
"Study 3",9840,"Bl/6","F",2022-03-25,8,"17.1"
"Study 3",9840,"Bl/6","F",2022-03-25,13,"17.9"
"Study 3",9840,"Bl/6","F",2022-03-25,14,"19.1"
"Study 3",9840,"Bl/6","F",2022-03-25,15,"18.9"
"Study 3",9840,"Bl/6","F",2022-03-25,16,"18.7"
"Study 3",9840,"Bl/6","F",2022-03-25,17,"16.3"
"Study 3",9840,"Bl/6","F",2022-03-25,18,"-"
"Study 3",9841,"Bl/6","F",2022-03-25,0,"17.3"
"Study 3",9841,"Bl/6","F",2022-03-25,8,"16.6"
"Study 3",9841,"Bl/6","F",2022-03-25,13,"17.9"
"Study 3",9841,"Bl/6","F",2022-03-25,14,"18.2"
"Study 3",9841,"Bl/6","F",2022-03-25,15,"18.3"
"Study 3",9841,"Bl/6","F",2022-03-25,16,"19"
"Study 3",9841,"Bl/6","F",2022-03-25,17,"19.1"
"Study 3",9841,"Bl/6","F",2022-03-25,18,"15.8"
"Study 3",9842,"Bl/6","F",2022-03-25,0,"17.5"
"Study 3",9842,"Bl/6","F",2022-03-25,8,"16.3"
"Study 3",9842,"Bl/6","F",2022-03-25,13,"16.8"
"Study 3",9842,"Bl/6","F",2022-03-25,14,"16.6"
"Study 3",9842,"Bl/6","F",2022-03-25,15,"15.3"
"Study 3",9842,"Bl/6","F",2022-03-25,16,"16.2"
"Study 3",9842,"Bl/6","F",2022-03-25,17,"16.5"
"Study 3",9842,"Bl/6","F",2022-03-25,18,"16.899999999999999"
"Study 3",9843,"Bl/6","F",2022-03-25,0,"15.5"
"Study 3",9843,"Bl/6","F",2022-03-25,8,"15.1"
"Study 3",9843,"Bl/6","F",2022-03-25,13,"15.6"
"Study 3",9843,"Bl/6","F",2022-03-25,14,"16.7"
"Study 3",9843,"Bl/6","F",2022-03-25,15,"16.5"
"Study 3",9843,"Bl/6","F",2022-03-25,16,"17.2"
"Study 3",9843,"Bl/6","F",2022-03-25,17,"17.3"
"Study 3",9843,"Bl/6","F",2022-03-25,18,"14.4"
"Study 3",9844,"Bl/6","F",2022-03-25,0,"17.2"
"Study 3",9844,"Bl/6","F",2022-03-25,8,"16"
"Study 3",9844,"Bl/6","F",2022-03-25,13,"16.4"
"Study 3",9844,"Bl/6","F",2022-03-25,14,"17.2"
"Study 3",9844,"Bl/6","F",2022-03-25,15,"17.4"
"Study 3",9844,"Bl/6","F",2022-03-25,16,"18.2"
"Study 3",9844,"Bl/6","F",2022-03-25,17,"18.4"
"Study 3",9844,"Bl/6","F",2022-03-25,18,"15.8"
"Study 3",9845,"Bl/6","F",2022-03-25,0,"16.8"
"Study 3",9845,"Bl/6","F",2022-03-25,8,"16.9"
"Study 3",9845,"Bl/6","F",2022-03-25,13,"16.8"
"Study 3",9845,"Bl/6","F",2022-03-25,14,"16.9"
"Study 3",9845,"Bl/6","F",2022-03-25,15,"17.4"
"Study 3",9845,"Bl/6","F",2022-03-25,16,"18.8"
"Study 3",9845,"Bl/6","F",2022-03-25,17,"17.2"
"Study 3",9845,"Bl/6","F",2022-03-25,18,"15.5"
"Study 3",9846,"Bl/6","F",2022-03-25,0,"15.4"
"Study 3",9846,"Bl/6","F",2022-03-25,8,"16.3"
"Study 3",9846,"Bl/6","F",2022-03-25,13,"16.7"
"Study 3",9846,"Bl/6","F",2022-03-25,14,"16.9"
"Study 3",9846,"Bl/6","F",2022-03-25,15,"17.1"
"Study 3",9846,"Bl/6","F",2022-03-25,16,"17.5"
"Study 3",9846,"Bl/6","F",2022-03-25,17,"17.5"
"Study 3",9846,"Bl/6","F",2022-03-25,18,"18.600000000000001"
"Study 3",9847,"Bl/6","F",2022-03-25,0,"17.9"
"Study 3",9847,"Bl/6","F",2022-03-25,8,"19.4"
"Study 3",9847,"Bl/6","F",2022-03-25,13,"20.8"
"Study 3",9847,"Bl/6","F",2022-03-25,14,"21"
"Study 3",9847,"Bl/6","F",2022-03-25,15,"20.8"
"Study 3",9847,"Bl/6","F",2022-03-25,16,"21.5"
"Study 3",9847,"Bl/6","F",2022-03-25,17,"21.7"
"Study 3",9847,"Bl/6","F",2022-03-25,18,"20.5"
"Study 3",9848,"Bl/6","F",2022-03-25,0,"16.2"
"Study 3",9848,"Bl/6","F",2022-03-25,8,"17.5"
"Study 3",9848,"Bl/6","F",2022-03-25,13,"18"
"Study 3",9848,"Bl/6","F",2022-03-25,14,"18.2"
"Study 3",9848,"Bl/6","F",2022-03-25,15,"18.1"
"Study 3",9848,"Bl/6","F",2022-03-25,16,"18.5"
"Study 3",9848,"Bl/6","F",2022-03-25,17,"18.5"
"Study 3",9848,"Bl/6","F",2022-03-25,18,"17.899999999999999"
"Study 3",9849,"Bl/6","F",2022-03-25,0,"15.5"
"Study 3",9849,"Bl/6","F",2022-03-25,8,"16"
"Study 3",9849,"Bl/6","F",2022-03-25,13,"16.8"
"Study 3",9849,"Bl/6","F",2022-03-25,14,"17.1"
"Study 3",9849,"Bl/6","F",2022-03-25,15,"17.3"
"Study 3",9849,"Bl/6","F",2022-03-25,16,"17.2"
"Study 3",9849,"Bl/6","F",2022-03-25,17,"17.2"
"Study 3",9849,"Bl/6","F",2022-03-25,18,"17.5"
"Study 3",9851,"Bl/6","F",2022-03-25,0,"16"
"Study 3",9851,"Bl/6","F",2022-03-25,8,"16.8"
"Study 3",9851,"Bl/6","F",2022-03-25,13,"17.7"
"Study 3",9851,"Bl/6","F",2022-03-25,14,"17.8"
"Study 3",9851,"Bl/6","F",2022-03-25,15,"17.9"
"Study 3",9851,"Bl/6","F",2022-03-25,16,"18.1"
"Study 3",9851,"Bl/6","F",2022-03-25,17,"18.4"
"Study 3",9851,"Bl/6","F",2022-03-25,18,"18.399999999999999"
"Study 4",9871,"Bl/6","F",2022-04-08,0,"17.9"
"Study 4",9871,"Bl/6","F",2022-04-08,8,"18"
"Study 4",9871,"Bl/6","F",2022-04-08,13,"18.8"
"Study 4",9871,"Bl/6","F",2022-04-08,14,"18.8"
"Study 4",9871,"Bl/6","F",2022-04-08,15,"19.3"
"Study 4",9871,"Bl/6","F",2022-04-08,16,"19"
"Study 4",9871,"Bl/6","F",2022-04-08,17,"18.1"
"Study 4",9871,"Bl/6","F",2022-04-08,18,"18.5"
"Study 4",9872,"Bl/6","F",2022-04-08,0,"17.2"
"Study 4",9872,"Bl/6","F",2022-04-08,8,"18.1"
"Study 4",9872,"Bl/6","F",2022-04-08,13,"18.5"
"Study 4",9872,"Bl/6","F",2022-04-08,14,"17.9"
"Study 4",9872,"Bl/6","F",2022-04-08,15,"18.2"
"Study 4",9872,"Bl/6","F",2022-04-08,16,"18.7"
"Study 4",9872,"Bl/6","F",2022-04-08,17,"18.9"
"Study 4",9872,"Bl/6","F",2022-04-08,18,"19"
"Study 4",9873,"Bl/6","F",2022-04-08,0,"16.5"
"Study 4",9873,"Bl/6","F",2022-04-08,8,"16.9"
"Study 4",9873,"Bl/6","F",2022-04-08,13,"18.6"
"Study 4",9873,"Bl/6","F",2022-04-08,14,"17.2"
"Study 4",9873,"Bl/6","F",2022-04-08,15,"17.3"
"Study 4",9873,"Bl/6","F",2022-04-08,16,"17.9"
"Study 4",9873,"Bl/6","F",2022-04-08,17,"17.9"
"Study 4",9873,"Bl/6","F",2022-04-08,18,"18.2"
"Study 4",9874,"Bl/6","F",2022-04-08,0,"18.3"
"Study 4",9874,"Bl/6","F",2022-04-08,8,"19.3"
"Study 4",9874,"Bl/6","F",2022-04-08,13,"20.7"
"Study 4",9874,"Bl/6","F",2022-04-08,14,"19.5"
"Study 4",9874,"Bl/6","F",2022-04-08,15,"19.7"
"Study 4",9874,"Bl/6","F",2022-04-08,16,"19.8"
"Study 4",9874,"Bl/6","F",2022-04-08,17,"19.6"
"Study 4",9874,"Bl/6","F",2022-04-08,18,"20.399999999999999"
"Study 4",9875,"Bl/6","F",2022-04-08,0,"15.2"
"Study 4",9875,"Bl/6","F",2022-04-08,8,"16.5"
"Study 4",9875,"Bl/6","F",2022-04-08,13,"17.5"
"Study 4",9875,"Bl/6","F",2022-04-08,14,"18"
"Study 4",9875,"Bl/6","F",2022-04-08,15,"16.9"
"Study 4",9875,"Bl/6","F",2022-04-08,16,"16.5"
"Study 4",9875,"Bl/6","F",2022-04-08,17,"17.3"
"Study 4",9875,"Bl/6","F",2022-04-08,18,"18.100000000000001"
"Study 4",9876,"Bl/6","F",2022-04-08,0,"18.4"
"Study 4",9876,"Bl/6","F",2022-04-08,8,"19.8"
"Study 4",9876,"Bl/6","F",2022-04-08,13,"22.7"
"Study 4",9876,"Bl/6","F",2022-04-08,14,"21.6"
"Study 4",9876,"Bl/6","F",2022-04-08,15,"21.8"
"Study 4",9876,"Bl/6","F",2022-04-08,16,"22.1"
"Study 4",9876,"Bl/6","F",2022-04-08,17,"19.8"
"Study 4",9876,"Bl/6","F",2022-04-08,18,"-"
"Study 4",9877,"Bl/6","F",2022-04-08,0,"20.3"
"Study 4",9877,"Bl/6","F",2022-04-08,8,"21.3"
"Study 4",9877,"Bl/6","F",2022-04-08,13,"23"
"Study 4",9877,"Bl/6","F",2022-04-08,14,"21.7"
"Study 4",9877,"Bl/6","F",2022-04-08,15,"21.8"
"Study 4",9877,"Bl/6","F",2022-04-08,16,"21.5"
"Study 4",9877,"Bl/6","F",2022-04-08,17,"19.9"
"Study 4",9877,"Bl/6","F",2022-04-08,18,"18.8"
"Study 4",9878,"Bl/6","F",2022-04-08,0,"18.5"
"Study 4",9878,"Bl/6","F",2022-04-08,8,"20.1"
"Study 4",9878,"Bl/6","F",2022-04-08,13,"22.7"
"Study 4",9878,"Bl/6","F",2022-04-08,14,"21.3"
